Card Set,Number,Player,Team
Base,1,Frank Gore,San Francisco 49ers
Base,2,Cecil Shorts,Jacksonville Jaguars
Base,3,Justin Tuck,Oakland Raiders
Base,4,Jordan Reed,Washington Redskins
Base,5,Demaryius Thomas,Denver Broncos
Base,6,Joe Flacco,Baltimore Ravens
Base,7,Randall Cobb,Green Bay Packers
Base,8,Patrick Willis,San Francisco 49ers
Base,9,Antonio Brown,Pittsburgh Steelers
Base,10,Clay Matthews,Green Bay Packers
Base,11,EJ Manuel,Buffalo Bills
Base,12,Julius Thomas,Denver Broncos
Base,13,Dominique Rodgers-Cromartie,New York Giants
Base,14,Reggie Wayne,Indianapolis Colts
Base,15,Darrelle Revis,New England Patriots
Base,16,Pierre Thomas,New Orleans Saints
Base,17,Drew Brees,New Orleans Saints
Base,18,Pierre Garçon,Washington Redskins
Base,19,Kendall Wright,Tennessee Titans
Base,20,NaVorro Bowman,San Francisco 49ers
Base,21,Tamba Hali,Kansas City Chiefs
Base,22,DeSean Jackson,Washington Redskins
Base,23,Ryan Tannehill,Miami Dolphins
Base,24,Greg Hardy,Carolina Panthers
Base,25,Brandon Marshall,Chicago Bears
Base,26,Wes Welker,Denver Broncos
Base,27,C.J. Spiller,Buffalo Bills
Base,28,Geno Smith,New York Jets
Base,29,J.J. Watt,Houston Texans
Base,30,Troy Polamalu,Pittsburgh Steelers
Base,31,Vincent Jackson,Tampa Bay Buccaneers
Base,32,Michael Crabtree,San Francisco 49ers
Base,33,Alshon Jeffery,Chicago Bears
Base,34,Zach Ertz,Philadelphia Eagles
Base,35,Mike Glennon,Tampa Bay Buccaneers
Base,36,T.Y. Hilton,Indianapolis Colts
Base,37,Terrell Suggs,Baltimore Ravens
Base,38,Ndamukong Suh,Detroit Lions
Base,39,Patrick Peterson,Arizona Cardinals
Base,40,DeAndre Hopkins,Houston Texans
Base,41,Cameron Jordan,New Orleans Saints
Base,42,Peyton Manning,Denver Broncos
Base,43,Ryan Mathews,San Diego Chargers
Base,44,Eric Berry,Kansas City Chiefs
Base,45,A.J. Green,Cincinnati Bengals
Base,46,Matt Forté,Chicago Bears
Base,47,Andrew Luck,Indianapolis Colts
Base,48,Ace Sanders,Jacksonville Jaguars
Base,49,Jason Pierre-Paul,New York Giants
Base,50,Le’Veon Bell,Pittsburgh Steelers
Base,51,Mario Williams,Buffalo Bills
Base,52,Alfred Morris,Washington Redskins
Base,53,Sheldon Richardson,New York Jets
Base,54,Alex Smith,Kansas City Chiefs
Base,55,Josh Gordon,Cleveland Browns
Base,56,Colin Kaepernick,San Francisco 49ers
Base,57,Tavon Austin,St. Louis Rams
Base,58,Jay Cutler,Chicago Bears
Base,59,Percy Harvin,Seattle Seahawks
Base,60,Victor Cruz,New York Giants
Base,61,Marshawn Lynch,Seattle Seahawks
Base,62,Tom Brady,New England Patriots
Base,63,Giovani Bernard,Cincinnati Bengals
Base,64,LeSean McCoy,Philadelphia Eagles
Base,65,Kiko Alonso,Buffalo Bills
Base,66,Montee Ball,Denver Broncos
Base,67,Jimmy Graham,New Orleans Saints
Base,68,Mike Wallace,Miami Dolphins
Base,69,Jordan Cameron,Cleveland Browns
Base,70,Muhammad Wilkerson,New York Jets
Base,71,Reggie Bush,Detroit Lions
Base,72,Jamaal Charles,Kansas City Chiefs
Base,73,Matthew Stafford,Detroit Lions
Base,74,Robert Quinn,St. Louis Rams
Base,75,Denarius Moore,Oakland Raiders
Base,76,Larry Fitzgerald,Arizona Cardinals
Base,77,Tony Romo,Dallas Cowboys
Base,78,Dez Bryant,Dallas Cowboys
Base,79,Torrey Smith,Baltimore Ravens
Base,80,Robert Mathis,Indianapolis Colts
Base,81,Brian Hartline,Miami Dolphins
Base,82,Rob Gronkowski,New England Patriots
Base,83,Aaron Rodgers,Green Bay Packers
Base,84,Cordarrelle Patterson,Minnesota Vikings
Base,85,Andy Dalton,Cincinnati Bengals
Base,86,Vontaze Burﬁct,Cincinnati Bengals
Base,87,Luke Kuechly,Carolina Panthers
Base,88,Julio Jones,Atlanta Falcons
Base,89,Adrian Peterson,Minnesota Vikings
Base,90,Sean Lee,Dallas Cowboys
Base,91,Philip Rivers,San Diego Chargers
Base,92,Anquan Boldin,San Francisco 49ers
Base,93,Eli Manning,New York Giants
Base,94,Matt Ryan,Atlanta Falcons
Base,95,Earl Thomas,Seattle Seahawks
Base,96,Robert Grifﬁn III,Washington Redskins
Base,97,Richard Sherman,Seattle Seahawks
Base,98,Calvin Johnson,Detroit Lions
Base,99,Roddy White,Atlanta Falcons
Base,100,Jordy Nelson,Green Bay Packers
Base,101,Andre Johnson,Houston Texans
Base,102,Russell Wilson,Seattle Seahawks
Base,103,Cam Newton,Carolina Panthers
Base,104,Keenan Allen,San Diego Chargers
Base,105,Julian Edelman,New England Patriots
Base,106,Eddie Lacy,Green Bay Packers
Base,107,Arian Foster,Houston Texans
Base,108,Von Miller,Denver Broncos
Base,109,Nick Foles,Philadelphia Eagles
Base,110,DeMarco Murray,Dallas Cowboys
Base Variations,9,Antonio Brown,Pittsburgh Steelers
Base Variations,17,Drew Brees,New Orleans Saints
Base Variations,32,Michael Crabtree,San Francisco 49ers
Base Variations,33,Alshon Jeffery,Chicago Bears
Base Variations,42,Peyton Manning,Denver Broncos
Base Variations,45,A.J. Green,Cincinnati Bengals
Base Variations,47,Andrew Luck,Indianapolis Colts
Base Variations,50,Le’Veon Bell,Pittsburgh Steelers
Base Variations,52,Alfred Morris,Washington Redskins
Base Variations,56,Colin Kaepernick,San Francisco 49ers
Base Variations,60,Victor Cruz,New York Giants
Base Variations,61,Marshawn Lynch,Seattle Seahawks
Base Variations,62,Tom Brady,New England Patriots
Base Variations,63,Giovani Bernard,Cincinnati Bengals
Base Variations,64,LeSean McCoy,Philadelphia Eagles
Base Variations,67,Jimmy Graham,New Orleans Saints
Base Variations,71,Reggie Bush,Detroit Lions
Base Variations,72,Jamaal Charles,Kansas City Chiefs
Base Variations,78,Dez Bryant,Dallas Cowboys
Base Variations,82,Rob Gronkowski,New England Patriots
Base Variations,83,Aaron Rodgers,Green Bay Packers
Base Variations,89,Adrian Peterson,Minnesota Vikings
Base Variations,91,Philip Rivers,San Diego Chargers
Base Variations,97,Richard Sherman,Seattle Seahawks
Base Variations,98,Calvin Johnson,Detroit Lions
Base Variations,99,Roddy White,Atlanta Falcons
Base Variations,102,Russell Wilson,Seattle Seahawks
Base Variations,103,Cam Newton,Carolina Panthers
Base Variations,106,Eddie Lacy,Green Bay Packers
Base Variations,109,Nick Foles,Philadelphia Eagles
Rookies,111,Craig Loston,Jacksonville Jaguars
Rookies,112,Henry Josey,Philadelphia Eagles
Rookies,113,Jeff Mathews,Atlanta Falcons
Rookies,114,Davante Adams,Green Bay Packers
Rookies,115,Derek Carr,Oakland Raiders
Rookies,116,Bruce Ellington,San Francisco 49ers
Rookies,117,Odell Beckham Jr.,New York Giants
Rookies,118,Mike Davis,Oakland Raiders
Rookies,119,Cyrus Kouandjio,Buffalo Bills
Rookies,120,Jadeveon Clowney,Houston Texans
Rookies,121,Josh Huff,Philadelphia Eagles
Rookies,122,Marion Grice,San Diego Chargers
Rookies,123,Cody Hoffman,Washington Redskins
Rookies,124,Kelvin Benjamin,Carolina Panthers
Rookies,125,Jeremy Hill,Cincinnati Bengals
Rookies,126,Marqise Lee,Jacksonville Jaguars
Rookies,127,Devin Street,Dallas Cowboys
Rookies,128,Yawin Smallwood,Atlanta Falcons
Rookies,129,Aaron Murray,Kansas City Chiefs
Rookies,130,Jared Abbrederis,Green Bay Packers
Rookies,131,C.J. Fiedorowicz,Houston Texans
Rookies,132,Shaquelle Evans,New York Jets
Rookies,133,Martavis Bryant,Pittsburgh Steelers
Rookies,134,Storm Johnson,Jacksonville Jaguars
Rookies,135,Greg Robinson,St. Louis Rams
Rookies,136,Ahmad Dixon,Dallas Cowboys
Rookies,137,Loucheiz Purifoy,Indianapolis Colts
Rookies,138,Sammy Watkins,Buffalo Bills
Rookies,139,Tom Savage,Houston Texans
Rookies,140,Kony Ealy,Carolina Panthers
Rookies,141,Tajh Boyd,New York Jets
Rookies,142,Kevin Norwood,Seattle Seahawks
Rookies,143,LaDarius Perkins,Green Bay Packers
Rookies,144,AJ McCarron,Cincinnati Bengals
Rookies,145,Jalen Saunders,New York Jets
Rookies,146,Connor Shaw,Cleveland Browns
