Card Family,Parallel,Seq.
Base,Refractor,
Base,Blue Wave Refractor,
Base,Green Refractor,
Base,Orange Refractor,
Base,Purple Refractor,
Base,X-Fractor,
Base,Camo Refractor,499
Base,Pink Refractor,399
Base,Pulsar Refractor,
Base,Black Refractor,299
Base,Blue Refractor,199
Base,Sepia Refractor,99
Base,Gold Refractor,50
Base,Red Refractor,25
Base,SuperFractor,1
Base,Printing Plate Black,1
Base,Printing Plate Cyan,1
Base,Printing Plate Magenta,1
Base,Printing Plate Yellow,1
Rookies,Refractor,
Rookies,Blue Wave Refractor,
Rookies,Green Refractor,
Rookies,Orange Refractor,
Rookies,Purple Refractor,
Rookies,X-Fractor,
Rookies,Camo Refractor,499
Rookies,Pink Refractor,399
Rookies,Pulsar Refractor,
Rookies,Black Refractor,299
Rookies,Blue Refractor,199
Rookies,Sepia Refractor,99
Rookies,Gold Refractor,50
Rookies,Red Refractor,25
Rookies,SuperFractor,1
Rookies,Printing Plate Black,1
Rookies,Printing Plate Cyan,1
Rookies,Printing Plate Magenta,1
Rookies,Printing Plate Yellow,1
Base Autograph Variations,Base,10
Rookie Autographs,Refractor,150
Rookie Autographs,Camo Refractor,99
Rookie Autographs,Blue Wave Refractor,20
Rookie Autographs,Pink Refractor,75
Rookie Autographs,Black Refractor,25
Rookie Autographs,Pulsar Refractor,15
Rookie Autographs,Gold Refractor,10
Rookie Autographs,Red Refractor,5
Rookie Autographs,SuperFractor,1
Rookie Autograph Variations,Base,75
Rookie Autograph Patches,Base,50
Dual Rookie Autographs,Base,30
Triple Rookie Autographs,Base,15
1000 Yard Club,Red Refractor,99
1000 Yard Club,Blue Wave Refractor,25
1000 Yard Club,Superfractor,1
4000 Yard Club,Red Refractor,99
4000 Yard Club,Blue Wave Refractor,25
4000 Yard Club,Superfractor,1
1963 Topps Minis,Refractor,99
1963 Topps Minis,Pulsar Refractor Die-Cut,50
1963 Topps Minis,SuperFractor,1
1963 Topps Mini Autographs,Base,15
1965 Topps Tall Boys,SuperFractor,1
1985 Topps,Refractor,99
1985 Topps,Gold Refactor,75
1985 Topps,Pulsar Refractor Die-Cut,50
1985 Topps,SuperFractor,1
1985 Topps Autographs,Base,15
Chrome Rookie Die-Cuts,Blue Wave Refractor,50
Chrome Rookie Die-Cuts,Red Refractor,25
Chrome Rookie Die-Cuts,SuperFractor,1
Chrome Rookie Die-Cut Autographs,Base,15
Fantasy Focus,Refractor,99
Fantasy Focus,SuperFractor Die-Cut,1
Rookie Relics,Black Refractor,25
Rookie Relics,Gold Refractor,10
Rookie Relics,Purple Refractor,75
Rookie Relics,Red Refractor,5
Rookie Relics,Refractor,150
Rookie Relics,X-Fractor,99
