Card Set,Number,Player,Team
Base,501,Christian Walker,Baltimore Orioles®
Base,502,Brett Cecil,Toronto Blue Jays®
Base,503,Ryan Rua,Texas Rangers®
Base,504,Ike Davis,Oakland AthleticsTM
Base,505,Jesse Chavez,Oakland AthleticsTM
Base,506,David Buchanan,Philadelphia Phillies®
Base,507,Chi Chi Gonzalez,Texas Rangers®
Base,508,Angel Nesbitt,Detroit Tigers®
Base,509,Casey McGehee,Miami Marlins®
Base,510,Justin Nicolino,Miami Marlins®
Base,511,Nick Ahmed,Arizona Diamondbacks®
Base,512,Ruben Tejada,New York Mets®
Base,513,Brad Boxberger,Tampa Bay RaysTM
Base,514,Grant Balfour,Tampa Bay RaysTM
Base,515,Zach McAllister,Cleveland Indians®
Base,516,Vincent Velasquez,Houston Astros®
Base,517,Colby Rasmus,Houston Astros®
Base,518,Jason Marquis,Cincinnati Reds®
Base,519,Cameron Maybin,Atlanta BravesTM
Base,520,A.J. Burnett,Pittsburgh Pirates®
Base,521,Shane Greene,Detroit Tigers®
Base,522,Anthony Ranaudo,Texas Rangers®
Base,523,Seth Smith,Seattle MarinersTM
Base,524,Alex Rios,Kansas City Royals®
Base,525,Jimmy Paredes,Baltimore Orioles®
Base,526,Jordan Lyles,Colorado RockiesTM
Base,527,Eduardo Rodriguez,Boston Red Sox®
Base,528,Taylor Featherston,Angels®
Base,529,Rickie Weeks,Seattle MarinersTM
Base,530,Norichika Aoki,San Francisco Giants®
Base,531,Mike Aviles,Cleveland Indians®
Base,532,Daniel Descalso,Colorado RockiesTM
Base,533,Logan Forsythe,Tampa Bay RaysTM
Base,534,T.J. House,Cleveland Indians®
Base,535,Dan Uggla,Washington Nationals®
Base,536,Jose Urena,Miami Marlins®
Base,537,Anthony Gose,Detroit Tigers®
Base,538,Mike Fiers,Milwaukee BrewersTM
Base,539,Matt Joyce,Angels®
Base,540,Rafael Betancourt,Colorado RockiesTM
Base,541,John Ryan Murphy,New York Yankees®
Base,542,Brayan Pena,Cincinnati Reds®
Base,543,Tyler Clippard,New York Mets®
Base,544,Yangervis Solarte,San Diego PadresTM
Base,545,Asher Wojciechowski,Houston Astros®
Base,546,Will Venable,San Diego PadresTM
Base,547,J.R. Graham,Minnesota Twins®
Base,548,Jacob Lindgren,New York Yankees®
Base,549,David Ross,Chicago Cubs®
Base,550,Sergio Romo,San Francisco Giants®
Base,551,Grady Sizemore,Tampa Bay RaysTM
Base,552,Aaron Harang,Philadelphia Phillies®
Base,553,Carlos Perez,Angels®
Base,554,Desmond Jennings,Tampa Bay RaysTM
Base,555,James Shields,San Diego PadresTM
Base,556,A.J. Pierzynski,Atlanta BravesTM
Base,557,Danny Muno,New York Mets®
Base,558,Carlos Sanchez,Chicago White Sox®
Base,559,Joba Chamberlain,Detroit Tigers®
