Card Family,Parallel,Seq.
All Star Jumbo Patches,Base,6
All Star Jumbo Patch Autographs,Base,6
All Star Stitches,Gold,50
All Star Stitches,Platinum,1
All Star Stitches Dual,Base,25
All Star Stitches Triple,Base,25
All Star Stiches Autographed Relics,Base,25
Birth Year Coin and Stamp,Dime,50
Birth Year Coin and Stamp,Nickel,50
Birth Year Coin and Stamp,Penny,50
Birth Year Coin and Stamp,Quarter,50
Career High Jumbo Relics,Base,25
Etched in History Commemorative Relics,Gold,50
Etched in History Commemorative Relics,Platinum,10
Etched in History Commemorative Relics Platinum Autographs,Base,10
First Home Run,Gold,
First Home Run,Silver,
First Home Run Relics,Base,99
Highlight of the Year Autographs,Base,25
Own The Name Relics,Base,1
Rarities Autographs,Base,25
Rookie Sensation Autographs,Base,25
Strata Cut Signatures,Base,1
Tape Measure Blasts Autographs,Base,25
Whatever Works Autographs,Base,25
Bunt Player Code Cards,Base,25
Base,Black,64
Base,Gold,2015
Base,Pink,50
Base,Platinum,1
Base,Printing Plate Black,1
Base,Printing Plate Cyan,1
Base,Printing Plate Magenta,1
Base,Printing Plate Yellow,1
Base,Rainbow Foil,
Base,Snow Camo,99
