BASE,,,
1,Miguel Cabrera,Detroit Tigers,
2,Michael Brantley,Cleveland Indians,
3,Yasmani Grandal,Los Angeles Dodgers,
4,Byron Buxton,Minnesota Twins,RC
5,Daniel Murphy,New York Mets,
6,Clay Buchholz,Boston Red Sox,
7,James Loney,Tampa Bay Rays™,
8,Dee Gordon,Miami Marlins,
9,Khris Davis,Milwaukee Brewers™,
10,Trevor Rosenthal,St. Louis Cardinals,
11,Jered Weaver,Angels,
12,Lucas Duda,New York Mets,
13,James Shields,San Diego Padres™,
14,Jacob Lindgren,New York Yankees,RC
15,Michael Bourn,Cleveland Indians,
16,Yunel Escobar,Washington Nationals,
17,George Springer,Houston Astros,
18,Ryan Howard,Philadelphia Phillies,
19,Justin Upton,San Diego Padres™,
20,Zach Britton,Baltimore Orioles,
21,Santiago Casilla,San Francisco Giants,
22,Max Scherzer,Washington Nationals,
23,Carlos Carrasco,Cleveland Indians,
24,Angel Pagan,San Francisco Giants,
25,Wade Miley,Boston Red Sox,
26,Ryan Braun,Milwaukee Brewers™,
27,Carlos Gonzalez,Colorado Rockies™,
28,Chase Utley,Philadelphia Phillies,
29,Brandon Moss,Cleveland Indians,
30,Juan Lagares,New York Mets,
31,David Robertson,Chicago White Sox,
32,Carlos Santana,Cleveland Indians,
33,Ender Inciarte,Arizona Diamondbacks,
34,Jimmy Rollins,Los Angeles Dodgers,
35,J.D. Martinez,Detroit Tigers,
36,Yadier Molina,St. Louis Cardinals,
37,Ryan Zimmerman,Washington Nationals,
38,Stephen Strasburg,Washington Nationals,
39,Torii Hunter,Minnesota Twins,
40,Anibal Sanchez,Detroit Tigers,
41,Michael Cuddyer,New York Mets,
42,Jorge De La Rosa,Colorado Rockies™,
43,Shane Greene,Detroit Tigers,
44,John Lackey,St. Louis Cardinals,
45,Hyun-Jin Ryu,Los Angeles Dodgers,
46,Lance Lynn,St. Louis Cardinals,
47,David Freese,Los Angeles Angels,
48,Russell Martin,Toronto Blue Jays,
49,Jose Iglesias,Detroit Tigers,
50,Pablo Sandoval,Boston Red Sox,
51,Will Middlebrooks,San Diego Padres™,
52,Joe Mauer,Minnesota Twins,
53,Chris Archer,Tampa Bay Rays™,
54,Starling Marte,Pittsburgh Pirates,
55,Jason Heyward,St. Louis Cardinals,
56,Taijuan Walker,Seattle Mariners™,
57,Pedro Alvarez,Pittsburgh Pirates,
58,Jose Fernandez,Miami Marlins,
59,Marlon Byrd,Cincinnati Reds,
60,Neil Walker,Pittsburgh Pirates,
61,Mike Moustakas,Kansas City Royals,
62,Trevor Bauer,Cleveland Indians,
63,Steven Souza Jr.,Tampa Bay Rays™,
64,Michael Saunders,Toronto Blue Jays,
65,Andrew Miller,New York Yankees,
66,Melky Cabrera,Chicago White Sox,
67,Denard Span,Washington Nationals,
68,Yovani Gallardo,Texas Rangers,
69,Wade Davis,Kansas City Royals,
70,Nelson Cruz,Seattle Mariners™,
71,Chris Carter,Houston Astros,
72,Alex Avila,Detroit Tigers,
73,Mark Melancon,Pittsburgh Pirates,
74,Zack Cozart,Cincinnati Reds,
75,Jeff Samardzija,Chicago White Sox,
