BASE,,
PAPER BASE CARDS,,
1,Dansby Swanson,Arizona Diamondbacks®
2,Yoan Lopez,Arizona Diamondbacks®
3,Bailey Falter,Philadelphia Phillies®
4,Casey Gillaspie,Tampa Bay Rays™
5,Demi Orimoloye,Milwaukee Brewers™
6,Steven Duggar,San Francisco Giants®
7,Tyler Alexander,Detroit Tigers®
8,Courtney Hawkins,Chicago White Sox®
9,Casey Hughston,Pittsburgh Pirates®
10,Kolby Allard,Atlanta Braves™
11,Austin Meadows,Pittsburgh Pirates®
12,Joe McCarthy,Tampa Bay Rays™
13,Tyler Stephenson,Cincinnati Reds®
14,Ashe Russell,Kansas City Royals®
15,Dylan Moore,Texas Rangers®
16,Donnie Dewees,Chicago Cubs®
17,Beau Burrows,Detroit Tigers®
18,Greg Pickett,Philadelphia Phillies®
19,Parker French,Colorado Rockies™
20,Cam Gibson,Detroit Tigers®
21,Braden Bishop,Seattle Mariners™
22,Ryan Kellogg,Chicago Cubs®
23,Monte Harrison,Milwaukee Brewers™
24,Zack Erwin,Chicago White Sox®
25,J.P. Crawford,Philadelphia Phillies®
26,Ryan McMahon,Colorado Rockies™
27,Kyle Holder,New York Yankees®
28,Ian Happ,Chicago Cubs®
29,Anthony Hermelyn,Houston Astros®
30,Jimmy Herget,Cincinnati Reds®
31,Mike Nikorak,Colorado Rockies™
32,Alex Young,Arizona Diamondbacks®
33,Tyler Mark,Arizona Diamondbacks®
34,Trent Clark,Milwaukee Brewers™
35,Benton Moss,Tampa Bay Rays™
36,Matt Withrow,Atlanta Braves™
37,Chris Shaw,San Francisco Giants®
38,Manuel Margot,Boston Red Sox®
39,Lucas Giolito,Washington Nationals®
40,Chase Ingram,New York Mets®
41,Lucas Herbert,Atlanta Braves™
42,Trey Supak,Pittsburgh Pirates®
43,Blake Trahan,Cincinnati Reds®
44,Jeff Degano,New York Yankees®
45,Desmond Lindsay,New York Mets®
46,Walker Buehler,Los Angeles Dodgers®
47,Cody Ponce,Milwaukee Brewers™
48,Adam Brett Walker,Minnesota Twins®
49,Tyler Danish,Chicago White Sox®
50,Dillon Tate,Texas Rangers®
51,Thomas Szapucki,New York Mets®
52,Spencer Adams,Chicago White Sox®
53,Kevin Duchene,Oakland Athletics™
54,Blake Perkins,Washington Nationals®
55,Thomas Eshelman,Houston Astros®
56,Lucas Williams,Philadelphia Phillies®
57,David Fletcher,Angels®
58,James Kaprielian,New York Yankees®
59,Preston Morrison,Chicago Cubs®
60,Ryan Burr,Arizona Diamondbacks®
61,Brett Lilek,Miami Marlins®
62,Trevor Megill,San Diego Padres™
63,Jordy Lara,Seattle Mariners™
64,Kevin Newman,Pittsburgh Pirates®
65,Luis Ortiz,Texas Rangers®
66,Cornelius Randolph,Philadelphia Phillies®
67,Domingo Leyba,Arizona Diamondbacks®
68,Sean Reid-Foley,Toronto Blue Jays®
69,Josh Naylor,Miami Marlins®
70,Michael Matuella,Texas Rangers®
71,Cole Tucker,Pittsburgh Pirates®
72,Kyle Wilcox,Seattle Mariners™
73,Forrest Wall,Colorado Rockies™
74,Alex Jackson,Seattle Mariners™
75,Kyle Tucker,Houston Astros®
76,Hunter Harvey,Baltimore Orioles®
77,Brandon Waddell,Pittsburgh Pirates®
78,Travis Neubeck,Miami Marlins®
79,Ronnie Jebavy,San Francisco Giants®
80,Ryan Mountcastle,Baltimore Orioles®
81,Kyle Zimmer,Kansas City Royals®
82,A.J. Reed,Houston Astros®
83,Alex Reyes,St. Louis Cardinals®
84,Garrett Whitley,Tampa Bay Rays™
