BASE,,
BASE CARDS,,
1,Buster Posey,San Francisco Giants®
2,Melky Cabrera,Chicago White Sox®
3,Ned Yost,Kansas City Royals®
4,Danny Duffy,Kansas City Royals®
5,Ryan Vogelsong,San Francisco Giants®
6,Zach Britton,Baltimore Orioles®
7,Ian Kennedy,San Diego PadresTM
8,Asdrubal Cabrera,Washington Nationals®
9,Jenrry Mejia,New York Mets®
10,Julio Teheran,Atlanta BravesTM
11,Michael Taylor,Washington Nationals®
,Joc Pederson,Los Angeles Dodgers®
12,Jean Segura,Milwaukee BrewersTM
13,Stephen Vogt,Oakland AthleticsTM
14,Kyle Lohse,Milwaukee BrewersTM
15,Roenis Elias,Seattle MarinersTM
16,Anibal Sanchez,Detroit Tigers®
17,Jason Hammel,Chicago Cubs®
18,David Freese,Angels®
19,San Francisco Giants®,
20,J.D. Martinez,Detroit Tigers®
21,Mark Teixeira,New York Yankees®
22,Kolten Wong,St. Louis Cardinals®
23,Brad Ziegler,Arizona Diamondbacks®
24,Wil Myers,Tampa Bay RaysTM
25,Jose Abreu,Chicago White Sox®
26,Ryan Zimmerman,Washington Nationals®
27,Erik Cordier,San Francisco Giants®
,Frank Garces,San Diego PadresTM
28,Jason Castro,Houston Astros®
29,Avisail Garcia,Chicago White Sox®
30,Brandon Phillips,Cincinnati Reds®
31,Andrew Susac,San Francisco Giants®
32,Andrelton Simmons,Atlanta BravesTM
33,Dan Haren,Miami Marlins®
34,Bob Melvin,Oakland AthleticsTM
35,Mike Leake,Cincinnati Reds®
36,Sean Doolittle,Oakland AthleticsTM
37,John Farrell,Boston Red Sox®
38,B.J. Upton,Atlanta BravesTM
39,Marcus Stroman,Toronto Blue Jays®
40,Phil Hughes,Minnesota Twins®
41,Wilmer Flores,New York Mets®
42,Jonathon Niese,New York Mets®
43,Juan Uribe,Los Angeles Dodgers®
44,Edwin Escobar,Boston Red Sox®
,Matt Barnes,Boston Red Sox®
45,Mookie Betts,Boston Red Sox®
46,Jason Vargas,Kansas City Royals®

47 Jeff Locke,Pittsburgh Pirates®
48 Jeremy Guthrie,Kansas City Royals®
49 Cory Spangenberg,San Diego PadresTM
Rymer Liriano,San Diego PadresTM
50 Jacoby Ellsbury,New York Yankees®
51 Francisco Rodriguez,Milwaukee BrewersTM
52 Mike Trout,Angels®
Miguel Cabrera,Detroit Tigers®
53 Hiroki Kuroda,New York Yankees®
54 Lorenzo Cain,Kansas City Royals®
55 Justin Turner,Los Angeles Dodgers®
56 Kris Medlen,Atlanta BravesTM
57 Carlos Ruiz,Philadelphia Phillies®
58 Brandon Moss,Cleveland Indians®
59 Cincinnati Reds®,
60 Matt Holliday,St. Louis Cardinals®
61 Russell Martin,Toronto Blue Jays®
62 Lance Lynn,St. Louis Cardinals®
63 Brett Lawrie,Oakland AthleticsTM
64 Kelvin Herrera,Kansas City Royals®
65 Logan Morrison,Seattle MarinersTM
66 Patrick Corbin,Arizona Diamondbacks®
67 Erik Goeddel,New York Mets®
Dilson Herrera,New York Mets®
68 George Springer,Houston Astros®
69 Angel Pagan,San Francisco Giants®
70 Yoenis Cespedes,Detroit Tigers®
71 Mark Buehrle,Toronto Blue Jays®
72 Nolan Arenado,Colorado RockiesTM
73 Collin McHugh,Houston Astros®
74 Jarrod Parker,Oakland AthleticsTM
75 Matt Kemp,Los Angeles Dodgers®
76 Mike Matheny,St. Louis Cardinals®
77 Casey Janssen,Toronto Blue Jays®
78 Joe Panik,San Francisco Giants®
79 Emilio Bonifacio,Atlanta BravesTM
80 Cody Asche,Philadelphia Phillies®
81 Jake McGee,Tampa Bay RaysTM
82 Scott Kazmir,Oakland AthleticsTM
83 Matt Shoemaker,Angels®
84 Bryce Brentz,Boston Red Sox®
Steven Moya,Detroit Tigers®
85 Derek Holland,Texas Rangers®
86 Norichika Aoki,Kansas City Royals®
87 Torii Hunter,Minnesota Twins®
88 Dan Butler,Boston Red Sox®
Carlos Rivero,Boston Red Sox®
89 Eduardo Escobar,Minnesota Twins®
90 Jonathan Schoop,Baltimore Orioles®
91 Nick Markakis,Atlanta BravesTM
92 New York Yankees®,
93 Wilin Rosario,Colorado RockiesTM

94,Ken Giles,Philadelphia Phillies®
95,Scooter Gennett,Milwaukee BrewersTM
96,Tim Lincecum,San Francisco Giants®
97,Wade Davis,Kansas City Royals®
98,Clay Buchholz,Boston Red Sox®
99,Mike Trout,Angels®
,Albert Pujols,Angels®
100,Clayton Kershaw,Los Angeles Dodgers®
101,Bruce Bochy,San Francisco Giants®
102,Tim Hudson,San Francisco Giants®
103,Drew Storen,Washington Nationals®
104,Miguel Montero,Chicago Cubs®
105,Marcell Ozuna,Miami Marlins®
106,Ender Inciarte,Arizona Diamondbacks®
107,James McCann,Detroit Tigers®
,Kyle Ryan,Detroit Tigers®
108,James Loney,Tampa Bay RaysTM
109,Didi Gregorius,New York Yankees®
110,Anthony Rizzo,Chicago Cubs®
111,Garin Cecchini,Boston Red Sox®
112,Jeremy Hellickson,Arizona Diamondbacks®
113,Jake Peavy,San Francisco Giants®
114,Josh Reddick,Oakland AthleticsTM
115,Steve Pearce,Baltimore Orioles®
116,Don Mattingly,Los Angeles Dodgers®
117,Matt Joyce,Tampa Bay RaysTM
118,Jonathan Papelbon,Philadelphia Phillies®
119,Trevor Rosenthal,St. Louis Cardinals®
120,Brian Dozier,Minnesota Twins®
121,Kevin Kiermaier,Tampa Bay RaysTM
122,John Danks,Chicago White Sox®
123,John Holdzkom,Pittsburgh Pirates®
,R.J. Alvarez,San Diego PadresTM
124,Yovani Gallardo,Milwaukee BrewersTM
125,Jon Jay,St. Louis Cardinals®
126,Chris Tillman,Baltimore Orioles®
127,Andrew Chafin,Arizona Diamondbacks®
,Jake Lamb,Arizona Diamondbacks®
128,Juan Perez,San Francisco Giants®
129,Alex Avila,Detroit Tigers®
130,Evan Gattis,Atlanta BravesTM
131,Angels®,
132,Travis Ishikawa,San Francisco Giants®
133,Mike Minor,Atlanta BravesTM
134,Yan Gomes,Cleveland Indians®
135,Conor Gillaspie,Chicago White Sox®
136,Jose Iglesias,Detroit Tigers®
137,Domonic Brown,Philadelphia Phillies®
138,Tony Gwynn Jr.,Philadelphia Phillies®
139,Jorge Soler,Chicago Cubs®
,Javier Baez,Chicago Cubs®
140,Aroldis Chapman,Cincinnati Reds®

141,Dillon Gee,New York Mets®
142,Jake Petricka,Chicago White Sox®
143,Joe Nathan,Detroit Tigers®
144,Aaron Hill,Arizona Diamondbacks®
145,Ben Zobrist,Tampa Bay RaysTM
146,Guilder Rodriguez,Texas Rangers®
,Lisalverto Bonilla,Texas Rangers®
147,Lloyd McClendon,Seattle MarinersTM
148,Cody Allen,Cleveland Indians®
149,John Jaso,Oakland AthleticsTM
150,Michael Brantley,Cleveland Indians®
151,Andre Ethier,Los Angeles Dodgers®
152,Joe Kelly,Boston Red Sox®
153,Tyler Clippard,Washington Nationals®
154,Chris Johnson,Atlanta BravesTM
155,Michael Cuddyer,New York Mets®
156,Starlin Castro,Chicago Cubs®
,Javier Baez,Chicago Cubs®
157,Francisco Liriano,Pittsburgh Pirates®
158,Trevor Cahill,Arizona Diamondbacks®
159,Joaquin Benoit,San Diego PadresTM
160,Michael Pineda,New York Yankees®
161,Adeiny Hechavarria,Miami Marlins®
162,Brad Miller,Seattle MarinersTM
163,Dexter Fowler,Houston Astros®
164,Jason Rogers,Milwaukee BrewersTM
,Matt Szczur,Chicago Cubs®
165,Kennys Vargas,Minnesota Twins®
166,Jhonny Peralta,St. Louis Cardinals®
167,Bud Norris,Baltimore Orioles®
168,Jarred Cosart,Miami Marlins®
169,Brandon McCarthy,Los Angeles Dodgers®
170,Chase Utley,Philadelphia Phillies®
171,A.J. Ellis,Los Angeles Dodgers®
172,New York Mets®,
173,Trevor Plouffe,Minnesota Twins®
174,Neftali Feliz,Texas Rangers®
175,Josh Donaldson,Toronto Blue Jays®
176,Adam Eaton,Chicago White Sox®
177,Drew Hutchison,Toronto Blue Jays®
178,Jake Odorizzi,Tampa Bay RaysTM
179,Samuel Tuivailala,St. Louis Cardinals®
,Xavier Scruggs,St. Louis Cardinals®
180,Jay Bruce,Cincinnati Reds®
181,Gio Gonzalez,Washington Nationals®
182,Chris Owings,Arizona Diamondbacks®
183,Terry Francona,Cleveland Indians®
184,Yasmani Grandal,San Diego PadresTM
185,Bartolo Colon,New York Mets®
186,Trevor Bauer,Cleveland Indians®
187,Brad Ausmus,Detroit Tigers®
188,Brandon Crawford,San Francisco Giants®

189,Casey McGehee,Miami Marlins®
190,Oswaldo Arcia,Minnesota Twins®
191,Carlos Carrasco,Cleveland Indians®
192,Kole Calhoun,Angels®
193,Chris Iannetta,Angels®
194,Washington Nationals®,
195,Edinson Volquez,Pittsburgh Pirates®
196,Matt Moore,Tampa Bay RaysTM
197,Mark Trumbo,Arizona Diamondbacks®
198,Derek Norris,Oakland AthleticsTM
199,Starling Marte,Pittsburgh Pirates®
,Josh Harrison,Pittsburgh Pirates®
,Andrew McCutchen,Pittsburgh Pirates®
200,Freddie Freeman,Atlanta BravesTM
201,Jason Heyward,St. Louis Cardinals®
202,Martin Perez,Texas Rangers®
203,Jed Lowrie,Oakland AthleticsTM
204,Chicago Cubs®,
205,Jorge De La Rosa,Colorado RockiesTM
206,Jarrod Dyson,Kansas City Royals®
207,Chase Headley,New York Yankees®
208,Devin Mesoraco,Cincinnati Reds®
209,Buck Farmer,Detroit Tigers®
,Kyle Lobstein,Detroit Tigers®
210,Neil Walker,Pittsburgh Pirates®
211,C.J. Cron,Angels®
212,Matt Carpenter,St. Louis Cardinals®
213,Joakim Soria,Detroit Tigers®
214,Allen Craig,Boston Red Sox®
215,Justin Morneau,Colorado RockiesTM
,Andrew McCutchen,Pittsburgh Pirates®
,Josh Harrison,Pittsburgh Pirates®
216,Michael Brantley,Cleveland Indians®
,Jose Altuve,Houston Astros®
,Victor Martinez,Detroit Tigers®
217,Lucas Duda,New York Mets®
,Anthony Rizzo,Chicago Cubs®
,Giancarlo Stanton,Miami Marlins®
218,Chris Carter,Houston Astros®
,Jose Abreu,Chicago White Sox®
,Nelson Cruz,Baltimore Orioles®
219,Justin Upton,Atlanta BravesTM
,Giancarlo Stanton,Miami Marlins®
,Adrian Gonzalez,Los Angeles Dodgers®
220,Nelson Cruz,Baltimore Orioles®
,Miguel Cabrera,Detroit Tigers®
,Mike Trout,Angels®
221,Johnny Cueto,Cincinnati Reds®
,Adam Wainwright,St. Louis Cardinals®
,Clayton Kershaw,Los Angeles Dodgers®
222,Corey Kluber,Cleveland Indians®
,Chris Sale,Chicago White Sox®

Felix Hernandez,Seattle MarinersTM
223 Adam Wainwright,St. Louis Cardinals®
Clayton Kershaw,Los Angeles Dodgers®
Johnny Cueto,Cincinnati Reds®
224 Max Scherzer,Detroit Tigers®
Jered Weaver,Angels®
Corey Kluber,Cleveland Indians®
225 Clayton Kershaw,Los Angeles Dodgers®
Johnny Cueto,Cincinnati Reds®
Stephen Strasburg,Washington Nationals®
226 Felix Hernandez,Seattle MarinersTM
Max Scherzer,Detroit Tigers®
Corey Kluber,Cleveland Indians®
David Price,Tampa Bay RaysTM/Detroit Tigers®
227 Austin Jackson,Seattle MarinersTM
228 Yonder Alonso,San Diego PadresTM
229 Buck Showalter,Baltimore Orioles®
