BASE CARDS,,
VETERANS,,
1,"Clayton	
  Kershaw","Los	
  Angeles	
  Dodgers®"
2,"Eric	
  Hosmer","Kansas	
  City	
  Royals®"
3,"Alex	
  Gordon","Kansas	
  City	
  Royals®"
4,"Jay	
  Bruce","Cincinnati	
  Reds®"
5,"Anthony	
  Rizzo","Chicago	
  Cubs®"
6,"Brad	
  Ziegler","Arizona	
  Diamondbacks®"
7,"Ken	
  Giles","Philadelphia	
  Phillies®"
8,"Shin-­-Soo	
  Choo","Texas	
  Rangers®"
9,"Brandon	
  Crawford","San	
  Francisco	
  Giants®"
10,"Danny	
  Salazar","Cleveland	
  Indians®"
11,"Ian	
  Desmond","Washington	
  Nationals®"
12,"Adam	
  Eaton","Chicago	
  White	
  Sox®"
13,"Jonathan	
  Lucroy","Milwaukee	
  BrewersTM"
14,"Zack	
  Wheeler","New	
  York	
  Mets®"
15,"Zack	
  Greinke","Los	
  Angeles	
  Dodgers®"
16,"Matt	
  Holliday","St.	
  Louis	
  Cardinals®"
17,"Jose	
  Reyes","Toronto	
  Blue	
  Jays®"
18,"Jarrod	
  Saltalamacchia","Miami	
  Marlins®"
19,"Manny	
  Machado","Baltimore	
  Orioles®"
20,"Paul	
  Goldschmidt","Arizona	
  Diamondbacks®"
21,"Garrett	
  Richards",Angels®
22,"Christian	
  Yelich","Miami	
  Marlins®"
23,"Josh	
  Harrison","Pittsburgh	
  Pirates®"
24,"Alex	
  Cobb","Tampa	
  Bay	
  RaysTM"
25,"Yasiel	
  Puig","Los	
  Angeles	
  Dodgers®"
26,"Anthony	
  Rendon","Washington	
  Nationals®"
27,"Mookie	
  Betts","Boston	
  Red	
  Sox®"
28,"Craig	
  Kimbrel","Atlanta	
  BravesTM"
29,"Ian	
  Kinsler","Detroit	
  Tigers®"
30,"Jose	
  Altuve","Houston	
  Astros®"
31,"Charlie	
  Blackmon","Colorado	
  RockiesTM"
32,"Michael	
  Pineda","New	
  York	
  Yankees®"
33,"Kyle	
  Seager","Seattle	
  MarinersTM"
34,"Kennys	
  Vargas","Minnesota	
  Twins®"
35,"Joaquin	
  Benoit","San	
  Diego	
  PadresTM"
36,"Mike	
  Zunino","Seattle	
  MarinersTM"
37,"Josh	
  Reddick","Oakland	
  AthleticsTM"
38,"Jason	
  Kipnis","Cleveland	
  Indians®"
39,"Chris	
  Sale","Chicago	
  White	
  Sox®"

40,"Oswaldo	
  Arcia","Minnesota	
  Twins®"
41,"Matt	
  Shoemaker",Angels®
42,"J.J.	
  Hardy","Baltimore	
  Orioles®"
43,"Matt	
  Carpenter","St.	
  Louis	
  Cardinals®"
44,"Dellin	
  Betances","New	
  York	
  Yankees®"
45,"Joey	
  Votto","Cincinnati	
  Reds®"
46,"Ben	
  Revere","Philadelphia	
  Phillies®"
47,"Tanner	
  Roark","Washington	
  Nationals®"
48,"Justin	
  Morneau","Colorado	
  RockiesTM"
49,"Jake	
  Arrieta","Chicago	
  Cubs®"
50,"Mike	
  Trout",Angels®
51,"Chris	
  Owings","Arizona	
  Diamondbacks®"
52,"David	
  Wright","New	
  York	
  Mets®"
53,"Kevin	
  Kiermaier","Tampa	
  Bay	
  RaysTM"
54,"Domonic	
  Brown","Philadelphia	
  Phillies®"
55,"Justin	
  Turner","Los	
  Angeles	
  Dodgers®"
56,"Mark	
  Trumbo","Arizona	
  Diamondbacks®"
57,"Carlos	
  Gomez","Milwaukee	
  BrewersTM"
58,"Hisashi	
  Iwakuma","Seattle	
  MarinersTM"
59,"Gregor	
  Blanco","San	
  Francisco	
  Giants®"
60,"Adeiny	
  Hechavarria","Miami	
  Marlins®"
61,"Starlin	
  Castro","Chicago	
  Cubs®"
62,"Josh	
  Hamilton",Angels®
63,"Chase	
  Headley","New	
  York	
  Yankees®"
64,"Edwin	
  Encarnacion","Toronto	
  Blue	
  Jays®"
65,"Coco	
  Crisp","Oakland	
  AthleticsTM"
66,"Jon	
  Singleton","Houston	
  Astros®"
67,"Troy	
  Tulowitzki","Colorado	
  RockiesTM"
68,"Andre	
  Ethier","Los	
  Angeles	
  Dodgers®"
69,"Victor	
  Martinez","Detroit	
  Tigers®"
70,"Austin	
  Jackson","Seattle	
  MarinersTM"
71,"Evan	
  Gattis","Houston	
  Astros®"
72,"Kole	
  Calhoun",Angels®
73,"Adrian	
  Gonzalez","Los	
  Angeles	
  Dodgers®"
74,"Corey	
  Dickerson","Colorado	
  RockiesTM"
75,"Jacob	
  deGrom","New	
  York	
  Mets®"
76,"David	
  Ortiz","Boston	
  Red	
  Sox®"
77,"Evan	
  Longoria","Tampa	
  Bay	
  RaysTM"
78,"R.A.	
  Dickey","Toronto	
  Blue	
  Jays®"
79,"Chris	
  Davis","Baltimore	
  Orioles®"
80,"Corey	
  Kluber","Cleveland	
  Indians®"
81,"Xander	
  Bogaerts","Boston	
  Red	
  Sox®"

82,"Jose	
  Quintana","Chicago	
  White	
  Sox®"
83,"Lorenzo	
  Cain","Kansas	
  City	
  Royals®"
84,"Henderson	
  Alvarez","Miami	
  Marlins®"
85,"Kurt	
  Suzuki","Minnesota	
  Twins®"
86,"Cliff	
  Lee","Philadelphia	
  Phillies®"
87,"Jedd	
  Gyorko","San	
  Diego	
  PadresTM"
88,"Yusmeiro	
  Petit","San	
  Francisco	
  Giants®"
89,"Matt	
  Garza","Milwaukee	
  BrewersTM"
90,"Nick	
  Castellanos","Detroit	
  Tigers®"
91,"Marcell	
  Ozuna","Miami	
  Marlins®"
92,"Phil	
  Hughes","Minnesota	
  Twins®"
93,"CC	
  Sabathia","New	
  York	
  Yankees®"
94,"Jhonny	
  Peralta","St.	
  Louis	
  Cardinals®"
95,"Bryce	
  Harper","Washington	
  Nationals®"
96,"Devin	
  Mesoraco","Cincinnati	
  Reds®"
97,"Alcides	
  Escobar","Kansas	
  City	
  Royals®"
98,"Travis	
  d'Arnaud","New	
  York	
  Mets®"
99,"Ian	
  Kennedy","San	
  Diego	
  PadresTM"
100,"Madison	
  Bumgarner","San	
  Francisco	
  Giants®"
101,"Greg	
  Holland","Kansas	
  City	
  Royals®"
102,"Johnny	
  Cueto","Cincinnati	
  Reds®"
103,"Dexter	
  Fowler","Chicago	
  Cubs®"
104,"Billy	
  Hamilton","Cincinnati	
  Reds®"
105,"Lonnie	
  Chisenhall","Cleveland	
  Indians®"
106,"Sonny	
  Gray","Oakland	
  AthleticsTM"
107,"David	
  Price","Detroit	
  Tigers®"
108,"Aramis	
  Ramirez","Milwaukee	
  BrewersTM"
