BASE,,
VETERANS,,
1,Mike Trout,Angels®
2,Josh Donaldson,Toronto Blue Jays®
3,Albert Pujols,Angels®
4,A.J. Pollock,Arizona Diamondbacks®
5,Paul Goldschmidt,Arizona Diamondbacks®
6,Yasmany Tomas,Arizona Diamondbacks®
7,Freddie Freeman,Atlanta BravesTM
8,Andrelton Simmons,Angels®
9,Shelby Miller,Arizona Diamondbacks®
10,David Ortiz,Boston Red Sox®
11,Manny Machado,Baltimore Orioles®
12,Chris Davis,Baltimore Orioles®
13,Mookie Betts,Boston Red Sox®
14,Adam Jones,Baltimore Orioles®
15,Dustin Pedroia,Boston Red Sox®
16,Xander Bogaerts,Boston Red Sox®
17,Jon Lester,Chicago Cubs®
18,Jake Arrieta,Chicago Cubs®
19,Jorge Soler,Chicago Cubs®
20,Kris Bryant,Chicago Cubs®
21,Anthony Rizzo,Chicago Cubs®
22,Jose Abreu,Chicago White Sox®
23,Chris Sale,Chicago White Sox®
24,Carlos Rodon,Chicago White Sox®
25,Aroldis Chapman,New York Yankees®
26,Brandon Phillips,Cincinnati Reds®
27,Joey Votto,Cincinnati Reds®
28,Francisco Lindor,Cleveland Indians®
29,Corey Kluber,Cleveland Indians®
30,Carlos Correa,Houston Astros®
31,Charlie Blackmon,Colorado RockiesTM
32,Nolan Arenado,Colorado RockiesTM
33,Miguel Cabrera,Detroit Tigers®
34,Ian Kinsler,Detroit Tigers®
35,Justin Verlander,Detroit Tigers®
36,George Springer,Houston Astros®
37,Carlos Santana,Cleveland Indians®
38,Dallas Keuchel,Houston Astros®
39,Jose Altuve,Houston Astros®
40,Clayton Kershaw,Los Angeles Dodgers®
41,Lorenzo Cain,Kansas City Royals®
42,Salvador Perez,Kansas City Royals®
43,Eric Hosmer,Kansas City Royals®
44,Evan Gattis,Houston Astros®
45,Zack Greinke,Arizona Diamondbacks®
46,Adrian Gonzalez,Los Angeles Dodgers®
47,Yasiel Puig,Los Angeles Dodgers®
48,Giancarlo Stanton,Miami Marlins®
49,Jose Fernandez,Miami Marlins®
50,Ichiro,Miami Marlins®
51,Ryan Braun,Milwaukee BrewersTM
52,Byron Buxton,Minnesota Twins®
53,Brian Dozier,Minnesota Twins®
54,Joe Mauer,Minnesota Twins®

55,Yoenis Cespedes,New York Mets®
56,Matt Harvey,New York Mets®
