BASE,,,
BASE CARDS,,,
1,Mike Trout,Angels®,
2,David Ortiz,Boston Red Sox®,
3,Albert Pujols,Angels®,
4,Jacob deGrom,New York Mets®,
5,Maikel Franco,Philadelphia Phillies®,
6,Josh Reddick,Oakland AthleticsTM,
7,Byung-Ho Park,Minnesota Twins®,RC
8,Manny Machado,Baltimore Orioles®,
9,Jose Fernandez,Miami Marlins®,
10,Nomar Mazara,Texas Rangers®,RC
11,Freddie Freeman,Atlanta BravesTM,
12,Hunter Pence,San Francisco Giants®,
13,Wade Davis,Kansas City Royals®,
14,Jameson Taillon,Pittsburgh Pirates®,RC
15,Seung-Hwan Oh,St. Louis Cardinals®,RC
16,Tyler White,Houston Astros®,RC
17,Felix Hernandez,Seattle MarinersTM,
18,Noah Syndergaard,New York Mets®,
19,Josh Donaldson,Toronto Blue Jays®,
20,Aledmys Diaz,St. Louis Cardinals®,RC
21,Troy Tulowitzki,Toronto Blue Jays®,
22,Mookie Betts,Boston Red Sox®,
23,Paul Goldschmidt,Arizona Diamondbacks®,
24,Dustin Pedroia,Boston Red Sox®,
25,Kenta Maeda,Los Angeles Dodgers®,RC
26,Zack Greinke,Arizona Diamondbacks®,
27,Miguel Sano,Minnesota Twins®,RC
28,Andrew McCutchen,Pittsburgh Pirates®,
29,Jon Gray,Colorado RockiesTM,RC
30,Aaron Nola,Philadelphia Phillies®,RC
31,Kyle Schwarber,Chicago Cubs®,RC
32,Francisco Lindor,Cleveland Indians®,
33,Jose Abreu,Chicago White Sox®,
34,Robinson Cano,Seattle MarinersTM,
35,Evan Longoria,Tampa Bay RaysTM,
36,Mallex Smith,Atlanta BravesTM,RC
37,Ichiro,Miami Marlins®,
38,Dallas Keuchel,Houston Astros®,
39,Carlos Correa,Houston Astros®,
40,Corey Seager,Los Angeles Dodgers®,RC
41,Michael Fulmer,Detroit Tigers®,RC
42,Tyson Ross,San Diego PadresTM,
43,Adam Jones,Baltimore Orioles®,
44,Jason Heyward,Chicago Cubs®,
45,Anthony Rizzo,Chicago Cubs®,
46,Carl Edwards Jr.,Chicago Cubs®,RC
47,Yu Darvish,Texas Rangers®,
48,Stephen Piscotty,St. Louis Cardinals®,RC
49,David Price,Boston Red Sox®,

50,Clayton Kershaw,Los Angeles Dodgers®,
51,Trea Turner,Washington Nationals®,RC
52,Nelson Cruz,Seattle MarinersTM,
53,Chris Sale,Chicago White Sox®,
54,Buster Posey,San Francisco Giants®,
55,Jose Berrios,Minnesota Twins®,RC
56,Salvador Perez,Kansas City Royals®,
57,Trevor Story,Colorado RockiesTM,RC
58,Madison Bumgarner,San Francisco Giants®,
59,Evan Gattis,Houston Astros®,
60,Julio Urias,Los Angeles Dodgers®,RC
61,Todd Frazier,Chicago White Sox®,
62,Yadier Molina,St. Louis Cardinals®,
63,Dellin Betances,New York Yankees®,
64,J.D. Martinez,Detroit Tigers®,
65,Chris Archer,Tampa Bay RaysTM,
66,Adam Wainwright,St. Louis Cardinals®,
67,Luis Severino,New York Yankees®,RC
68,Henry Owens,Boston Red Sox®,RC
69,Aroldis Chapman,New York Yankees®,
70,Kris Bryant,Chicago Cubs®,
71,Sean Manaea,Oakland AthleticsTM,RC
72,Yoenis Cespedes,New York Mets®,
73,Ryan Braun,Milwaukee BrewersTM,
74,Eric Hosmer,Kansas City Royals®,
75,Jacoby Ellsbury,New York Yankees®,
76,Adrian Gonzalez,Los Angeles Dodgers®,
77,Edwin Encarnacion,Toronto Blue Jays®,
78,Adrian Beltre,Texas Rangers®,
79,Max Scherzer,Washington Nationals®,
80,Joey Votto,Cincinnati Reds®,
81,Masahiro Tanaka,New York Yankees®,
82,Michael Conforto,New York Mets®,RC
83,Albert Almora,Chicago Cubs®,RC
84,A.J. Pollock,Arizona Diamondbacks®,
85,Sonny Gray,Oakland AthleticsTM,
86,Miguel Cabrera,Detroit Tigers®,
87,Jose Bautista,Toronto Blue Jays®,
88,James Shields,Chicago White Sox®,
89,Jake Arrieta,Chicago Cubs®,
90,Gary Sanchez,New York Yankees®,RC
91,Giancarlo Stanton,Miami Marlins®,
92,Hector Olivera,Atlanta BravesTM,RC
93,Aaron Blair,Atlanta BravesTM,RC
94,Byron Buxton,Minnesota Twins®,
95,Justin Upton,Detroit Tigers®,
96,Nolan Arenado,Colorado RockiesTM,
97,Craig Kimbrel,Boston Red Sox®,
98,Blake Snell,Tampa Bay RaysTM,RC
99,Robert Stephenson,Cincinnati Reds®,RC
100,Bryce Harper,Washington Nationals®,

2016 BOWMAN BASE CARDS,
1 Mike Trout,Angels®
2 Josh Donaldson,Toronto Blue Jays®
3 Albert Pujols,Angels®
5 Paul Goldschmidt,Arizona Diamondbacks®
6 Yasmany Tomas,Arizona Diamondbacks®
7 Freddie Freeman,Atlanta BravesTM
10 David Ortiz,Boston Red Sox®
11 Manny Machado,Baltimore Orioles®
12 Chris Davis,Baltimore Orioles®
13 Mookie Betts,Boston Red Sox®
14 Adam Jones,Baltimore Orioles®
16 Xander Bogaerts,Boston Red Sox®
17 Jon Lester,Chicago Cubs®
18 Jake Arrieta,Chicago Cubs®
20 Kris Bryant,Chicago Cubs®
23 Chris Sale,Chicago White Sox®
27 Joey Votto,Cincinnati Reds®
28 Francisco Lindor,Cleveland Indians®
30 Carlos Correa,Houston Astros®
33 Miguel Cabrera,Detroit Tigers®
34 Ian Kinsler,Detroit Tigers®
38 Dallas Keuchel,Houston Astros®
39 Jose Altuve,Houston Astros®
40 Clayton Kershaw,Los Angeles Dodgers®
41 Lorenzo Cain,Kansas City Royals®
43 Eric Hosmer,Kansas City Royals®
45 Zack Greinke,Arizona Diamondbacks®
47 Yasiel Puig,Los Angeles Dodgers®
48 Giancarlo Stanton,Miami Marlins®
49 Jose Fernandez,Miami Marlins®
50 Ichiro,Miami Marlins®
51 Ryan Braun,Milwaukee BrewersTM
52 Byron Buxton,Minnesota Twins®
53 Brian Dozier,Minnesota Twins®
55 Yoenis Cespedes,New York Mets®
56 Matt Harvey,New York Mets®
57 Jacob deGrom,New York Mets®
58 Noah Syndergaard,New York Mets®
59 Dellin Betances,New York Yankees®
60 Masahiro Tanaka,New York Yankees®
61 Alex Rodriguez,New York Yankees®
62 Sonny Gray,Oakland AthleticsTM
64 Stephen Vogt,Oakland AthleticsTM
67 Odubel Herrera,Philadelphia Phillies®
68 Andrew McCutchen,Pittsburgh Pirates®
70 Buster Posey,San Francisco Giants®
73 Tyson Ross,San Diego PadresTM
75 Jung Ho Kang,Pittsburgh Pirates®
76 Madison Bumgarner,San Francisco Giants®
78 Brandon Belt,San Francisco Giants®
80 Felix Hernandez,Seattle MarinersTM

85,Chris Archer,Tampa Bay RaysTM,
86,Kevin Kiermaier,Tampa Bay RaysTM,
87,Prince Fielder,Texas Rangers®,
91,Jose Bautista,Toronto Blue Jays®,
92,David Price,Boston Red Sox®,
94,Wei-Yin Chen,Miami Marlins®,
96,Stephen Strasburg,Washington Nationals®,
97,Garrett Richards,Angels®,
98,David Peralta,Arizona Diamondbacks®,
99,Julio Teheran,Atlanta BravesTM,
100,Bryce Harper,Washington Nationals®,
101,Adam Eaton,Chicago White Sox®,
103,Jay Bruce,Cincinnati Reds®,
104,Carlos Gonzalez,Colorado RockiesTM,
110,Matt Kemp,San Diego PadresTM,
112,Kyle Seager,Seattle MarinersTM,
113,Marcus Stroman,Toronto Blue Jays®,
115,Trevor Rosenthal,St. Louis Cardinals®,
117,Michael Brantley,Cleveland Indians®,
118,Adam Wainwright,St. Louis Cardinals®,
119,Wade Davis,Kansas City Royals®,
122,Kyle Schwarber,Chicago Cubs®,RC
123,Stephen Piscotty,St. Louis Cardinals®,RC
124,Carl Edwards Jr.,Chicago Cubs®,RC
125,Aaron Nola,Philadelphia Phillies®,RC
126,Hector Olivera,Atlanta BravesTM,RC
127,Rob Refsnyder,New York Yankees®,RC
128,Jose Peraza,Cincinnati Reds®,RC
129,Henry Owens,Boston Red Sox®,RC
130,Trea Turner,Washington Nationals®,RC
131,Michael Conforto,New York Mets®,RC
132,Greg Bird,New York Yankees®,RC
133,Richie Shaffer,Tampa Bay RaysTM,RC
134,Jon Gray,Colorado RockiesTM,RC
135,Luis Severino,New York Yankees®,RC
136,Miguel Almonte,Kansas City Royals®,RC
137,Brandon Drury,Arizona Diamondbacks®,RC
138,Zach Lee,Los Angeles Dodgers®,RC
139,Kyle Waldrop,Cincinnati Reds®,RC
140,Miguel Sano,Minnesota Twins®,RC
142,Frankie Montas,Los Angeles Dodgers®,RC
143,Gary Sanchez,New York Yankees®,RC
144,Ketel Marte,Seattle MarinersTM,RC
145,Trayce Thompson,Los Angeles Dodgers®,RC
146,Jorge Lopez,Milwaukee BrewersTM,RC
147,Max Kepler,Minnesota Twins®,RC
148,Tom Murphy,Colorado RockiesTM,RC
149,Raul Mondesi,Kansas City Royals®,RC
150,Corey Seager,Los Angeles Dodgers®,RC

AUTOGRAPH,,,
CHROME ROOKIE AUTOGRAPH,,,
BCAR-AA,Albert Almora,Chicago Cubs®,Rookie
BCAR-AR,A.J. Reed,Houston Astros®,Rookie
BCAR-BP,Byung-Ho Park,Minnesota Twins®,Rookie
BCAR-BS,Blake Snell,Tampa Bay RaysTM,Rookie
BCAR-CS,Corey Seager,Los Angeles Dodgers®,Rookie
BCAR-FM,Frankie Montas,Los Angeles Dodgers®,Rookie
BCAR-HO,Henry Owens,Boston Red Sox®,Rookie
BCAR-JBE,Jose Berrios,Minnesota Twins®,Rookie
BCAR-JP,Jose Peraza,Cincinnati Reds®,Rookie
BCAR-JU,Julio Urias,Los Angeles Dodgers®,Rookie
BCAR-KEM,Kenta Maeda,Los Angeles Dodgers®,Rookie
BCAR-KS,Kyle Schwarber,Chicago Cubs®,Rookie
BCAR-LG,Lucas Giolito,Washington Nationals®,Rookie
BCAR-LS,Luis Severino,New York Yankees®,Rookie
BCAR-MR,Matt Reynolds,New York Mets®,Rookie
BCAR-MS,Miguel Sano,Minnesota Twins®,Rookie
BCAR-RM,Raul Mondesi,Kansas City Royals®,Rookie
BCAR-TT,Trayce Thompson,Los Angeles Dodgers®,Rookie
CHROME PROSPECT AUTOGRAPH,,,
CPA-AEN,Adam Engel,Chicago White Sox®,
CPA-ABA,Anthony Banda,Arizona Diamondbacks®,
BCAP-ASA,Antonio Santillan,Cincinnati Reds®,
BCAP-AG,Austin Gomber,St. Louis Cardinals®,
CPA-BM,Billy McKinney,Chicago Cubs®,
BCAP-CK,Chad Kuhl,Pittsburgh Pirates®,
BCAP-CG,Conner Greene,Toronto Blue Jays®,
BCAP-CS,Connor Sadzeck,Texas Rangers®,
CPA-CB,Corey Black,Chicago Cubs®,
BCAP-CZ,Corey Zangari,Chicago White Sox®,
BCAP-CR,Cornelius Randolph,Philadelphia Phillies®,
CPA-DP,Daniel Poncedeleon,St. Louis Cardinals®,
CPA-DH,David Hess,Baltimore Orioles®,
BCAP-DP,David Paulino,Houston Astros®,
CPA-DL,Domingo Leyba,Arizona Diamondbacks®,
BCAP-DFO,Dustin Fowler,New York Yankees®,
BCAP-EJM,Eddy Julio Martinez,Chicago Cubs®,
CPA-FT,Fernando Tatis Jr.,Chicago White Sox®,
BCAP-FR,Franklin Reyes,Chicago White Sox®,
CPA-HB,Harrison Bader,St. Louis Cardinals®,
BCAP-HJP,Hoy-Jun Park,New York Yankees®,
BCAP-ID,Isan Diaz,Milwaukee BrewersTM,
BCAP-JFA,Jacob Faria,Tampa Bay RaysTM,
BCAP-JJ,Jahmai Jones,Angels®,
BCAP-JS,Jaime Schultz,Tampa Bay RaysTM,
BCAP-JGU,Javier Guerra,San Diego PadresTM,
BCAP-JG,Jeison Guzman,Kansas City Royals®,
BCAP-JP,Jermaine Palacios,Minnesota Twins®,
CPA-JT,Jesus Tinoco,Colorado RockiesTM,

CPA-JMU,Joe Musgrove,Houston Astros®
CPA-JN,John Norwood,Miami Marlins®
BCAP-JA,Jonah Arenado,San Francisco Giants®
CPA-JGU,Jordan Guerrero,Chicago White Sox®
CPA-JP,Jordan Patterson,Colorado RockiesTM
BCAP-JOS,Jordan Stephens,Chicago White Sox®
CPA-JS,Juan Soto,Washington Nationals®
BCAP-JF,Junior Fernandez,St. Louis Cardinals®
CPA-MC,"Mike	
  Clevinger",Cleveland Indians®
BCAP-MG,Mike Gerber,Detroit Tigers®
CPA-MW,"Mikey	
  White",Oakland AthleticsTM
BCAP-OC,Oneal Cruz,Los Angeles Dodgers®
CPA-OD,Oscar De La Cruz,Chicago Cubs®
BCAP-RO,Raffy Ozuna,St. Louis Cardinals®
CPA-RS,Ricardo Sanchez,Atlanta BravesTM
BCAP-RW,Ryan Williams,Chicago Cubs®
BCAP-SH,Sam Howard,Colorado RockiesTM
BCAP-STR,Sam Travis,Boston Red Sox®
