BASE,,
CHROME BASE 2016 MLB DRAFT PICKS,,
BDC-1,Mickey Moniak,Philadelphia Phillies®
BDC-2,Thomas Jones,Miami Marlins®
BDC-3,Dylan Carlson,St. Louis Cardinals®
BDC-4,Cole Irvin,Philadelphia Phillies®
BDC-5,Kevin Gowdy,Philadelphia Phillies®
BDC-6,Dakota Hudson,St. Louis Cardinals®
BDC-7,Walker Robbins,St. Louis Cardinals®
BDC-8,Khalil Lee,Kansas City Royals®
BDC-9,Logan Ice,Cleveland Indians®
BDC-10,Braxton Garrett,Miami Marlins®
BDC-11,Anfernee Grier,Arizona Diamondbacks®
BDC-12,Kyle Hart,Boston Red Sox®
BDC-13,Taylor Trammell,Cincinnati Reds®
BDC-14,Brian Serven,Colorado RockiesTM
BDC-15,Buddy Reed,San Diego PadresTM
BDC-16,Carter Kieboom,Washington Nationals®
BDC-17,Jimmy Lambert,Chicago White Sox®
BDC-18,Nick Solak,New York Yankees®
BDC-19,Alexis Torres,Baltimore Orioles®
BDC-20,Cal Quantrill,San Diego PadresTM
BDC-21,JaVon Shelby,Oakland AthleticsTM
BDC-22,Kyle Funkhouser,Detroit Tigers®
BDC-23,Dom Thompson-Williams New York Yankees®,
BDC-24,Jeremy Martinez,St. Louis Cardinals®
BDC-25,A.J. Puk,Oakland AthleticsTM
BDC-26,Brett Cumberland,Atlanta BravesTM
BDC-27,Mason Thompson,San Diego PadresTM
BDC-28,Easton McGee,Tampa Bay RaysTM
BDC-29,Justin Dunn,New York Mets®
BDC-30,Matt Manning,Detroit Tigers®
BDC-31,Delvin Perez,St. Louis Cardinals®
BDC-32,Nolan Jones,Cleveland Indians®
BDC-33,Matt Krook,San Francisco Giants®
BDC-34,Stephen Alemais,Pittsburgh Pirates®
BDC-35,Joey Wentz,Atlanta BravesTM
BDC-36,Ben Bowden,Colorado RockiesTM
BDC-37,Drew Harrington,Atlanta BravesTM
BDC-38,C.J. Chatham,Boston Red Sox®
BDC-39,Will Craig,Pittsburgh Pirates®
BDC-40,Zack Collins,Chicago White Sox®
BDC-41,Skylar Szynski,Oakland AthleticsTM
BDC-42,Sheldon Neuse,Washington Nationals®
BDC-43,Nicholas Lopez,Kansas City Royals®
BDC-44,Heath Quinn,San Francisco Giants®
BDC-45,Alex Speas,Texas Rangers®
BDC-46,Cody Sedlock,Baltimore Orioles®
BDC-47,Blake Tiberi,New York Mets®
BDC-48,Mario Feliciano,Milwaukee BrewersTM
BDC-49,Brett Adcock,Houston Astros®

BDC-50,Riley Pint,Colorado RockiesTM
BDC-51,Jacob Heyward,San Francisco Giants®
BDC-52,Hudson Potts,San Diego PadresTM
