BASE,,
TRADED PLAYERS,,
US6,Chris Herrmann,Arizona Diamondbacks®
US7,Blaine Boyer,Milwaukee Brewers
US8,Pedro Alvarez,Baltimore Orioles®
US10,John Jaso,Pittsburgh Pirates®
US11,Erick Aybar,Atlanta Braves
US12,Matt Szczur,Chicago Cubs®
US14,Chris Capuano,Milwaukee Brewers
US16,Alexei Ramirez,San Diego Padres
US20,Junichi Tazawa,Boston Red Sox®
US22,Neil Walker,New York Mets®
US26,Jose Lobaton,Washington Nationals®
US28,Alfredo Simon,Cincinnati Reds®
US32,Juan Uribe,Cleveland Indians®
US35,Joaquin Benoit,Toronto Blue Jays®
US36,Yonder Alonso,Oakland Athletics
US37,Jon Niese,New York Mets®
US41,Mark Melancon,Washington Nationals®
US42,Andrew Miller,Cleveland Indians®
US46,Steven Wright,Boston Red Sox®
US47,Austin Romine,New York Yankees®
US49,Ivan Nova,Pittsburgh Pirates®
US51,Steve Pearce,Baltimore Orioles®
US55,Vince Velasquez,Philadelphia Phillies®
US60,Daniel Hudson,Arizona Diamondbacks®
US61,Jed Lowrie,Oakland Athletics
US64,Steve Pearce,Baltimore Orioles®
US66,Fernando Rodney,Miami Marlins®
US71,Kelly Johnson,New York Mets®
US75,Alex Colome,Tampa Bay Rays
US76,Yunel Escobar,Los Angeles Angels
US77,Wade Miley,Baltimore Orioles®
US78,Jay Bruce,New York Mets®
US80,Aaron Hill,Boston Red Sox®
US82,Chad Qualls,Colorado Rockies
US83,Bud Norris,Los Angeles Dodgers®
US87,Asdrubal Cabrera,New York Mets®
US90,Jake McGee,Colorado Rockies
US91,Dan Jennings,Chicago White Sox®
US94,Adam Lind,Seattle Mariners
US95,Hector Neris,Philadelphia Phillies®
US97,Cameron Maybin,Detroit Tigers®
US98,Mike Bolsinger,Los Angeles Dodgers®
US100,Andrew Cashner,Miami Marlins®
US102,Aaron Hicks,New York Yankees®
US104,Matt Wieters,Baltimore Orioles®
US107,Rene Rivera,New York Mets®
US109,Shelby Miller,Arizona Diamondbacks®
US110,Bryan Shaw,Cleveland Indians®
US111,Josh Reddick,Los Angeles Dodgers®
US112,Ben Revere,Washington Nationals®
US116,Jake Diekman,Texas Rangers®
US121,Ender Inciarte,Atlanta Braves
US122,Oswaldo Arcia,Tampa Bay Rays
US127,Brad Ziegler,Boston Red Sox®
US128,Denard Span,San Francisco Giants®
US129,Peter Bourjos,Philadelphia Phillies®
US130,Ryan Rua,Texas Rangers®
US131,Tyler Flowers,Atlanta Braves
US132,Jose Reyes,New York Mets®
US137,Dexter Fowler,Chicago Cubs®
US140,Eduardo Nunez,San Francisco Giants®
US142,Andrelton Simmons,Los Angeles Angels
US143,Drew Stubbs,Texas Rangers®
US145,Aroldis Chapman,Chicago Cubs®
US148,Matt Moore,San Francisco Giants®
US153,Zach Duke,St. Louis Cardinals®
US154,Trevor Cahill,Chicago Cubs®
US155,Nolan Reimold,Baltimore Orioles®
US156,Geovany Soto,Los Angeles Angels
US162,Drew Pomeranz,Boston Red Sox®
US165,Drew Butera,Kansas City Royals®
US168,Robbie Grossman,Minnesota Twins®
US170,Addison Reed,New York Mets®
US174,Starlin Castro,New York Yankees®
US177,Matt Joyce,Pittsburgh Pirates®
US179,Ezequiel Carrera,Toronto Blue Jays®
US180,Matt Andriese,Tampa Bay Rays
US183,Todd Frazier,Chicago White Sox®
US184,Yovani Gallardo,Baltimore Orioles®
US185,Jeremy Hellickson,Philadelphia Phillies®
US186,Melvin Upton Jr.,Toronto Blue Jays®
US187,Justin Wilson,Detroit Tigers®
US188,Shawn Kelley,Washington Nationals®
US189,Jonathan Lucroy,Texas Rangers®
US193,Joakim Soria,Kansas City Royals®
US195,Carlos Beltran,Texas Rangers®
US196,Mark Trumbo,Baltimore Orioles®
US197,Brad Brach,Baltimore Orioles®
US199,Brandon Moss,St. Louis Cardinals®
US202,Jose Ramirez,Cleveland Indians®
US207,Jarred Cosart,San Diego Padres
US208,Pedro Strop,Chicago Cubs®
US209,Tyler Clippard,New York Yankees®
US210,James Shields,Chicago White Sox®
US212,Ian Kennedy,Kansas City Royals®
US215,Kirby Yates,New York Yankees®
US225,Tim Lincecum,Los Angeles Angels
US230,Zack Greinke,Arizona Diamondbacks®
US231,Austin Jackson,Chicago White Sox®
US237,Ian Desmond,Texas Rangers®
US238,Alejandro de Aza,New York Mets®
US239,Matt Kemp,Atlanta Braves
US240,Rickie Weeks Jr.,Arizona Diamondbacks®
US243,Drew Storen,Seattle Mariners
US245,Howie Kendrick,Los Angeles Dodgers®
US248,Sam Dyson,Texas Rangers®

US251,Craig Kimbrel,Boston Red Sox®,
US255,Adam Conley,Miami Marlins®,
US257,Jedd Gyorko,St. Louis Cardinals®,
US259,Chris Young,Boston Red Sox®,
US261,Jarrod Saltalamacchia,Detroit Tigers®,
US263,Kirk Nieuwenhuis,Milwaukee Brewers,
US264,Cody Anderson,Cleveland Indians®,
US265,Doug Fister,Houston Astros®,
