Card Set,Number,Player,Team
Base Camo Uniform Variations,1,Mike Trout,Los Angeles Angels
Base Camo Uniform Variations,12,Nolan Arenado,Colorado Rockies
Base Camo Uniform Variations,28,Brian McCann,New York Yankees
Base Camo Uniform Variations,46,Jhonny Peralta,St. Louis Cardinals
Base Camo Uniform Variations,53,George Springer,Houston Astros
Base Camo Uniform Variations,84,Mookie Betts,Boston Red Sox
Base Camo Uniform Variations,86,Wilmer Flores,New York Mets
Base Camo Uniform Variations,100,Bryce Harper,Washington Nationals
Base Camo Uniform Variations,152,Salvador Perez,Kansas City Royals
Base Camo Uniform Variations,154,Hunter Pence,San Francisco Giants
Base Camo Uniform Variations,173,Jose Abreu,Chicago White Sox
Base Camo Uniform Variations,175,Manny Machado,Baltimore Orioles
Base Camo Uniform Variations,195,Jason Kipnis,Cleveland Indians
Base Camo Uniform Variations,200,Josh Donaldson,Toronto Blue Jays
Base Camo Uniform Variations,206,Alex Gordon,Kansas City Royals
Base Camo Uniform Variations,232,Michael Conforto,New York Mets
Base Camo Uniform Variations,244,Matt Carpenter,St. Louis Cardinals
Base Camo Uniform Variations,261,Russell Martin,Toronto Blue Jays
Base Camo Uniform Variations,269,Giancarlo Stanton,Miami Marlins
Base Camo Uniform Variations,275,Ian Kinsler,Detroit Tigers
Base Camo Uniform Variations,286,Joe Mauer,Minnesota Twins
Base Camo Uniform Variations,292,Todd Frazier,Cincinnati Reds
Base Camo Uniform Variations,317,Jose Altuve,Houston Astros
Base Camo Uniform Variations,341,Josh Hamilton,Texas Rangers
Base Camo Uniform Variations,350,Kris Bryant,Chicago Cubs
Base Super Short Print Variations,1,Mike Trout,Los Angeles Angels
Base Super Short Print Variations,4,Sonny Gray,Oakland Athletics
Base Super Short Print Variations,8,Michael Brantley,Cleveland Indians
Base Super Short Print Variations,78,Miguel Sano,Minnesota Twins
Base Super Short Print Variations,132,Joe Ross,Washington Nationals
Base Super Short Print Variations,133,Aaron Nola,Philadelphia Phillies
Base Super Short Print Variations,134,Yadier Molina,St. Louis Cardinals
Base Super Short Print Variations,139,Yasiel Puig,Los Angeles Dodgers
Base Super Short Print Variations,150,Clayton Kershaw,Los Angeles Dodgers
Base Super Short Print Variations,173,Jose Abreu,Chicago White Sox
Base Super Short Print Variations,188,Greg Bird,New York Yankees
Base Super Short Print Variations,250,Miguel Cabrera,Detroit Tigers
Base Super Short Print Variations,253,Nick Castellanos,Detroit Tigers
Base Super Short Print Variations,259,Paul Goldschmidt,Arizona Diamondbacks
Base Super Short Print Variations,261,Russell Martin,Toronto Blue Jays
Base Super Short Print Variations,264,Jake Arrieta,Chicago Cubs
Base Super Short Print Variations,268,Robinson Cano,Seattle Mariners
Base Super Short Print Variations,286,Joe Mauer,Minnesota Twins
Base Super Short Print Variations,298,Ryan Braun,Milwaukee Brewers
Base Super Short Print Variations,300,Buster Posey,San Francisco Giants
Base Super Short Print Variations,312,Curtis Granderson,New York Mets
Base Super Short Print Variations,317,Jose Altuve,Houston Astros
Base Super Short Print Variations,321,Hanley Ramirez,Boston Red Sox
Base Super Short Print Variations,327,Anthony Rizzo,Chicago Cubs
Base Super Short Print Variations,350,Kris Bryant,Chicago Cubs
