Card Set,Number,Player,Team
Base Short Print Variations,US13,Sean Manaea,Oakland Athletics
Base Short Print Variations,US34,Cody Reed,Cincinnati Reds
Base Short Print Variations,US45,Julio Urias,Los Angeles Dodgers
Base Short Print Variations,US58,Jameson Taillon,Pittsburgh Pirates
Base Short Print Variations,US65,Byung-Ho Park,Minnesota Twins
Base Short Print Variations,US67,Blake Snell,Tampa Bay Rays
Base Short Print Variations,US69,Mike Clevinger,Cleveland Indians
Base Short Print Variations,US92,A.J. Reed,Houston Astros
Base Short Print Variations,US99,Jeremy Hazelbaker,St. Louis Cardinals
Base Short Print Variations,US117,Tyler Naquin,Cleveland Indians
Base Short Print Variations,US152,Michael Fulmer,Detroit Tigers
Base Short Print Variations,US158,Nomar Mazara,Texas Rangers
Base Short Print Variations,US176,Jose Berrios,Minnesota Twins
Base Short Print Variations,US178,Albert Almora,Chicago Cubs
Base Short Print Variations,US182,Hyun-Soo Kim,Baltimore Orioles
Base Short Print Variations,US190,Trayce Thompson,Los Angeles Dodgers
Base Short Print Variations,US211,Tyler White,Houston Astros
Base Short Print Variations,US216,Robert Stephenson,Cincinnati Reds
Base Short Print Variations,US220,Colin Moran,Houston Astros
Base Short Print Variations,US226,Trevor Story,Colorado Rockies
Base Short Print Variations,US229,Lucas Giolito,Washington Nationals
Base Short Print Variations,US244,Mallex Smith,Atlanta Braves
Base Short Print Variations,US258,Seung-Hwan Oh,St. Louis Cardinals
Base Short Print Variations,US287,Tim Anderson,Chicago White Sox
Base Short Print Variations,US292,Aledmys Diaz,St. Louis Cardinals
Base Super Short Print Variations,US1,Manny Machado,Baltimore Orioles
Base Super Short Print Variations,US52,Will Myers,San Diego Padres
Base Super Short Print Variations,US79,Josh Donaldson,Toronto Blue Jays
Base Super Short Print Variations,US125,Daniel Murphy,Washington Nationals
Base Super Short Print Variations,US161,Bartolo Colon,New York Mets
Base Super Short Print Variations,US167,Corey Seager,Los Angeles Dodgers
Base Super Short Print Variations,US175,Mike Trout,Los Angeles Angels
Base Super Short Print Variations,US194,Eric Hosmer,Kansas City Royals
Base Super Short Print Variations,US198,Carlos Gonzalez,Colorado Rockies
Base Super Short Print Variations,US201,Mookie Betts,Boston Red Sox
Base Super Short Print Variations,US206,Salvador Perez,Kansas City Royals
Base Super Short Print Variations,US222,Zach Britton,Baltimore Orioles
Base Super Short Print Variations,US223,Jose Fernandez,Miami Marlins
Base Super Short Print Variations,US232,Clayton Kershaw,Los Angeles Dodgers
Base Super Short Print Variations,US233,Chris Sale,Chicago White Sox
Base Super Short Print Variations,US252,Johnny Cueto,San Francisco Giants
Base Super Short Print Variations,US254,David Ortiz,Boston Red Sox
Base Super Short Print Variations,US256,Nolan Arenado,Colorado Rockies
Base Super Short Print Variations,US262,Robinson Cano,Seattle Mariners
Base Super Short Print Variations,US281,Anthony Rizzo,Chicago Cubs
Base Super Short Print Variations,US288,Jose Altuve,Houston Astros
Base Super Short Print Variations,US290,Miguel Cabrera,Detroit Tigers
Base Super Short Print Variations,US291,Dellin Betances,New York Yankees
Base Super Short Print Variations,US294,Kris Bryant,Chicago Cubs
Base Super Short Print Variations,US297,Bryce Harper,Washington Nationals
