Card Set,Number,Player,Team,Seq.
All-Time Greats Autographs,1,Shaquille O'Neal ,Orlando Magic,35
All-Time Greats Autographs,2,Gail Goodrich,Phoenix Suns,75
All-Time Greats Autographs,3,Artis Gilmore,Chicago Bulls,75
All-Time Greats Autographs,4,Dominique Wilkins,Atlanta Hawks,35
All-Time Greats Autographs,5,Kareem Abdul-Jabbar,Los Angeles Lakers,35
All-Time Greats Autographs,6,Alex English,Denver Nuggets,75
All-Time Greats Autographs,7,Alonzo Mourning,Miami Heat,35
All-Time Greats Autographs,8,James Worthy,Los Angeles Lakers,35
All-Time Greats Autographs,9,Hakeem Olajuwon,Houston Rockets,35
All-Time Greats Autographs,10,Dennis Rodman,Chicago Bulls,35
All-Time Greats Autographs,11,Bernard King,Washington Bullets,75
All-Time Greats Autographs,12,David Thompson,Denver Nuggets,75
All-Time Greats Autographs,13,Oscar Robertson,Milwaukee Bucks,35
All-Time Greats Autographs,14,Magic Johnson,Los Angeles Lakers,35
All-Time Greats Autographs,15,Dan Issel,Denver Nuggets,75
All-Time Greats Autographs,16,Jerry West,Los Angeles Lakers,35
All-Time Greats Autographs,17,George Gervin,San Antonio Spurs,75
All-Time Greats Autographs,18,Allen Iverson,Philadelphia 76ers,35
All-Time Greats Autographs,19,Bill Russell,Boston Celtics,35
All-Time Greats Autographs,20,Bob McAdoo,Buffalo Braves,75
All-Time Greats Autographs,21,Lenny Wilkens,St. Louis Hawks,75
All-Time Greats Autographs,22,Glen Rice,Charlotte Hornets,75
All-Time Greats Autographs,23,Anfernee Hardaway,Orlando Magic,35
All-Time Greats Autographs,24,Mark Aguirre,Dallas Mavericks,75
All-Time Greats Autographs,25,Kobe Bryant,Los Angeles Lakers,35
Base Set,1,Aaron Gordon,Orlando Magic,99
Base Set,2,Al Horford,Boston Celtics,99
Base Set,3,Allen Iverson,Philadelphia 76ers,99
Base Set,4,Andre Drummond,Detroit Pistons,99
Base Set,5,Andrew Wiggins,Minnesota Timberwolves,99
Base Set,6,Anthony Davis,New Orleans Hornets,99
Base Set,7,Avery Bradley,Boston Celtics,99
Base Set,8,Ben Simmons,Philadelphia 76ers,99
Base Set,9,Blake Griffin,Los Angeles Clippers,99
Base Set,10,Bradley Beal,Washington Wizards,99
Base Set,11,Brook Lopez,Brooklyn Nets,99
Base Set,12,CJ McCollum,Portland Trail Blazers,99
Base Set,13,Carmelo Anthony,New York Knicks,99
Base Set,14,Chris Paul,Los Angeles Clippers,99
Base Set,15,Damian Lillard,Portland Trail Blazers,99
Base Set,16,D'Angelo Russell,Los Angeles Lakers,99
Base Set,17,Darren Collison,Sacramento Kings,99
Base Set,18,David Robinson,San Antonio Spurs,99
Base Set,19,DeAndre Jordan,Los Angeles Clippers,99
Base Set,20,DeMar DeRozan,Toronto Raptors,99
Base Set,21,DeMarcus Cousins,New Orleans Pelicans,99
Base Set,22,Dennis Schroder,Atlanta Hawks,99
Base Set,23,Derrick Rose,New York Knicks,99
Base Set,24,Devin Booker,Phoenix Suns,99
Base Set,25,Dion Waiters,Miami Heat,99
Base Set,26,Dirk Nowitzki,Dallas Mavericks,99
Base Set,27,Draymond Green,Golden State Warriors,99
Base Set,28,Dwight Howard,Atlanta Hawks,99
Base Set,29,Dwyane Wade,Chicago Bulls,99
Base Set,30,Emmanuel Mudiay,Denver Nuggets,99
Base Set,31,Eric Bledsoe,Phoenix Suns,99
Base Set,32,Eric Gordon,Houston Rockets,99
Base Set,33,Evan Fournier,Orlando Magic,99
Base Set,34,Giannis Antetokounmpo,Milwaukee Bucks,99
Base Set,35,Goran Dragic,Miami Heat,99
Base Set,36,Gordon Hayward,Utah Jazz,99
Base Set,37,Greg Monroe,Milwaukee Bucks,99
Base Set,38,Harrison Barnes,Dallas Mavericks,99
Base Set,39,Hassan Whiteside,Miami Heat,99
Base Set,40,Isaiah Thomas,Boston Celtics,99
Base Set,41,Jabari Parker,Milwaukee Bucks,99
Base Set,42,Jahlil Okafor,Philadelphia 76ers,99
Base Set,43,James Harden,Houston Rockets,99
Base Set,44,Jeff Teague,Indiana Pacers,99
Base Set,45,Jeremy Lin,Brooklyn Nets,99
Base Set,46,Jimmy Butler,Chicago Bulls,99
Base Set,47,Joel Embiid,Philadelphia 76ers,99
Base Set,48,John Wall,Washington Wizards,99
Base Set,49,Jonas Valanciunas,Toronto Raptors,99
Base Set,50,Jordan Clarkson,Los Angeles Lakers,99
Base Set,51,Jrue Holiday,New Orleans Pelicans,99
Base Set,52,Julius Randle,Los Angeles Lakers,99
Base Set,53,Jusuf Nurkic,Portland Trail Blazers,99
Base Set,54,Karl Malone,Utah Jazz,99
Base Set,55,Karl-Anthony Towns,Minnesota Timberwolves,99
Base Set,56,Kawhi Leonard,San Antonio Spurs,99
Base Set,57,Kemba Walker,Charlotte Hornets,99
Base Set,58,Kenneth Faried,Denver Nuggets,99
Base Set,59,Kentavious Caldwell-Pope,Detroit Pistons,99
Base Set,60,Kevin Durant,Golden State Warriors,99
Base Set,61,Kevin Love,Cleveland Cavaliers,99
Base Set,62,Klay Thompson,Golden State Warriors,99
Base Set,63,Kobe Bryant,Los Angeles Lakers,99
Base Set,64,Kristaps Porzingis,New York Knicks,99
Base Set,65,Kyle Lowry,Toronto Raptors,99
Base Set,66,Kyrie Irving,Cleveland Cavaliers,99
Base Set,67,LaMarcus Aldridge,San Antonio Spurs,99
Base Set,68,LeBron James,Cleveland Cavaliers,99
Base Set,69,Lou Williams,Houston Rockets,99
Base Set,70,Marc Gasol,Memphis Grizzlies,99
Base Set,71,Markieff Morris,Washington Wizards,99
Base Set,72,Michael Kidd-Gilchrist,Charlotte Hornets,99
Base Set,73,Mike Conley,Memphis Grizzlies,99
Base Set,74,Myles Turner,Indiana Pacers,99
Base Set,75,Nicolas Batum,Charlotte Hornets,99
Base Set,76,Nikola Jokic,Denver Nuggets,99
Base Set,77,Nikola Mirotic,Chicago Bulls,99
Base Set,78,Nikola Vucevic,Orlando Magic,99
Base Set,79,Paul George,Indiana Pacers,99
Base Set,80,Paul Millsap,Atlanta Hawks,99
Base Set,81,Reggie Jackson,Detroit Pistons,99
Base Set,82,Reggie Miller,Indiana Pacers,99
Base Set,83,Robert Covington,Philadelphia 76ers,99
Base Set,84,Rodney Hood,Utah Jazz,99
Base Set,85,Rudy Gay,Sacramento Kings,99
Base Set,86,Rudy Gobert,Utah Jazz,99
Base Set,87,Russell Westbrook,Oklahoma City Thunder,99
Base Set,88,Scottie Pippen,Chicago Bulls,99
Base Set,89,Seth Curry,Dallas Mavericks,99
Base Set,90,Shaquille O'Neal ,Orlando Magic,99
Base Set,91,Stephen Curry,Golden State Warriors,99
Base Set,92,Steven Adams,Oklahoma City Thunder,99
Base Set,93,T.J. Warren,Phoenix Suns,99
Base Set,94,Taj Gibson,Oklahoma City Thunder,99
Base Set,95,Tony Parker,San Antonio Spurs,99
Base Set,96,Trevor Booker,Brooklyn Nets,99
Base Set,97,Tristan Thompson,Cleveland Cavaliers,99
Base Set,98,Willie Cauley-Stein,Sacramento Kings,99
Base Set,99,Zach LaVine,Minnesota Timberwolves,99
Base Set,100,Zach Randolph,Memphis Grizzlies,99
Base Set Blue,1,Aaron Gordon,Orlando Magic,35
Base Set Blue,2,Al Horford,Boston Celtics,35
Base Set Blue,3,Allen Iverson,Philadelphia 76ers,35
Base Set Blue,4,Andre Drummond,Detroit Pistons,35
Base Set Blue,5,Andrew Wiggins,Minnesota Timberwolves,35
Base Set Blue,6,Anthony Davis,New Orleans Hornets,35
Base Set Blue,7,Avery Bradley,Boston Celtics,35
Base Set Blue,8,Ben Simmons,Philadelphia 76ers,35
Base Set Blue,9,Blake Griffin,Los Angeles Clippers,35
Base Set Blue,10,Bradley Beal,Washington Wizards,35
Base Set Blue,11,Brook Lopez,Brooklyn Nets,35
Base Set Blue,12,CJ McCollum,Portland Trail Blazers,35
Base Set Blue,13,Carmelo Anthony,New York Knicks,35
Base Set Blue,14,Chris Paul,Los Angeles Clippers,35
Base Set Blue,15,Damian Lillard,Portland Trail Blazers,35
Base Set Blue,16,D'Angelo Russell,Los Angeles Lakers,35
Base Set Blue,17,Darren Collison,Sacramento Kings,35
Base Set Blue,18,David Robinson,San Antonio Spurs,35
Base Set Blue,19,DeAndre Jordan,Los Angeles Clippers,35
Base Set Blue,20,DeMar DeRozan,Toronto Raptors,35
Base Set Blue,21,DeMarcus Cousins,New Orleans Pelicans,35
Base Set Blue,22,Dennis Schroder,Atlanta Hawks,35
Base Set Blue,23,Derrick Rose,New York Knicks,35
Base Set Blue,24,Devin Booker,Phoenix Suns,35
Base Set Blue,25,Dion Waiters,Miami Heat,35
Base Set Blue,26,Dirk Nowitzki,Dallas Mavericks,35
Base Set Blue,27,Draymond Green,Golden State Warriors,35
Base Set Blue,28,Dwight Howard,Atlanta Hawks,35
Base Set Blue,29,Dwyane Wade,Chicago Bulls,35
Base Set Blue,30,Emmanuel Mudiay,Denver Nuggets,35
Base Set Blue,31,Eric Bledsoe,Phoenix Suns,35
Base Set Blue,32,Eric Gordon,Houston Rockets,35
Base Set Blue,33,Evan Fournier,Orlando Magic,35
Base Set Blue,34,Giannis Antetokounmpo,Milwaukee Bucks,35
Base Set Blue,35,Goran Dragic,Miami Heat,35
