Card Set,Number,Player,Team,Seq.
35th Anniversary Edition,29,Lionel Messi,FC Barcelona,
35th Anniversary Edition,31,Neymar Jr.,FC Barcelona,
35th Anniversary Edition,36,Manuel Neuer,FC Bayern Munich,
35th Anniversary Edition,39,Robert Lewandowski,FC Bayern Munich,
35th Anniversary Edition,113,Gianluigi Buffon,Juventus,
35th Anniversary Edition,118,Paul Pogba,Juventus,
35th Anniversary Edition,134,Zlatan Ibrahimovic,Paris Saint-Germain,
35th Anniversary Edition,141,Cristiano Ronaldo,Real Madrid CF,
35th Anniversary Edition,142,Gareth Bale,Real Madrid CF,
35th Anniversary Edition,149,Sergio Ramos,Real Madrid CF,
Accomplishments,1,Riccardo Montolivo,AC Milan,
Accomplishments,2,Fernando Torres,Atletico de Madrid,
Accomplishments,3,Andres Iniesta,FC Barcelona,
Accomplishments,4,Lionel Messi,FC Barcelona,
Accomplishments,5,Philipp Lahm,FC Bayern Munich,
Accomplishments,6,Robert Lewandowski,FC Bayern Munich,
Accomplishments,7,Carlos Tevez,Boca Juniors,
Accomplishments,8,Pierre-Emerick Aubameyang,Borussia Dortmund,
Accomplishments,9,Igor Akinfeev,CSKA Moskva,
Accomplishments,10,Iker Casillas,FC Porto,
Accomplishments,11,Klaas-Jan Huntelaar,FC Schalke 04,
Accomplishments,12,Robin van Persie,Fenerbahce SK,
Accomplishments,13,Wesley Sneijder,Galatasaray AS,
Accomplishments,14,Mauro Icardi,FC Internazionale,
Accomplishments,15,Gianluigi Buffon,Juventus,
Accomplishments,16,Zlatan Ibrahimovic,Paris Saint-Germain,
Accomplishments,17,Cristiano Ronaldo,Real Madrid CF,
Accomplishments,18,Gareth Bale,Real Madrid CF,
Accomplishments,19,Teo Gutierrez,Sporting CP,
Accomplishments,20,Hulk,FC Zenit,
Accomplishments Canvas,1,Riccardo Montolivo,AC Milan,49
Accomplishments Canvas,2,Fernando Torres,Atletico de Madrid,49
Accomplishments Canvas,3,Andres Iniesta,FC Barcelona,49
Accomplishments Canvas,4,Lionel Messi,FC Barcelona,49
Accomplishments Canvas,5,Philipp Lahm,FC Bayern Munich,49
Accomplishments Canvas,6,Robert Lewandowski,FC Bayern Munich,49
Accomplishments Canvas,7,Carlos Tevez,Boca Juniors,49
Accomplishments Canvas,8,Pierre-Emerick Aubameyang,Borussia Dortmund,49
Accomplishments Canvas,9,Igor Akinfeev,CSKA Moskva,49
Accomplishments Canvas,10,Iker Casillas,FC Porto,49
Accomplishments Canvas,11,Klaas-Jan Huntelaar,FC Schalke 04,49
Accomplishments Canvas,12,Robin van Persie,Fenerbahce SK,49
Accomplishments Canvas,13,Wesley Sneijder,Galatasaray AS,49
Accomplishments Canvas,14,Mauro Icardi,FC Internazionale,49
Accomplishments Canvas,15,Gianluigi Buffon,Juventus,49
Accomplishments Canvas,16,Zlatan Ibrahimovic,Paris Saint-Germain,49
Accomplishments Canvas,17,Cristiano Ronaldo,Real Madrid CF,49
Accomplishments Canvas,18,Gareth Bale,Real Madrid CF,49
Accomplishments Canvas,19,Teo Gutierrez,Sporting CP,49
Accomplishments Canvas,20,Hulk,FC Zenit,49
Accomplishments Gold,1,Riccardo Montolivo,AC Milan,
Accomplishments Gold,2,Fernando Torres,Atletico de Madrid,
Accomplishments Gold,3,Andres Iniesta,FC Barcelona,
Accomplishments Gold,4,Lionel Messi,FC Barcelona,
Accomplishments Gold,5,Philipp Lahm,FC Bayern Munich,
Accomplishments Gold,6,Robert Lewandowski,FC Bayern Munich,
Accomplishments Gold,7,Carlos Tevez,Boca Juniors,
Accomplishments Gold,8,Pierre-Emerick Aubameyang,Borussia Dortmund,
Accomplishments Gold,9,Igor Akinfeev,CSKA Moskva,
Accomplishments Gold,10,Iker Casillas,FC Porto,
Accomplishments Gold,11,Klaas-Jan Huntelaar,FC Schalke 04,
