BASE,,
VETERANS AND ROOKIES,,
1 Kris Bryant,Chicago Cubs,
2 Kenta Maeda,Los Angeles Dodgers,
3 Bryce Harper,Washington Nationals,
4 Jeff Hoffman,Colorado Rockies,Rookie
5 Trevor Story,Colorado Rockies,
6 Mookie Betts,Boston Red Sox,
7 Cole Hamels,Texas Rangers,
8 Matt Carpenter,St. Louis Cardinals,
9 Carlos Correa,Houston Astros,
10 Jose Bautista,Toronto Blue Jays,
11 Ryan Braun,Milwaukee Brewers,
12 Trea Turner,Washington Nationals,
13 Stephen Piscotty,St. Louis Cardinals,
14 Stephen Strasburg,Washington Nationals,
15 Buster Posey,San Francisco Giants,
16 Joey Votto,Cincinnati Reds,
17 Yoenis Cespedes,New York Mets,
18 Andrew McCutchen,Pittsburgh Pirates,
19 Jose Altuve,Houston Astros,
20 Manny Margot,San Diego Padres,Rookie
21 Giancarlo Stanton,Miami Marlins,
22 Carson Fulmer,Chicago White Sox,Rookie
23 Andrew Benintendi,Boston Red Sox,Rookie
24 Craig Kimbrel,Boston Red Sox,
25 Yoan Moncada,Chicago White Sox,Rookie
26 Teoscar Hernandez,Houston Astros,Rookie
27 Reynaldo Lopez,Chicago White Sox,Rookie
28 Miguel Cabrera,Detroit Tigers,
29 Yulieski Gurriel,Houston Astros,Rookie
30 Nomar Mazara,Texas Rangers,
31 Josh Donaldson,Toronto Blue Jays,
32 Aaron Judge,New York Yankees,Rookie
33 Ichiro,Miami Marlins,
34 Robert Gsellman,New York Mets,Rookie
35 Ryon Healy,Oakland Athletics,Rookie
36 Anthony Rizzo,Chicago Cubs,
37 Evan Longoria,Tampa Bay Rays,
38 Andrew Miller,Cleveland Indians,
39 Noah Syndergaard,New York Mets,
40 Manny Machado,Baltimore Orioles,
41 Orlando Arcia,Milwaukee Brewers,Rookie
42 Jose De Leon,Tampa Bay Rays,Rookie
43 Max Scherzer,Washington Nationals,
44 Freddie Freeman,Atlanta Braves,
45 Kyle Schwarber,Chicago Cubs,
46 Willson Contreras,Chicago Cubs,
47 Tim Anderson,Chicago White Sox,
48 Gregory Polanco,Pittsburgh Pirates,
49 Nolan Arenado,Colorado Rockies,

50,Corey Seager,Los Angeles Dodgers,
51,Troy Tulowitzki,Toronto Blue Jays,
52,David Ortiz,Boston Red Sox,
53,Odubel Herrera,Philadelphia Phillies,
54,David Dahl,Colorado Rockies,Rookie
55,Rob Segedin,Los Angeles Dodgers,Rookie
56,Tyler Glasnow,Pittsburgh Pirates,Rookie
57,Dansby Swanson,Atlanta Braves,Rookie
58,Francisco Lindor,Cleveland Indians,
59,Nelson Cruz,Seattle Mariners,
60,Jorge Alfaro,Philadelphia Phillies,Rookie
61,Jameson Taillon,Pittsburgh Pirates,
62,Jake Thompson,Philadelphia Phillies,Rookie
63,Hunter Dozier,Kansas City Royals,Rookie
64,Matt Strahm,Kansas City Royals,Rookie
65,Ben Zobrist,Chicago Cubs,
66,Gavin Cecchini,New York Mets,Rookie
67,Aledmys Diaz,St. Louis Cardinals,
