BASE,,
BASE CARDS,,
BD-1,Royce Lewis,Minnesota Twins®
BD-2,Jacob Gonzalez,San Francisco Giants®
BD-3,Seth Elledge,Seattle MarinersTM
BD-4,Stuart Fairchild,Cincinnati Reds®
BD-5,Franklin Perez,Houston Astros®
BD-6,Jeter Downs,Cincinnati Reds®
BD-7,Yu-Cheng Chang,Cleveland Indians®
BD-8,T.J. Friedl,Cincinnati Reds®
BD-9,Alex Scherff,Boston Red Sox®
BD-10,Nick Solak,New York Yankees®
BD-11,Lincoln Henzman,Chicago White Sox®
BD-12,Heliot Ramos,San Francisco Giants®
BD-13,Riley Adams,Toronto Blue Jays®
BD-14,Wyatt Mills,Seattle MarinersTM
BD-15,Alex Faedo,Detroit Tigers®
BD-16,Marcos Diplan,Milwaukee BrewersTM
BD-17,Daulton Varsho,Arizona Diamondbacks®
BD-18,Jacob Heatherly,Cincinnati Reds®
BD-19,Lourdes Gurriel Jr.,Toronto Blue Jays®
BD-20,Zach Kirtley,St. Louis Cardinals®
BD-21,Cal Quantrill,San Diego PadresTM
BD-22,Jacob Heyward,San Francisco Giants®
BD-23,Alec Hansen,Chicago White Sox®
BD-24,Quinn Brodey,New York Mets®
BD-25,MacKenzie Gore,San Diego PadresTM
BD-26,Mitch Keller,Pittsburgh Pirates®
BD-27,Joey Morgan,Detroit Tigers®
BD-28,Juan Hillman,Cleveland Indians®
BD-29,Freddy Peralta,Milwaukee BrewersTM
BD-30,Morgan Cooper,Los Angeles Dodgers®
BD-31,Brett Netzer,Boston Red Sox®
BD-32,Alex Lange,Chicago Cubs®
BD-33,Hans Crouse,Texas Rangers®
BD-34,Michael Kopech,Chicago White Sox®
BD-35,Cole Ragans,Texas Rangers®
BD-36,Kolby Allard,Atlanta BravesTM
BD-37,Matt Manning,Detroit Tigers®
BD-38,Bo Bichette,Toronto Blue Jays®
BD-39,Ronald Acuna,Atlanta BravesTM
BD-40,Cristian Pache,Atlanta BravesTM
BD-41,Ryan Vilade,Colorado RockiesTM
BD-42,Tyler Freeman,Cleveland Indians®
BD-43,Cory Abbott,Chicago Cubs®
BD-44,Shane Baz,Pittsburgh Pirates®
BD-45,Brian Miller,Miami Marlins®
BD-46,Luis Campusano,San Diego PadresTM
BD-47,A.J. Puk,Oakland AthleticsTM
BD-48,Griffin Canning,Angels®
BD-49,Justin Dunn,New York Mets®

BD-50,Jorge Mateo,Oakland AthleticsTM
BD-51,Trevor Clifton,Chicago Cubs®
BD-52,Carter Kieboom,Washington Nationals®
BD-53,Trevor Rogers,Miami Marlins®
BD-54,Tommy Doyle,Colorado RockiesTM
BD-55,Adam Hall,Baltimore Orioles®
BD-56,Will Benson,Cleveland Indians®
BD-57,Ariel Jurado,Texas Rangers®
BD-58,Forrest Whitley,Houston Astros®
BD-59,Daniel Tillo,Kansas City Royals®
BD-60,Austin Beck,Oakland AthleticsTM
BD-61,Jahmai Jones,Angels®
BD-62,Adonis Medina,Philadelphia Phillies®
BD-63,Blayne Enlow,Minnesota Twins®
BD-64,Ryley Widell,Minnesota Twins®
BD-65,Tanner Houck,Boston Red Sox®
BD-66,Caden Lemons,Milwaukee BrewersTM
BD-67,Buddy Reed,San Diego PadresTM
BD-68,T.J. Zeuch,Toronto Blue Jays®
BD-69,Vladimir Gutierrez,Cincinnati Reds®
BD-70,Anderson Espinoza,San Diego PadresTM
BD-71,Fernando Tatis Jr.,San Diego PadresTM
BD-72,Eloy Jimenez,Chicago White Sox®
BD-73,Jose Taveras,Philadelphia Phillies®
BD-74,Christopher Seise,Texas Rangers®
BD-75,Keston Hiura,Milwaukee BrewersTM
BD-76,Charlie Barnes,Minnesota Twins®
BD-77,Connor Seabold,Philadelphia Phillies®
BD-78,David Peterson,New York Mets®
BD-79,Seth Corry,San Francisco Giants®
BD-80,Blake Rutherford,Chicago White Sox®
BD-81,Conner Uselton,Pittsburgh Pirates®
BD-82,D.L. Hall,Baltimore Orioles®
BD-83,Peter Alonso,New York Mets®
BD-84,Glenn Otto,New York Yankees®
BD-85,Gavin Sheets,Chicago White Sox®
BD-86,Luis Gonzalez,Chicago White Sox®
BD-87,Taylor Walls,Tampa Bay RaysTM
BD-88,Ernie Clement,Cleveland Indians®
BD-89,Dylan Carlson,St. Louis Cardinals®
BD-90,Drew Waters,Atlanta BravesTM
BD-91,Christin Stewart,Detroit Tigers®
BD-92,Cal Mitchell,Pittsburgh Pirates®
BD-93,Troy Bacon,Atlanta BravesTM
BD-94,Zac Lowther,Baltimore Orioles®
BD-95,Jo Adell,Angels®
