BASE,,,
1,Kris Bryant,Chicago Cubs®,
2,Jason Hammel,Chicago Cubs®,
3,Chris Capuano,Milwaukee BrewersTM,
4,Mark Reynolds,Colorado RockiesTM,
5,Corey Seager,Los Angeles Dodgers®,
6,Kevin Pillar,Toronto Blue Jays®,
7,Gary Sanchez,New York Yankees®,
8,Jose Berrios,Minnesota Twins®,
9,Chris Sale,Chicago White Sox®,
10,Steven Souza Jr.,Tampa Bay RaysTM,
11,Jake Smolinski,Oakland AthleticsTM,
12,Jerad Eickhoff,Philadelphia Phillies®,
13,Adeiny Hechavarria,Miami Marlins®,
14,Travis d'Arnaud,New York Mets®,
15,Braden Shipley,Arizona Diamondbacks®,Rookie
16,Lance McCullers,Houston Astros®,
17,Daniel Descalso,Colorado RockiesTM,
18,Jake Arrieta,Chicago Cubs®,World Series Highlight
19,David Wright,New York Mets®,
20,Mike Trout,Angels®,
21,Robert Gsellman,New York Mets®,Rookie
22,Keone Kela,Texas Rangers®,
23,Marcell Ozuna,Miami Marlins®,
24,Christian Friedrich,San Diego PadresTM,
25,Giancarlo Stanton,Miami Marlins®,
26,David Peralta,Arizona Diamondbacks®,
27,Kurt Suzuki,Minnesota Twins®,
28,Rick Porcello,Boston Red Sox®,League Leaders
29,Marco Estrada,Toronto Blue Jays®,
30,Josh Bell,Pittsburgh Pirates®,Rookie
31,Carlos Carrasco,Cleveland Indians®,
32,Thor and the Dark KnightNew York Mets®,,Combo Card
33,Carson Fulmer,Chicago White Sox®,Rookie
34,Bryce Harper,Washington Nationals®,
35,Nolan Arenado,Colorado RockiesTM,League Leaders
36,B'More Boppers,Baltimore Orioles®,Combo Card
37,Toronto Blue Jays,Toronto Blue Jays®,
38,Stephen Strasburg,Washington Nationals®,
39,Aroldis Chapman,Chicago Cubs®,World Series Highlight
40,Jordan Zimmermann,Detroit Tigers®,
41,Paulo Orlando,Kansas City Royals®,
42,Trevor Story,Colorado RockiesTM,
43,Tyler Austin,New York Yankees®,Rookie
44,Paul Goldschmidt,Arizona Diamondbacks®,
45,Joakim Soria,Kansas City Royals®,
46,Will Middlebrooks,Milwaukee BrewersTM,
47,Gregor Blanco,San Francisco Giants®,
48,Brian McCann,New York Yankees®,
49,Scooter Gennett,Milwaukee BrewersTM,
50,Clayton Kershaw,Los Angeles Dodgers®,

51,Jake Barrett,Arizona Diamondbacks®,
52,Neftali Feliz,Pittsburgh Pirates®,
53,Ryon Healy,Oakland AthleticsTM,Rookie
54,Dellin Betances,New York Yankees®,
55,Mark Trumbo,Baltimore Orioles®,League Leaders
56,Danny Salazar,Cleveland Indians®,
57,C.J. Cron,Angels®,
58,Starling Marte,Pittsburgh Pirates®,
59,Carlos Rodon,Chicago White Sox®,
60,Jose Bautista,Toronto Blue Jays®,
61,Xander Bogaerts,Boston Red Sox®,
62,Daniel Murphy,Washington Nationals®,
63,Mike Moustakas,Kansas City Royals®,
64,Adam Eaton,Chicago White Sox®,
65,Madison Bumgarner,San Francisco Giants®,
66,Aaron Altherr,Philadelphia Phillies®,
67,Teoscar Hernandez,Houston Astros®,Rookie
68,Zach Britton,Baltimore Orioles®,
69,Henry Owens,Boston Red Sox®,
70,Wily Peralta,Milwaukee BrewersTM,
71,Matt Shoemaker,Angels®,
72,Chicago Cubs,Chicago Cubs®,
73,Kyle Schwarber,Chicago Cubs®,
74,Brett Lawrie,Chicago White Sox®,
75,Carlos Correa,Houston Astros®,
76,Andre Ethier,Los Angeles Dodgers®,
77,Austin Jackson,Chicago White Sox®,
78,Addison Russell,Chicago Cubs®,World Series Highlight
79,Gabriel Ynoa,New York Mets®,Rookie
80,Ivan Nova,Pittsburgh Pirates®,
81,DJ LeMahieu,Colorado RockiesTM,League Leaders
82,Aaron Sanchez,Toronto Blue Jays®,League Leaders
83,Anibal Sanchez,Detroit Tigers®,
84,Daniel Murphy,Washington Nationals®,League Leaders
85,Brandon Finnegan,Cincinnati Reds®,
86,Asdrubal Cabrera,New York Mets®,
87,Dansby Swanson,Atlanta BravesTM,Rookie
88,Freddy Galvis,Philadelphia Phillies®,
89,Brandon Moss,St. Louis Cardinals®,
90,Jason Grilli,Toronto Blue Jays®,
91,Troy Tulowitzki,Toronto Blue Jays®,
92,Derek Norris,San Diego PadresTM,
93,Matt Joyce,Pittsburgh Pirates®,
94,Kyle Barraclough,Miami Marlins®,
95,Chris Davis,Baltimore Orioles®,
96,Jose Quintana,Chicago White Sox®,
97,Marcus Semien,Oakland AthleticsTM,
98,Junior Guerra,Milwaukee BrewersTM,
99,Michael Wacha,St. Louis Cardinals®,
100,Nate Jones,Chicago White Sox®,
101,Pedro Alvarez,Baltimore Orioles®,
102,Cameron Maybin,Detroit Tigers®,

103,Alex Reyes,St. Louis Cardinals®,Rookie
104,Dioner Navarro,Toronto Blue Jays®,
105,Francisco Rodriguez,Detroit Tigers®,
106,Brandon Crawford,San Francisco Giants®,
107,Howie Kendrick,Los Angeles Dodgers®,
108,Nick Hundley,Colorado RockiesTM,
109,Nelson Cruz,Seattle MarinersTM,
110,Joey Votto,Cincinnati Reds®,League Leaders
111,Edinson Volquez,Kansas City Royals®,
112,Angel Pagan,San Francisco Giants®,
113,Kyle Hendricks,Chicago Cubs®,League Leaders
114,Colin Rea,San Diego PadresTM,
