BASE,,,
351,German Marquez,Colorado Rockies,Rookie
352,Cameron Rupp,Philadelphia Phillies,
353,Felipe Rivero,Pittsburgh Pirates,
354,Nick Tropeano,Angels,
355,Shelby Miller,Arizona Diamondbacks,
356,Brad Miller,Tampa Bay Rays,
357,Kelvin Herrera,Kansas City Royals,
358,Brad Boxberger,Tampa Bay Rays,
359,Matt Carpenter,St. Louis Cardinals,
360,Jon Lester,Chicago Cubs,
361,Dylan Bundy,Baltimore Orioles,
362,John Lackey,Chicago Cubs,
363,Yunel Escobar,Angels,
364,Koda Glover,Washington Nationals,Rookie
365,Jorge De La Rosa,Arizona Diamondbacks,
366,Jayson Werth,Washington Nationals,
367,Jurickson Profar,Texas Rangers,
368,Jhonny Peralta,St. Louis Cardinals,
369,Mark Canha,Oakland Athletics,
370,St. Louis Cardinals,St. Louis Cardinals,Team Card
371,Chad Bettis,Colorado Rockies,
372,Ryan Schimpf,San Diego Padres,
373,Yadier Molina,St. Louis Cardinals,
374,Jim Johnson,Atlanta Braves,
375,Yasiel Puig,Los Angeles Dodgers,
376,Chase Anderson,Milwaukee Brewers,
377,Adam Rosales,Oakland Athletics,
378,THEY GOT HOPS!,Cleveland Indians,Combo Cards
379,Phil Hughes,Minnesota Twins,
380,Albert Pujols,Angels,
381,Hunter Renfroe,San Diego Padres,Rookie
382,Josh Harrison,Pittsburgh Pirates,
383,Adam Frazier,Pittsburgh Pirates,
384,Welington Castillo,Baltimore Orioles,
385,DJ LeMahieu,Colorado Rockies,
386,Michael Lorenzen,Cincinnati Reds,
387,Zack Godley,Arizona Diamondbacks,
388,Yasmani Grandal,Los Angeles Dodgers,
389,George Springer,Houston Astros,
390,Evan Longoria,Tampa Bay Rays,
391,Jonathan Schoop,Baltimore Orioles,
392,Pablo Sandoval,Boston Red Sox,
393,Koji Uehara,Chicago Cubs,
394,Detroit Tigers,Detroit Tigers,Team Card
395,Drew Storen,Cincinnati Reds,
396,J.T. Realmuto,Miami Marlins,
397,Stephen Cardullo,Colorado Rockies,Rookie
398,Blake Treinen,Washington Nationals,
399,Ender Inciarte,Atlanta Braves,

400,Nolan Arenado,Colorado Rockies,
401,Manny Margot,San Diego Padres,Rookie
402,Logan Forsythe,Los Angeles Dodgers,
403,John Axford,Oakland Athletics,
404,Joe Mauer,Minnesota Twins,
405,Max Kepler,Minnesota Twins,
406,Stephen Vogt,Oakland Athletics,
407,Eduardo Escobar,Minnesota Twins,
408,Michael Conforto,New York Mets,
409,R.A. Dickey,Atlanta Braves,
410,Jarrett Parker,San Francisco Giants,
411,Maikel Franco,Philadelphia Phillies,
412,Chris Iannetta,Arizona Diamondbacks,
413,Rob Segedin,Los Angeles Dodgers,Rookie
414,Zack Cozart,Cincinnati Reds,
415,Pat Valaika,Colorado Rockies,Rookie
416,Neil Walker,New York Mets,
417,Darren O'Day,Baltimore Orioles,
418,James McCann,Detroit Tigers,
419,Roberto Perez,Cleveland Indians,
420,Matt Wisler,Atlanta Braves,
421,Santiago Casilla,Oakland Athletics,
422,Andrew Miller,Cleveland Indians,
423,Sergio Romo,Los Angeles Dodgers,
424,Derek Dietrich,Miami Marlins,
425,Carlos Gonzalez,Colorado Rockies,
426,New York Mets,New York Mets,Team Card
427,Carlos Gomez,Texas Rangers,
428,Jay Bruce,New York Mets,
429,Mark Melancon,San Francisco Giants,
430,Texas Rangers,Texas Rangers,Team Card
431,Tommy Joseph,Philadelphia Phillies,
432,Lucas Giolito,Chicago White Sox,
433,Mitch Haniger,Seattle Mariners,Rookie
434,Tyler Saladino,Chicago White Sox,
435,Robbie Ray,Arizona Diamondbacks,
436,Cody Allen,Cleveland Indians,
437,Trevor Rosenthal,St. Louis Cardinals,
438,Chris Carter,New York Yankees,
439,Salvador Perez,Kansas City Royals,
440,Eduardo Rodriguez,Boston Red Sox,
441,Jose Iglesias,Detroit Tigers,
442,Javier Baez,Chicago Cubs,
443,Dee Gordon,Miami Marlins,
444,Andrew Heaney,Angels,
445,Alex Gordon,Kansas City Royals,
446,Dexter Fowler,St. Louis Cardinals,
447,Scott Kazmir,Los Angeles Dodgers,
448,Jose Martinez,St. Louis Cardinals,Rookie
449,Ian Kennedy,Kansas City Royals,
450,Justin Verlander,Detroit Tigers,
451,Jharel Cotton,Oakland Athletics,Rookie

452,Travis Shaw,Milwaukee Brewers,
453,Danny Santana,Minnesota Twins,
454,Andrew Toles,Los Angeles Dodgers,Rookie
455,Mauricio Cabrera,Atlanta Braves,Rookie
456,Steve Cishek,Seattle Mariners,
457,Brett Gardner,New York Yankees,
458,Hernan Perez,Milwaukee Brewers,
459,Wil Myers,San Diego Padres,
460,Alejandro De Aza,Oakland Athletics,
461,Bruce Maxwell,Oakland Athletics,Rookie
462,Rich Hill,Los Angeles Dodgers,
463,Jeff Samardzija,San Francisco Giants,
464,Hisashi Iwakuma,Seattle Mariners,
465,CC Sabathia,New York Yankees,
466,David Robertson,Chicago White Sox,
467,Adam Ottavino,Colorado Rockies,
468,Kyle Hendricks,Chicago Cubs,
469,Francisco Liriano,Toronto Blue Jays,
470,Brandon Drury,Arizona Diamondbacks,
471,Nick Franklin,Tampa Bay Rays,
472,Pittsburgh Pirates,Pittsburgh Pirates,Team Card
473,Eugenio Suarez,Cincinnati Reds,
474,Michael Pineda,New York Yankees,
475,Peter O'Brien,Kansas City Royals,
476,Matt Olson,Oakland Athletics,Rookie
477,Zach Davies,Milwaukee Brewers,
478,Rob Zastryzny,Chicago Cubs,Rookie
479,Ryan Madson,Oakland Athletics,
480,Jason Kipnis,Cleveland Indians,
481,Kansas City Royals,Kansas City Royals,Team Card
482,Didi Gregorius,New York Yankees,
483,Anthony Rendon,Washington Nationals,
484,Yonder Alonso,Oakland Athletics,
485,Greg Bird,New York Yankees,
486,Aroldis Chapman,New York Yankees,
487,Jose Ramirez,Cleveland Indians,
488,Jake Odorizzi,Tampa Bay Rays,
489,Jarrod Dyson,Seattle Mariners,
490,Joc Pederson,Los Angeles Dodgers,
491,Ryan Vogelsong,Minnesota Twins,
492,Avisail Garcia,Chicago White Sox,
493,Hunter Dozier,Kansas City Royals,Rookie
494,Tom Murphy,Colorado Rockies,
495,Adam Jones,Baltimore Orioles,
496,Mike Fiers,Houston Astros,
497,Boston Red Sox,Boston Red Sox,Team Card
498,Roman Quinn,Philadelphia Phillies,Rookie
499,Danny Valencia,Seattle Mariners,
500,Anthony Rizzo,Chicago Cubs,
501,Ian Kinsler,Detroit Tigers,
502,Willson Contreras,Chicago Cubs,
503,Jesus Aguilar,Milwaukee Brewers,Rookie

504,Austin Hedges,San Diego Padres,
505,Seung-Hwan Oh,St. Louis Cardinals,
506,Jose Peraza,Cincinnati Reds,
507,Matt Garza,Milwaukee Brewers,
508,Hanley Ramirez,Boston Red Sox,
509,Miguel Rojas,Miami Marlins,
510,Kelby Tomlinson,San Francisco Giants,
511,Devin Mesoraco,Cincinnati Reds,
512,Mallex Smith,Tampa Bay Rays,
513,Tony Kemp,Houston Astros,
514,Jeremy Jeffress,Texas Rangers,
515,Nick Castellanos,Detroit Tigers,
516,Tony Wolters,Colorado Rockies,
517,Kolten Wong,St. Louis Cardinals,
518,Christian Yelich,Miami Marlins,
519,Dan Vogelbach,Seattle Mariners,Rookie
520,Andrelton Simmons,Angels,
521,Brandon Phillips,Atlanta Braves,
522,Edwin Diaz,Seattle Mariners,
523,Carlos Martinez,St. Louis Cardinals,
524,James Loney,Texas Rangers,
525,Curtis Granderson,New York Mets,
526,Jake Marisnick,Houston Astros,
527,Gio Gonzalez,Washington Nationals,
528,Jake Arrieta,Chicago Cubs,
529,J.J. Hardy,Baltimore Orioles,
530,Jabari Blash,San Diego Padres,
531,Nick Markakis,Atlanta Braves,
532,Eduardo Nunez,San Francisco Giants,
533,Trevor Bauer,Cleveland Indians,
534,Cody Asche,Chicago White Sox,
535,Lonnie Chisenhall,Cleveland Indians,
536,Trey Mancini,Baltimore Orioles,Rookie
537,Gerardo Parra,Colorado Rockies,
538,Brad Ziegler,Miami Marlins,
539,Amir Garrett,Cincinnati Reds,Rookie
540,Billy Hamilton,Cincinnati Reds,
541,Shawn Kelley,Washington Nationals,
542,Trevor Plouffe,Oakland Athletics,
543,Brian Dozier,Minnesota Twins,
544,Luis Severino,New York Yankees,
545,Martin Perez,Texas Rangers,
546,Addison Reed,New York Mets,
547,Vince Velasquez,Philadelphia Phillies,
548,David Price,Boston Red Sox,
549,Miguel Gonzalez,Chicago White Sox,
550,Mikie Mahtook,Detroit Tigers,
551,Matt Duffy,Tampa Bay Rays,
552,Tom Koehler,Miami Marlins,
553,T.J. Rivera,New York Mets,Rookie
554,Jason Castro,Minnesota Twins,
555,Noah Syndergaard,New York Mets,

556,Starlin Castro,New York Yankees,
557,Milwaukee Brewers,Milwaukee Brewers,Team Card
558,Oakland Athletics,Oakland Athletics,Team Card
559,Jason Motte,Colorado Rockies,
560,Zack Greinke,Arizona Diamondbacks,
561,Ricky Nolasco,Angels,
562,Nick Ahmed,Arizona Diamondbacks,
563,Marwin Gonzalez,Houston Astros,
564,Washington Nationals,Washington Nationals,Team Card
565,J.D. Martinez,Detroit Tigers,
566,HEART OF TEXAS,Texas Rangers,Combo Cards
567,Devon Travis,Toronto Blue Jays,
568,Ryan Pressly,Minnesota Twins,
569,Jorge Alfaro,Philadelphia Phillies,Rookie
570,Josh Donaldson,Toronto Blue Jays,
571,J.C. Ramirez,Angels,
572,Atlanta Braves,Atlanta Braves,Team Card
