2017 TOPPS BASEBALL UPDATE SERIES,,,,
BASE,,,,
US1,Aaron Judge,New York Yankees,Rookie,MLB HR Derby
US2,Domingo German,New York Yankees,Rookie,
US3,Paul Sewald,New York Mets,Rookie,
,Tyler Pill,New York Mets,Rookie,
US4,Matt Chapman,Oakland Athletics,Rookie,
US5,Casey Fien,Philadelphia Phillies,,
US6,Ramon Torres,Kansas City Royals,Rookie,
US7,Willy Garcia,Chicago White Sox,Rookie,
,Adam Engel,Chicago White Sox,Rookie,
US8,Yulieski Gurriel,Houston Astros,Rookie,Rookie Debut
US9,George Springer,Houston Astros,,MLB All-Stars
US10,Ian Happ,Chicago Cubs,Rookie,
US11,Gary Sanchez,New York Yankees,,MLB HR Derby
US12,Lisalverto Bonilla,Cincinnati Reds,,
US13,Brian McCann,Houston Astros,,
US14,BLAST OFF!,Houston Astros,,
US15,Kyle Higashioka,New York Yankees,Rookie,
US16,Rafael Bautista,Washington Nationals,Rookie,
US17,Chris Archer,Tampa Bay Rays,,MLB All-Stars
US18,Mookie Betts,Boston Red Sox,,MLB All-Stars
US19,Eric Skoglund,Kansas City Royals,Rookie,
US20,Jason Vargas,Kansas City Royals,,MLB All-Stars
US21,Christian Arroyo,San Francisco Giants,Rookie,Rookie Debut
US22,Hunter Renfroe,San Diego Padres,Rookie,Rookie Debut
US23,Derek Holland,Chicago White Sox,,
US24,Joe Smith,Toronto Blue Jays,,
US25,Christian Arroyo,San Francisco Giants,Rookie,
US26,Steve Pearce,Toronto Blue Jays,,
US27,Nolan Arenado,Colorado Rockies,,MLB All-Stars
US28,Drew Robinson,Texas Rangers,,Rookie
US29,Drew Steckenrider,Miami Marlins,Rookie,
US30,Danny Ortiz,Pittsburgh Pirates,Rookie,
US31,Danny Santana,Atlanta Braves,,
US32,Luis Torrens,San Diego Padres,Rookie,
US33,Salvador Perez,Kansas City Royals,,MLB All-Stars
US34,Nelson Cruz,Seattle Mariners,,MLB All-Stars
US35,Dinelson Lamet,San Diego Padres,Rookie,
US36,Adam Lind,Washington Nationals,,
US37,Ian Happ,Chicago Cubs,Rookie,Rookie Debut
US38,Cody Bellinger,Los Angeles Dodgers,Rookie,MLB All-Stars
US39,Charlie Morton,Houston Astros,,
US40,Pat Neshek,Philadelphia Phillies,,
US41,Mitch Haniger,Arizona Diamondbacks,Rookie,Rookie Debut
US42,Seth Smith,Baltimore Orioles,,
US43,Joey Votto,Cincinnati Reds,,MLB All-Stars
US44,Chicago Cubs,Chicago Cubs,,
US45,Johan Camargo,Atlanta Braves,Rookie,
US46,Dylan Covey,Chicago White Sox,Rookie,
US47,Yadier Molina,St. Louis Cardinals,,MLB All-Stars
US48,Ariel Hernandez,Cincinnati Reds,Rookie,
US49,Austin Bibens-Dirkx,Texas Rangers,Rookie,
US50,Cody Bellinger,Los Angeles Dodgers,Rookie,
US51,Jorge Bonifacio,Kansas City Royals,Rookie,
US52,Michael Fulmer,Detroit Tigers,,MLB All-Stars
US53,Barrett Astin,Cincinnati Reds,Rookie,
US54,Ronald Torreyes,New York Yankees,,
US55,Luis Severino,New York Yankees,,MLB All-Stars
