Card Set,Number,Player,Team
Base Short Print Variations,6,Alex Reyes,St. Louis Cardinals
Base Short Print Variations,12,Alex Bregman,Houston Astros
Base Short Print Variations,22,Jharel Cotton,Oakland Athletics
Base Short Print Variations,31,David Dahl,Colorado Rockies
Base Short Print Variations,50,Yoan Moncada,Chicago White Sox
Base Short Print Variations,56,Aaron Judge,New York Yankees
Base Short Print Variations,57,Yulieski Gurriel,Houston Astros
Base Short Print Variations,68,Andrew Benintendi,Boston Red Sox
Base Short Print Variations,75,Jose De Leon,Tampa Bay Rays
Base Short Print Variations,77,Orlando Arcia,Milwaukee Brewers
Base Short Print Variations,80,Tyler Glasnow,Pittsburgh Pirates
Base Short Print Variations,81,Robert Gsellman,New York Mets
Base Short Print Variations,84,Jorge Alfaro,Philadelphia Phillies
Base Short Print Variations,86,Dansby Swanson,Atlanta Braves
Base Short Print Variations,88,Hunter Renfroe,San Diego Padres
