Card Set,Number,Player,Team
Chrome Facsimile Image Variation,BD-1,Royce Lewis,Minnesota Twins
Chrome Facsimile Image Variation,BD-25,MacKenzie Gore,San Diego Padres
Chrome Facsimile Image Variation,BD-60,Austin Beck,Oakland Athletics
Chrome Facsimile Image Variation,BD-70,Anderson Espinoza,San Diego Padres
Chrome Facsimile Image Variation,BD-80,Blake Rutherford,Chicago White Sox
Chrome Facsimile Image Variation,BD-95,Jo Adell,Los Angeles Angels
Chrome Facsimile Image Variation,BD-100,Brendan McKay,Tampa Bay Rays
Chrome Facsimile Image Variation,BD-115,Adam Haseley,Philadelphia Phillies
Chrome Facsimile Image Variation,BD-120,Kyle Wright,Atlanta Braves
Chrome Facsimile Image Variation,BD-135,Lazarito Armenteros,Oakland Athletics
Chrome Facsimile Image Variation,BD-140,Justus Sheffield,New York Yankees
Chrome Facsimile Image Variation,BD-150,Vladimir Guerrero Jr.,Toronto Blue Jays
Chrome Facsimile Image Variation,BD-160,Kevin Maitan,Atlanta Braves
Chrome Facsimile Image Variation,BD-195,Pavin Smith,Arizona Diamondbacks
Chrome Image Variation Autographs,BD-1,Royce Lewis,Minnesota Twins
Chrome Image Variation Autographs,BD-25,MacKenzie Gore,San Diego Padres
Chrome Image Variation Autographs,BD-60,Austin Beck,Oakland Athletics
Chrome Image Variation Autographs,BD-95,Jo Adell,Los Angeles Angels
Chrome Image Variation Autographs,BD-100,Brendan McKay,Tampa Bay Rays
Chrome Image Variation Autographs,BD-115,Adam Haseley,Philadelphia Phillies
Chrome Image Variation Autographs,BD-120,Kyle Wright,Atlanta Braves
Chrome Image Variation Autographs,BD-160,Kevin Maitan,Atlanta Braves
