Card Set,Number,Player,Team
Clearly Authentic Autographs,CAAU-AB,Andrew Benintendi,Boston Red Sox
Clearly Authentic Autographs,CAAU-ABR,Alex Bregman,Houston Astros
Clearly Authentic Autographs,CAAU-AD,Aledmys Diaz,St. Louis Cardinals
Clearly Authentic Autographs,CAAU-AJ,Aaron Judge,New York Yankees
Clearly Authentic Autographs,CAAU-AJO,Adam Jones,Baltimore Orioles
Clearly Authentic Autographs,CAAU-AJU,Aaron Judge,New York Yankees
Clearly Authentic Autographs,CAAU-ALB,Alex Bregman,Houston Astros
Clearly Authentic Autographs,CAAU-AN,Aaron Nola,Philadelphia Phillies
Clearly Authentic Autographs,CAAU-ANB,Andrew Benintendi,Boston Red Sox
Clearly Authentic Autographs,CAAU-AR,Alex Reyes,St. Louis Cardinals
Clearly Authentic Autographs,CAAU-ARE,Alex Reyes,St. Louis Cardinals
Clearly Authentic Autographs,CAAU-ARI,Anthony Rizzo,Chicago Cubs
Clearly Authentic Autographs,CAAU-ARU,Addison Russell,Chicago Cubs
Clearly Authentic Autographs,CAAU-AT,Andrew Toles,Los Angeles Dodgers
Clearly Authentic Autographs,CAAU-BH,Bryce Harper,Washington Nationals
Clearly Authentic Autographs,CAAU-BP,Buster Posey,San Francisco Giants
Clearly Authentic Autographs,CAAU-CF,Carson Fulmer,Chicago White Sox
Clearly Authentic Autographs,CAAU-CK,Clayton Kershaw,Los Angeles Dodgers
Clearly Authentic Autographs,CAAU-CKL,Corey Kluber,Cleveland Indians
Clearly Authentic Autographs,CAAU-CS,Chris Sale,Boston Red Sox
Clearly Authentic Autographs,CAAU-CSE,Corey Seager,Los Angeles Dodgers
Clearly Authentic Autographs,CAAU-DB,Dellin Betances,New York Yankees
Clearly Authentic Autographs,CAAU-DD,David Dahl,Colorado Rockies
Clearly Authentic Autographs,CAAU-DDU,Danny Duffy,Kansas City Royals
Clearly Authentic Autographs,CAAU-DO,David Ortiz,Boston Red Sox
Clearly Authentic Autographs,CAAU-DSW,Dansby Swanson,Atlanta Braves
Clearly Authentic Autographs,CAAU-DV,Dan Vogelbach,Seattle Mariners
Clearly Authentic Autographs,CAAU-FF,Freddie Freeman,Atlanta Braves
Clearly Authentic Autographs,CAAU-GS,George Springer,Houston Astros
Clearly Authentic Autographs,CAAU-HD,Hunter Dozier,Kansas City Royals
Clearly Authentic Autographs,CAAU-HR,Hunter Renfroe,San Diego Padres
Clearly Authentic Autographs,CAAU-HRE,Hunter Renfroe,San Diego Padres
Clearly Authentic Autographs,CAAU-I,Ichiro,Miami Marlins
Clearly Authentic Autographs,CAAU-JA,Jorge Alfaro,Philadelphia Phillies
Clearly Authentic Autographs,CAAU-JAL,Jose Altuve,Houston Astros
Clearly Authentic Autographs,CAAU-JB,Javier Baez,Chicago Cubs
Clearly Authentic Autographs,CAAU-JC,Jharel Cotton,Oakland Athletics
Clearly Authentic Autographs,CAAU-JD,Jose De Leon,Los Angeles Dodgers
Clearly Authentic Autographs,CAAU-JDE,Jacob deGrom,New York Mets
Clearly Authentic Autographs,CAAU-JH,Jeff Hoffman,Colorado Rockies
Clearly Authentic Autographs,CAAU-JJ,JaCoby Jones,Detroit Tigers
Clearly Authentic Autographs,CAAU-JMU,Joe Musgrove,Houston Astros
Clearly Authentic Autographs,CAAU-JP,Joe Panik,San Francisco Giants
Clearly Authentic Autographs,CAAU-JT,Jake Thompson,Philadelphia Phillies
