Card Set,Number,Player,Team,Seq.
Brilliance,351,T.J. Leaf,Indiana Pacers,249
Brilliance,352,Jonathan Isaac,Orlando Magic,249
Brilliance,353,Dwayne Bacon,Charlotte Hornets,249
Brilliance,354,Lonzo Ball,Los Angeles Lakers,249
Brilliance,355,Luke Kennard,Detroit Pistons,249
Brilliance,356,Ante Zizic,Cleveland Cavaliers,249
Brilliance,357,Frank Jackson,New Orleans Pelicans,249
Brilliance,358,De'Aaron Fox,Sacramento Kings,249
Brilliance,359,Justin Jackson,Sacramento Kings,249
Brilliance,360,Frank Ntilikina,New York Knicks,249
Brilliance,361,Tyler Lydon,Denver Nuggets,249
Brilliance,362,Josh Jackson,Phoenix Suns,249
Brilliance,363,Ivan Rabb,Memphis Grizzlies,249
Brilliance,364,Malik Monk,Charlotte Hornets,249
Brilliance,365,Sindarius Thornwell,Los Angeles Clippers,249
Brilliance,366,D.J. Wilson,Milwaukee Bucks,249
Brilliance,367,Jarrett Allen,Brooklyn Nets,249
Brilliance,368,Dennis Smith Jr.,Dallas Mavericks,249
Brilliance,369,Milos Teodosic,Los Angeles Clippers,249
Brilliance,370,Jayson Tatum,Boston Celtics,249
Brilliance,371,Caleb Swanigan,Portland Trail Blazers,249
Brilliance,372,Lauri Markkanen,Chicago Bulls,249
Brilliance,373,Josh Hart,Los Angeles Lakers,249
Brilliance,374,Markelle Fultz,Philadelphia 76ers,249
Brilliance,375,Tyler Dorsey,Atlanta Hawks,249
Brilliance Above and Beyond,351,T.J. Leaf,Indiana Pacers,1
Brilliance Above and Beyond,352,Jonathan Isaac,Orlando Magic,1
Brilliance Above and Beyond,353,Dwayne Bacon,Charlotte Hornets,1
Brilliance Above and Beyond,354,Lonzo Ball,Los Angeles Lakers,1
Brilliance Above and Beyond,355,Luke Kennard,Detroit Pistons,1
Brilliance Above and Beyond,356,Ante Zizic,Cleveland Cavaliers,1
Brilliance Above and Beyond,357,Frank Jackson,New Orleans Pelicans,1
Brilliance Above and Beyond,358,De'Aaron Fox,Sacramento Kings,1
Brilliance Above and Beyond,359,Justin Jackson,Sacramento Kings,1
Brilliance Above and Beyond,360,Frank Ntilikina,New York Knicks,1
Brilliance Above and Beyond,361,Tyler Lydon,Denver Nuggets,1
Brilliance Above and Beyond,362,Josh Jackson,Phoenix Suns,1
Brilliance Above and Beyond,363,Ivan Rabb,Memphis Grizzlies,1
Brilliance Above and Beyond,364,Malik Monk,Charlotte Hornets,1
Brilliance Above and Beyond,365,Sindarius Thornwell,Los Angeles Clippers,1
Brilliance Above and Beyond,366,D.J. Wilson,Milwaukee Bucks,1
Brilliance Above and Beyond,367,Jarrett Allen,Brooklyn Nets,1
Brilliance Above and Beyond,368,Dennis Smith Jr.,Dallas Mavericks,1
Brilliance Above and Beyond,369,Milos Teodosic,Los Angeles Clippers,1
Brilliance Above and Beyond,370,Jayson Tatum,Boston Celtics,1
Brilliance Above and Beyond,371,Caleb Swanigan,Portland Trail Blazers,1
Brilliance Above and Beyond,372,Lauri Markkanen,Chicago Bulls,1
Brilliance Above and Beyond,373,Josh Hart,Los Angeles Lakers,1
Brilliance Above and Beyond,374,Markelle Fultz,Philadelphia 76ers,1
Brilliance Above and Beyond,375,Tyler Dorsey,Atlanta Hawks,1
Brilliance Artist Proofs,351,T.J. Leaf,Indiana Pacers,10
Brilliance Artist Proofs,352,Jonathan Isaac,Orlando Magic,10
Brilliance Artist Proofs,353,Dwayne Bacon,Charlotte Hornets,10
Brilliance Artist Proofs,354,Lonzo Ball,Los Angeles Lakers,10
Brilliance Artist Proofs,355,Luke Kennard,Detroit Pistons,10
Brilliance Artist Proofs,356,Ante Zizic,Cleveland Cavaliers,10
Brilliance Artist Proofs,357,Frank Jackson,New Orleans Pelicans,10
Brilliance Artist Proofs,358,De'Aaron Fox,Sacramento Kings,10
Brilliance Artist Proofs,359,Justin Jackson,Sacramento Kings,10
Brilliance Artist Proofs,360,Frank Ntilikina,New York Knicks,10
Brilliance Artist Proofs,361,Tyler Lydon,Denver Nuggets,10
Brilliance Artist Proofs,362,Josh Jackson,Phoenix Suns,10
Brilliance Artist Proofs,363,Ivan Rabb,Memphis Grizzlies,10
Brilliance Artist Proofs,364,Malik Monk,Charlotte Hornets,10
Brilliance Artist Proofs,365,Sindarius Thornwell,Los Angeles Clippers,10
Brilliance Artist Proofs,366,D.J. Wilson,Milwaukee Bucks,10
Brilliance Artist Proofs,367,Jarrett Allen,Brooklyn Nets,10
Brilliance Artist Proofs,368,Dennis Smith Jr.,Dallas Mavericks,10
Brilliance Artist Proofs,369,Milos Teodosic,Los Angeles Clippers,10
Brilliance Artist Proofs,370,Jayson Tatum,Boston Celtics,10
Brilliance Artist Proofs,371,Caleb Swanigan,Portland Trail Blazers,10
Brilliance Artist Proofs,372,Lauri Markkanen,Chicago Bulls,10
Brilliance Artist Proofs,373,Josh Hart,Los Angeles Lakers,10
Brilliance Artist Proofs,374,Markelle Fultz,Philadelphia 76ers,10
Brilliance Artist Proofs,375,Tyler Dorsey,Atlanta Hawks,10
Brilliance Starbursts,351,T.J. Leaf,Indiana Pacers,149
Brilliance Starbursts,352,Jonathan Isaac,Orlando Magic,149
Brilliance Starbursts,353,Dwayne Bacon,Charlotte Hornets,149
Brilliance Starbursts,354,Lonzo Ball,Los Angeles Lakers,149
Brilliance Starbursts,355,Luke Kennard,Detroit Pistons,149
Brilliance Starbursts,356,Ante Zizic,Cleveland Cavaliers,149
Brilliance Starbursts,357,Frank Jackson,New Orleans Pelicans,149
Brilliance Starbursts,358,De'Aaron Fox,Sacramento Kings,149
Brilliance Starbursts,359,Justin Jackson,Sacramento Kings,149
Brilliance Starbursts,360,Frank Ntilikina,New York Knicks,149
Brilliance Starbursts,361,Tyler Lydon,Denver Nuggets,149
Brilliance Starbursts,362,Josh Jackson,Phoenix Suns,149
Brilliance Starbursts,363,Ivan Rabb,Memphis Grizzlies,149
Brilliance Starbursts,364,Malik Monk,Charlotte Hornets,149
Brilliance Starbursts,365,Sindarius Thornwell,Los Angeles Clippers,149
Brilliance Starbursts,366,D.J. Wilson,Milwaukee Bucks,149
Brilliance Starbursts,367,Jarrett Allen,Brooklyn Nets,149
Brilliance Starbursts,368,Dennis Smith Jr.,Dallas Mavericks,149
Brilliance Starbursts,369,Milos Teodosic,Los Angeles Clippers,149
Brilliance Starbursts,370,Jayson Tatum,Boston Celtics,149
Brilliance Starbursts,371,Caleb Swanigan,Portland Trail Blazers,149
Brilliance Starbursts,372,Lauri Markkanen,Chicago Bulls,149
Brilliance Starbursts,373,Josh Hart,Los Angeles Lakers,149
Brilliance Starbursts,374,Markelle Fultz,Philadelphia 76ers,149
Brilliance Starbursts,375,Tyler Dorsey,Atlanta Hawks,149
Chronicles Autographs,1,Alec Peters,Phoenix Suns,199
Chronicles Autographs,2,Markelle Fultz,Philadelphia 76ers,199
Chronicles Autographs,3,Frank Jackson,New Orleans Pelicans,199
Chronicles Autographs,4,Jonathan Isaac,Orlando Magic,199
Chronicles Autographs,5,Semi Ojeleye,Boston Celtics,199
Chronicles Autographs,6,Zach Collins,Portland Trail Blazers,199
Chronicles Autographs,7,Tyler Dorsey,Atlanta Hawks,199
Chronicles Autographs,8,Justin Jackson,Sacramento Kings,199
Chronicles Autographs,10,Harry Giles,Sacramento Kings,199
Chronicles Autographs,11,Kyle Kuzma,Los Angeles Lakers,199
Chronicles Autographs,12,Lonzo Ball,Los Angeles Lakers,199
Chronicles Autographs,13,Davon Reed,Phoenix Suns,199
Chronicles Autographs,14,Sindarius Thornwell,Los Angeles Clippers,199
Chronicles Autographs,15,Sterling Brown,Milwaukee Bucks,199
Chronicles Autographs,17,Guerschon Yabusele,Boston Celtics,199
Chronicles Autographs,18,Justin Patton,Minnesota Timberwolves,199
Chronicles Autographs,19,Giannis Antetokounmpo,Milwaukee Bucks,99
Chronicles Autographs,20,Terrance Ferguson,Oklahoma City Thunder,199
Chronicles Autographs,21,Tony Bradley,Utah Jazz,199
