Card Set,Number,Player,Team,Seq.
Base,1,Aaron Gordon,Orlando Magic,99
Base,2,Al Horford,Boston Celtics,99
Base,3,Andre Drummond,Detroit Pistons,99
Base,4,Andrew Wiggins,Minnesota Timberwolves,99
Base,5,Anthony Davis,New Orleans Pelicans,99
Base,6,Avery Bradley,Los Angeles Clippers,99
Base,7,Ben Simmons,Philadelphia 76ers,99
Base,8,Blake Griffin,Detroit Pistons,99
Base,9,Bradley Beal,Washington Wizards,99
Base,10,Brandon Ingram,Los Angeles Lakers,99
Base,11,Buddy Hield,Sacramento Kings,99
Base,12,CJ McCollum,Portland Trail Blazers,99
Base,13,Carmelo Anthony,Oklahoma City Thunder,99
Base,14,Chris Paul,Houston Rockets,99
Base,15,Clint Capela,Houston Rockets,99
Base,16,Damian Lillard,Portland Trail Blazers,99
Base,17,D'Angelo Russell,Brooklyn Nets,99
Base,18,Dario Saric,Philadelphia 76ers,99
Base,19,De'Aaron Fox,Sacramento Kings,99
Base,20,DeAndre Jordan,Los Angeles Clippers,99
Base,21,DeMar DeRozan,Toronto Raptors,99
Base,22,DeMarcus Cousins,New Orleans Pelicans,99
Base,23,Dennis Schroder,Atlanta Hawks,99
Base,24,Dennis Smith Jr.,Dallas Mavericks,99
Base,25,Derrick Favors,Utah Jazz,99
Base,26,Derrick Rose,Minnesota Timberwolves,99
Base,27,Devin Booker,Phoenix Suns,99
Base,28,Dirk Nowitzki,Dallas Mavericks,99
Base,29,Donovan Mitchell,Utah Jazz,99
Base,30,Draymond Green,Golden State Warriors,99
Base,31,Dwight Howard,Orlando Magic,99
Base,32,Dwyane Wade,Miami Heat,99
Base,33,Enes Kanter,New York Knicks,99
Base,34,Eric Bledsoe,Milwaukee Bucks,99
Base,35,Eric Gordon,Houston Rockets,99
Base,36,Evan Fournier,Orlando Magic,99
Base,37,George Hill,Cleveland Cavaliers,99
Base,38,Giannis Antetokounmpo,Milwaukee Bucks,99
Base,39,Goran Dragic,Miami Heat,99
Base,40,Gordon Hayward,Boston Celtics,99
Base,41,Harrison Barnes,Dallas Mavericks,99
Base,42,Hassan Whiteside,Miami Heat,99
Base,43,Jamal Murray,Denver Nuggets,99
Base,44,James Harden,Houston Rockets,99
Base,45,Jayson Tatum,Boston Celtics,99
Base,46,Jimmy Butler,Minnesota Timberwolves,99
Base,47,Joel Embiid,Philadelphia 76ers,99
Base,48,John Wall,Washington Wizards,99
Base,49,Jonas Valanciunas,Toronto Raptors,99
Base,50,Jrue Holiday,New Orleans Pelicans,99
Base,51,Julius Randle,Los Angeles Lakers,99
Base,52,Jusuf Nurkic,Portland Trail Blazers,99
