Card Set,Number,Player,Team,Seq.
All-Decade Materials,1,Wilt Chamberlain,Los Angeles Lakers,15
All-Decade Materials,2,Artis Gilmore,Kentucky Colonels (ABA),49
All-Decade Materials,3,John Havlicek,Boston Celtics,99
All-Decade Materials,4,Dan Issel,Kentucky Colonels (ABA),49
All-Decade Materials,5,Julius Erving,Philadelphia 76ers,25
All-Decade Materials,6,Larry Bird,Boston Celtics,25
All-Decade Materials,7,Magic Johnson,Los Angeles Lakers,99
All-Decade Materials,8,Earl Monroe,New York Knicks,99
All-Decade Materials,9,Spencer Haywood,New York Knicks,25
All-Decade Materials,10,Kareem Abdul-Jabbar,Los Angeles Lakers,25
All-Decade Materials,11,Scottie Pippen,Chicago Bulls,99
All-Decade Materials,12,Isiah Thomas,Detroit Pistons,49
All-Decade Materials,13,Elgin Baylor,Los Angeles Lakers,15
All-Decade Materials,14,Jerry Lucas,San Francisco Warriors,49
All-Decade Materials,15,Jerry West,Los Angeles Lakers,15
All-Decade Materials,16,Rick Barry,Golden State Warriors,15
All-Decade Materials,17,Kevin Garnett,Minnesota Timberwolves,99
All-Decade Materials,18,Kobe Bryant,Los Angeles Lakers,99
All-Decade Materials,19,Tim Duncan,San Antonio Spurs,99
All-Decade Materials,20,Dirk Nowitzki,Dallas Mavericks,99
All-Decade Materials Prime,1,Wilt Chamberlain,Los Angeles Lakers,10
All-Decade Materials Prime,2,Artis Gilmore,Kentucky Colonels (ABA),10
All-Decade Materials Prime,3,John Havlicek,Boston Celtics,10
All-Decade Materials Prime,4,Dan Issel,Kentucky Colonels (ABA),10
All-Decade Materials Prime,5,Julius Erving,Philadelphia 76ers,5
All-Decade Materials Prime,6,Larry Bird,Boston Celtics,10
All-Decade Materials Prime,7,Magic Johnson,Los Angeles Lakers,5
All-Decade Materials Prime,8,Earl Monroe,New York Knicks,5
All-Decade Materials Prime,9,Spencer Haywood,New York Knicks,10
All-Decade Materials Prime,10,Kareem Abdul-Jabbar,Los Angeles Lakers,10
All-Decade Materials Prime,11,Scottie Pippen,Chicago Bulls,10
All-Decade Materials Prime,12,Isiah Thomas,Detroit Pistons,10
All-Decade Materials Prime,13,Elgin Baylor,Los Angeles Lakers,5
All-Decade Materials Prime,14,Jerry Lucas,San Francisco Warriors,4
All-Decade Materials Prime,15,Jerry West,Los Angeles Lakers,5
All-Decade Materials Prime,16,Rick Barry,Golden State Warriors,10
All-Decade Materials Prime,17,Kevin Garnett,Minnesota Timberwolves,10
All-Decade Materials Prime,18,Kobe Bryant,Los Angeles Lakers,10
All-Decade Materials Prime,19,Tim Duncan,San Antonio Spurs,10
All-Decade Materials Prime,20,Dirk Nowitzki,Dallas Mavericks,10
All-Decade Materials Super Prime,1,Wilt Chamberlain,Los Angeles Lakers,1
All-Decade Materials Super Prime,2,Artis Gilmore,Kentucky Colonels (ABA),1
All-Decade Materials Super Prime,3,John Havlicek,Boston Celtics,1
All-Decade Materials Super Prime,4,Dan Issel,Kentucky Colonels (ABA),1
All-Decade Materials Super Prime,5,Julius Erving,Philadelphia 76ers,1
All-Decade Materials Super Prime,6,Larry Bird,Boston Celtics,1
All-Decade Materials Super Prime,7,Magic Johnson,Los Angeles Lakers,1
All-Decade Materials Super Prime,8,Earl Monroe,New York Knicks,1
All-Decade Materials Super Prime,9,Spencer Haywood,New York Knicks,1
All-Decade Materials Super Prime,10,Kareem Abdul-Jabbar,Los Angeles Lakers,1
All-Decade Materials Super Prime,11,Scottie Pippen,Chicago Bulls,1
All-Decade Materials Super Prime,12,Isiah Thomas,Detroit Pistons,1
All-Decade Materials Super Prime,13,Elgin Baylor,Los Angeles Lakers,1
All-Decade Materials Super Prime,14,Jerry Lucas,San Francisco Warriors,1
All-Decade Materials Super Prime,15,Jerry West,Los Angeles Lakers,1
All-Decade Materials Super Prime,16,Rick Barry,Golden State Warriors,1
All-Decade Materials Super Prime,17,Kevin Garnett,Minnesota Timberwolves,1
