BASE,,,
BASE CARDS,,,
1,Mike Trout,Angels®,
2,Francisco Mejia,Cleveland Indians®,Rookie
3,Corey Kluber,Cleveland Indians®,
4,Zack Greinke,Arizona Diamondbacks®,
5,Paul Goldschmidt,Arizona Diamondbacks®,
6,Victor Robles,Washington Nationals®,Rookie
7,Keon Broxton,Milwaukee BrewersTM,
8,Hunter Renfroe,San Diego PadresTM,
9,Zack Granite,Minnesota Twins®,Rookie
10,Rhys Hoskins,Philadelphia Phillies®,Rookie
11,Jen-Ho Tseng,Chicago Cubs®,Rookie
12,Chance Sisco,Baltimore Orioles®,Rookie
13,Maikel Franco,Philadelphia Phillies®,
14,George Springer,Houston Astros®,
15,Corey Knebel,Milwaukee BrewersTM,
16,Matt Olson,Oakland AthleticsTM,
17,Nicholas Castellanos,Detroit Tigers®,
18,Salvador Perez,Kansas City Royals®,
19,Yoan Moncada,Chicago White Sox®,
20,Raudy Read,Washington Nationals®,Rookie
21,Noah Syndergaard,New York Mets®,
22,Albert Pujols,Angels®,
23,Richard Urena,Toronto Blue Jays®,Rookie
24,Aaron Judge,New York Yankees®,
25,Rafael Devers,Boston Red Sox®,Rookie
26,Clint Frazier,New York Yankees®,Rookie
27,Wil Myers,San Diego PadresTM,
28,Manny Machado,Baltimore Orioles®,
29,Miguel Cabrera,Detroit Tigers®,
30,Stephen Strasburg,Washington Nationals®,
31,Willie Calhoun,Texas Rangers®,Rookie
32,Tyler Mahle,Cincinnati Reds®,Rookie
33,Anthony Rizzo,Chicago Cubs®,
34,Amed Rosario,New York Mets®,Rookie
35,Erick Fedde,Washington Nationals®,Rookie
36,Dustin Fowler,Oakland AthleticsTM,Rookie
37,Sandy Alcantara,Miami Marlins®,Rookie
38,Andrew Benintendi,Boston Red Sox®,
39,Jose Berrios,Minnesota Twins®,
40,Francisco Lindor,Cleveland Indians®,
41,Freddie Freeman,Atlanta BravesTM,
42,Harrison Bader,St. Louis Cardinals®,Rookie
43,Joey Votto,Cincinnati Reds®,
44,Chris Archer,Tampa Bay RaysTM,
45,Khris Davis,Oakland AthleticsTM,
46,Austin Hays,Baltimore Orioles®,Rookie
47,Cody Bellinger,Los Angeles Dodgers®,
48,Jackson Stephens,Cincinnati Reds®,Rookie
49,Shohei Ohtani,Angels®,Rookie

50,Carlos Correa,Houston Astros®,
51,Marcell Ozuna,St. Louis Cardinals®,
