BASE,,,
BASE CARDS,,,
1,Shohei Ohtani,Angels®,Rookie
2,Byron Buxton,Minnesota Twins®,
3,Scott Kingery,Philadelphia Phillies®,Rookie
4,Michael Fulmer,Detroit Tigers®,
5,Starlin Castro,Miami Marlins®,
6,Anthony Rizzo,Chicago Cubs®,
7,Mookie Betts,Boston Red Sox®,
8,Rafael Devers,Boston Red Sox®,Rookie
9,Nelson Cruz,Seattle MarinersTM,
10,Gary Sanchez,New York Yankees®,
11,Amed Rosario,New York Mets®,Rookie
12,Tyler O'Neill,St. Louis Cardinals®,Rookie
13,Christian Yelich,Milwaukee BrewersTM,
14,Yoan Moncada,Chicago White Sox®,
15,Justin Verlander,Houston Astros®,
16,Jordan Hicks,St. Louis Cardinals®,Rookie
17,Joey Lucchesi,San Diego PadresTM,Rookie
18,Lucas Giolito,Chicago White Sox®,
19,Sandy Alcantara,Miami Marlins®,Rookie
20,Ender Inciarte,Atlanta BravesTM,
21,Clint Frazier,New York Yankees®,Rookie
22,Aaron Nola,Philadelphia Phillies®,
23,Alex Gordon,Kansas City Royals®,
24,Salvador Perez,Kansas City Royals®,
25,Rhys Hoskins,Philadelphia Phillies®,Rookie
26,Cole Hamels,Texas Rangers®,
27,Yoenis Cespedes,New York Mets®,
28,Odubel Herrera,Philadelphia Phillies®,
29,Albert Pujols,Angels®,
30,Yu Darvish,Chicago Cubs®,
31,Francisco Lindor,Cleveland Indians®,
32,Joey Votto,Cincinnati Reds®,
33,Francisco Mejia,Cleveland Indians®,Rookie
34,Walker Buehler,Los Angeles Dodgers®,Rookie
35,Nick Williams,Philadelphia Phillies®,Rookie
36,Ryan McMahon,Colorado RockiesTM,Rookie
37,Mike Trout,Angels®,
38,Adrian Beltre,Texas Rangers®,
39,Billy Hamilton,Cincinnati Reds®,
40,Ronald Acuña Jr.,Atlanta BravesTM,Rookie
41,Tyler Mahle,Cincinnati Reds®,Rookie
42,Matt Chapman,Oakland AthleticsTM,
43,Johnny Cueto,San Francisco Giants®,
44,Dominic Smith,New York Mets®,Rookie
45,Carlos Correa,Houston Astros®,
46,Josh Harrison,Pittsburgh Pirates®,
47,Alex Verdugo,Los Angeles Dodgers®,Rookie
48,Yadier Molina,St. Louis Cardinals®,
49,Josh Bell,Pittsburgh Pirates®,

50,Kris Bryant,Chicago Cubs®,
51,Willie Calhoun,Texas Rangers®,Rookie
52,Victor Robles,Washington Nationals®,Rookie
53,Andrew Benintendi,Boston Red Sox®,
54,Garrett Cooper,Miami Marlins®,Rookie
55,Matt Olson,Oakland AthleticsTM,
56,Andrew Stevenson,Washington Nationals®,Rookie
57,Corey Seager,Los Angeles Dodgers®,
58,J.D. Martinez,Boston Red Sox®,
59,Buster Posey,San Francisco Giants®,
60,Justin Upton,Angels®,
61,Miguel Cabrera,Detroit Tigers®,
62,Roberto Osuna,Toronto Blue Jays®,
63,Chris Archer,Tampa Bay RaysTM,
64,Mike Soroka,Atlanta BravesTM,Rookie
65,J.P. Crawford,Philadelphia Phillies®,Rookie
66,Paul Goldschmidt,Arizona Diamondbacks®,
67,Ichiro,Seattle MarinersTM,
68,Harrison Bader,St. Louis Cardinals®,Rookie
69,Miguel Andujar,New York Yankees®,Rookie
70,Nolan Arenado,Colorado RockiesTM,
71,Giancarlo Stanton,New York Yankees®,
72,Jack Flaherty,St. Louis Cardinals®,Rookie
73,Kevin Kiermaier,Tampa Bay RaysTM,
74,Tim Beckham,Baltimore Orioles®,
75,Justin Bour,Miami Marlins®,
76,Tomas Nido,New York Mets®,Rookie
77,Chance Sisco,Baltimore Orioles®,Rookie
78,Todd Frazier,New York Mets®,
79,Charlie Blackmon,Colorado RockiesTM,
80,Dustin Fowler,Oakland AthleticsTM,Rookie
81,Zack Granite,Minnesota Twins®,Rookie
82,Eric Hosmer,San Diego PadresTM,
83,Gleyber Torres,New York Yankees®,Rookie
84,Bryce Harper,Washington Nationals®,
85,Manny Machado,Baltimore Orioles®,
86,Hunter Renfroe,San Diego PadresTM,
87,Austin Hays,Baltimore Orioles®,Rookie
88,Cody Bellinger,Los Angeles Dodgers®,
89,Lorenzo Cain,Milwaukee BrewersTM,
90,Brian Dozier,Minnesota Twins®,
91,Troy Tulowitzki,Toronto Blue Jays®,
92,Ozzie Albies,Atlanta BravesTM,Rookie
93,Paul DeJong,St. Louis Cardinals®,
94,Max Scherzer,Washington Nationals®,
95,Jose Ramirez,Cleveland Indians®,
96,Freddie Freeman,Atlanta BravesTM,
97,Jake Lamb,Arizona Diamondbacks®,
98,Clayton Kershaw,Los Angeles Dodgers®,
99,Luiz Gohara,Atlanta BravesTM,Rookie
100,Aaron Judge,New York Yankees®,

INSERT,,
BOWMAN CHROME PROSPECTS,,
BCP23,Jeren Kendall,Los Angeles Dodgers®
BCP151,Russell Wilson,New York Yankees®
BCP152,Luis Garcia,Washington Nationals®
BCP153,Enyel De Los Santos,Philadelphia Phillies®
BCP154,Cole Brannen,Boston Red Sox®
BCP155,Austin Riley,Atlanta BravesTM
BCP156,Taylor Trammell,Cincinnati Reds®
BCP157,Luis Ortiz,Milwaukee BrewersTM
BCP158,Nick Allen,Oakland AthleticsTM
BCP159,LaMonte Wade,Minnesota Twins®
BCP160,Kyle Tucker,Houston Astros®
BCP161,Luis Medina,New York Yankees®
BCP162,Brian Mundell,Colorado RockiesTM
BCP163,Tanner Houck,Boston Red Sox®
BCP164,Connor Seabold,Philadelphia Phillies®
BCP165,Sheldon Neuse,Oakland AthleticsTM
BCP166,Brent Rooker,Minnesota Twins®
BCP167,Ryan Mountcastle,Baltimore Orioles®
BCP168,Trevor Stephan,New York Yankees®
BCP169,Bryse Wilson,Atlanta BravesTM
BCP170,Charcer Burks,Chicago Cubs®
BCP171,Jeter Downs,Cincinnati Reds®
BCP172,Tyler Freeman,Cleveland Indians®
BCP173,Yasel Antuna,Washington Nationals®
BCP174,Keston Hiura,Milwaukee BrewersTM
BCP175,Dylan Cease,Chicago White Sox®
BCP176,Dakota Hudson,St. Louis Cardinals®
BCP177,Alec Hansen,Chicago White Sox®
BCP178,Sixto Sanchez,Philadelphia Phillies®
BCP179,Peter Lambert,Colorado RockiesTM
BCP180,Jorge Guzman,Miami Marlins®
BCP181,Joe Perez,Houston Astros®
BCP182,Brandon Marsh,Angels®
BCP183,Triston McKenzie,Cleveland Indians®
BCP184,Rogelio Armenteros,Houston Astros®
BCP185,Franklin Perez,Detroit Tigers®
BCP186,Kristian Robinson,Arizona Diamondbacks®
BCP187,Kyle Funkhouser,Detroit Tigers®
BCP188,Jon Duplantier,Arizona Diamondbacks®
BCP189,Nolan Jones,Cleveland Indians®
BCP190,Patrick Weigel,Atlanta BravesTM
BCP191,Aramis Ademan,Chicago Cubs®
BCP192,Carter Kieboom,Washington Nationals®
BCP193,D.J. Daniels,Toronto Blue Jays®
BCP194,Fernando Romero,Minnesota Twins®
BCP195,Nicky Lopez,Kansas City Royals®
BCP196,Darwinzon Hernandez,Boston Red Sox®

BCP197,Jake Bauers,Tampa Bay RaysTM
BCP198,Daulton Varsho,Arizona Diamondbacks®
BCP199,Bo Bichette,Toronto Blue Jays®
BCP200,Willy Adames,Tampa Bay RaysTM
BCP201,Shane Baz,Pittsburgh Pirates®
BCP202,Logan Shore,Oakland AthleticsTM
BCP203,Austin Allen,San Diego PadresTM
BCP204,Isan Diaz,Miami Marlins®
BCP205,David Peterson,New York Mets®
BCP206,Tony Santillan,Cincinnati Reds®
BCP207,Chris Torres,Miami Marlins®
BCP208,Chance Adams,New York Yankees®
BCP209,Matt Manning,Detroit Tigers®
BCP210,Mickey Moniak,Philadelphia Phillies®
BCP211,Cody Sedlock,Baltimore Orioles®
BCP212,Jay Groome,Boston Red Sox®
BCP213,Shane Bieber,Cleveland Indians®
BCP214,Pavin Smith,Arizona Diamondbacks®
BCP215,Luis Urias,San Diego PadresTM
BCP216,Beau Burrows,Detroit Tigers®
BCP217,Mike Baumann,Baltimore Orioles®
BCP218,Brusdar Graterol,Minnesota Twins®
BCP219,Riley Pint,Colorado RockiesTM
BCP220,Anderson Espinoza,San Diego PadresTM
BCP221,Freddy Peralta,Milwaukee BrewersTM
BCP222,Chase Pinder,St. Louis Cardinals®
BCP223,Michael Chavis,Boston Red Sox®
BCP224,Zack Burdi,Chicago White Sox®
BCP225,Eduardo Diaz,Arizona Diamondbacks®
BCP226,Daz Cameron,Detroit Tigers®
BCP227,Austin Meadows,Pittsburgh Pirates®
BCP228,Will Benson,Cleveland Indians®
BCP229,Jose Albertos,Chicago Cubs®
BCP230,Zack Collins,Chicago White Sox®
BCP231,Justin Williams,Tampa Bay RaysTM
BCP232,Jairo Solis,Houston Astros®
BCP233,Brendon Little,Chicago Cubs®
BCP234,Albert Abreu,New York Yankees®
BCP235,Dillon Tate,New York Yankees®
BCP236,Garrett Hampson,Colorado RockiesTM
BCP237,Kevin Maitan,Angels®
BCP238,Monte Harrison,Miami Marlins®
BCP239,Gregory Soto,Detroit Tigers®
BCP240,Leody Taveras,Texas Rangers®
BCP241,Riley Adams,Toronto Blue Jays®
BCP242,Bobby Dalbec,Boston Red Sox®
BCP243,Gavin Sheets,Chicago White Sox®
BCP244,Kyle Lewis,Seattle MarinersTM
BCP245,Evan Steele,Kansas City Royals®
BCP247,LoLo Sanchez,Pittsburgh Pirates®
BCP248,Luis Guillorme,New York Mets®
BCP249,Nate Pearson,Toronto Blue Jays®

BCP250,Nick Senzel,Cincinnati Reds®,
ROOKIE SHORT PRINT IMAGE VARIATIONS,,,
,1 Shohei Ohtani,Angels®,Rookie
,8 Rafael Devers,Boston Red Sox®,Rookie
,11 Amed Rosario,New York Mets®,Rookie
,21 Clint Frazier,New York Yankees®,Rookie
,25 Rhys Hoskins,Philadelphia Phillies®,Rookie
,33 Francisco Mejia,Cleveland Indians®,Rookie
,35 Nick Williams,Philadelphia Phillies®,Rookie
,44 Dominic Smith,New York Mets®,Rookie
,47 Alex Verdugo,Los Angeles Dodgers®,Rookie
,52 Victor Robles,Washington Nationals®,Rookie
,65 J.P. Crawford,Philadelphia Phillies®,Rookie
,68 Harrison Bader,St. Louis Cardinals®,Rookie
,72 Jack Flaherty,St. Louis Cardinals®,Rookie
,87 Austin Hays,Baltimore Orioles®,Rookie
,92 Ozzie Albies,Atlanta BravesTM,Rookie
PEAKS OF POTENTIAL,,,
PP-AA,Aramis Ademan,Chicago Cubs®,
PP-AAL,Adbert Alzolay,Chicago Cubs®,
PP-AG,Andres Gimenez,New York Mets®,
PP-BB,Bo Bichette,Toronto Blue Jays®,
PP-BM,Brandon Marsh,Angels®,
PP-BMC,Brendan McKay,Tampa Bay RaysTM,
PP-CB,Corbin Burnes,Milwaukee BrewersTM,
PP-CP,Cristian Pache,Atlanta BravesTM,
PP-CW,Colton Welker,Colorado RockiesTM,
PP-EF,Estevan Florial,New York Yankees®,
PP-FP,Franklin Perez,Detroit Tigers®,
PP-FT,Fernando Tatis Jr.,San Diego PadresTM,
PP-GT,Gleyber Torres,New York Yankees®,
PP-HG,Hunter Greene,Cincinnati Reds®,
PP-HR,Heliot Ramos,San Francisco Giants®,
PP-JA,Jo Adell,Angels®,
PP-JB,Jake Burger,Chicago White Sox®,
PP-JG,Jorge Guzman,Miami Marlins®,
PP-JH,Jordan Hicks,St. Louis Cardinals®,
PP-JS,Jesus Sanchez,Tampa Bay RaysTM,
PP-KR,Keibert Ruiz,Los Angeles Dodgers®,
PP-LR,Luis Robert,Chicago White Sox®,
PP-LU,Luis Urias,San Diego PadresTM,
PP-MG,MacKenzie Gore,San Diego PadresTM,
PP-MW,Mitchell White,Los Angeles Dodgers®,
PP-RL,Royce Lewis,Minnesota Twins®,
PP-SM,Sean Murphy,Oakland AthleticsTM,
PP-SN,Sheldon Neuse,Oakland AthleticsTM,
PP-SS,Sixto Sanchez,Philadelphia Phillies®,
PP-YA,Yordan Alvarez,Houston Astros®,
2017 AFL FALL STARS,,,

AFL-AA,Adbert Alzolay,Chicago Cubs®,
AFL-CR,Corey Ray,Milwaukee BrewersTM,
AFL-DB,David Bote,Chicago Cubs®,
