BASE,,
BASE CARDS,,
BD-1,Casey Mize,Detroit Tigers®
BD-2,Matt Vierling,Philadelphia Phillies®
BD-3,Brusdar Graterol,Minnesota Twins®
BD-4,Lawrence Butler,Oakland AthleticsTM
BD-5,Terrin Vavra,Colorado RockiesTM
BD-6,Jarred Kelenic,New York Mets®
BD-7,Yusniel Diaz,Baltimore Orioles®
BD-8,Lenny Torres,Cleveland Indians®
BD-9,Shane McClanahan,Tampa Bay RaysTM
BD-10,Blayne Enlow,Minnesota Twins®
BD-11,Brice Turang,Milwaukee BrewersTM
BD-12,Tim Cate,Washington Nationals®
BD-13,Pedro Avila,San Diego PadresTM
BD-14,Kyle Isbel,Kansas City Royals®
BD-15,Devin Mann,Los Angeles Dodgers®
BD-16,Jazz Chisholm,Arizona Diamondbacks®
BD-17,Luis Medina,New York Yankees®
BD-18,Adrian Morejon,San Diego PadresTM
BD-19,Arbert Cipion,Milwaukee BrewersTM
BD-20,Trevor Stephan,New York Yankees®
BD-21,Drew Ellis,Arizona Diamondbacks®
BD-22,Taylor Trammell,Cincinnati Reds®
BD-23,Jayson Schroeder,Houston Astros®
BD-24,Joe Jacques,Pittsburgh Pirates®
BD-25,Alec Bohm,Philadelphia Phillies®
BD-26,Beau Burrows,Detroit Tigers®
BD-27,Jonathan Stiever,Chicago White Sox®
BD-28,Parker Meadows,Detroit Tigers®
BD-29,Jonathan Ornelas,Arizona Diamondbacks®
BD-30,Matthew Liberatore,Tampa Bay RaysTM
BD-31,Greyson Jenista,Atlanta BravesTM
BD-32,Bo Bichette,Toronto Blue Jays®
BD-33,Durbin Feltman,Boston Red Sox®
BD-34,Nick Sandlin,Cleveland Indians®
BD-35,Jahmai Jones,Angels®
BD-36,Brandon Marsh,Angels®
BD-37,Lency Delgado,Chicago White Sox®
BD-38,Nick Madrigal,Chicago White Sox®
BD-39,Kris Bubic,Kansas City Royals®
BD-40,Oneil Cruz,Pittsburgh Pirates®
BD-41,Alex Faedo,Detroit Tigers®
BD-42,Thomas Ponticelli,Cleveland Indians®
BD-43,Bryan Lavastida,Cleveland Indians®
BD-44,Nick Schnell,Tampa Bay RaysTM
BD-45,Cal Mitchell,Pittsburgh Pirates®
BD-46,Nick Solak,Tampa Bay RaysTM
BD-47,Brennen Davis,Chicago Cubs®
BD-48,Ethan Hankins,Cleveland Indians®
BD-49,Keston Hiura,Milwaukee BrewersTM

BD-50,Ke'Bryan Hayes,Pittsburgh Pirates®
BD-51,Jeremiah Jackson,Angels®
BD-52,Lolo Sanchez,Pittsburgh Pirates®
BD-53,Gregory Soto,Detroit Tigers®
BD-54,Nicky Lopez,Kansas City Royals®
BD-55,Jake Wong,San Francisco Giants®
BD-56,Jordan Groshans,Toronto Blue Jays®
BD-57,Josh Breaux,New York Yankees®
BD-58,Hunter Greene,Cincinnati Reds®
BD-59,Dylan Cease,Chicago White Sox®
BD-60,Carlos Cortes,New York Mets®
BD-61,Korry Howell,Milwaukee BrewersTM
BD-62,Joey Wentz,Atlanta BravesTM
BD-63,Logan Gilbert,Seattle MarinersTM
BD-64,Ryan Rolison,Colorado RockiesTM
BD-65,Anthony Seigler,New York Yankees®
BD-66,Jorge Guzman,Miami Marlins®
BD-67,Mark Vientos,New York Mets®
BD-68,Chris Paddack,San Diego PadresTM
BD-69,Kole Cottam,Boston Red Sox®
BD-70,Trevor Larnach,Minnesota Twins®
BD-71,Monte Harrison,Miami Marlins®
BD-72,Aramis Ademan,Chicago Cubs®
BD-73,Grayson Rodriguez,Baltimore Orioles®
BD-74,Nick Gordon,Minnesota Twins®
BD-75,Sixto Sanchez,Philadelphia Phillies®
BD-76,Joe Gray,Milwaukee BrewersTM
BD-77,Drevian Williams-Nelson,Angels®
BD-78,Tanner Dodson,Tampa Bay RaysTM
BD-79,Ryan Vilade,Colorado RockiesTM
BD-80,Blake Rivera,San Francisco Giants®
BD-81,Adam Haseley,Philadelphia Phillies®
BD-82,Braydon Fisher,Los Angeles Dodgers®
BD-83,Kevon Jackson,Kansas City Royals®
BD-84,Ryder Green,New York Yankees®
BD-85,Jawuan Harris,San Diego PadresTM
BD-86,Mitch Keller,Pittsburgh Pirates®
BD-87,Royce Lewis,Minnesota Twins®
BD-88,Jordyn Adams,Angels®
BD-89,Korey Holland,Cleveland Indians®
BD-90,Thad Ward,Boston Red Sox®
BD-91,Sean Murphy,Oakland AthleticsTM
BD-92,Calvin Coker,Oakland AthleticsTM
BD-93,Carter Kieboom,Washington Nationals®
BD-94,Jake McCarthy,Arizona Diamondbacks®
BD-95,Braxton Ashcraft,Pittsburgh Pirates®
BD-96,Colton Eastman,Philadelphia Phillies®
BD-97,Mitchell White,Los Angeles Dodgers®
BD-98,Nick Pratto,Kansas City Royals®
BD-99,Alex McKenna,Houston Astros®
BD-100,Brendan McKay,Tampa Bay RaysTM
BD-101,Mike Shawaryn,Boston Red Sox®

BD-102,Levi Kelly,Arizona Diamondbacks®
BD-103,Osiris Johnson,Miami Marlins®
BD-104,Justin Jarvis,Milwaukee BrewersTM
