2018 TOPPS BASEBALL SERIES 1 CHECKLIST,,,
BASE,,,
1,Aaron Judge,New York Yankees®,
2,Clayton Kershaw,Los Angeles Dodgers®,League Leaders
3,Dylan Bundy,Baltimore Orioles®,
4,Kevin Pillar,Toronto Blue Jays®,
5,Chris Tillman,Baltimore Orioles®,
6,Dominic Smith,New York Mets®,Rookie
7,Clint Frazier,New York Yankees®,Rookie
8,,Detroit Tigers®,Team Cards
9,Jon Gray,Colorado RockiesTM,
10,Francisco Lindor,Cleveland Indians®,
11,Aaron Nola,Philadelphia Phillies®,
12,Joey Gallo,Texas Rangers®,League Leaders
13,Jay Bruce,Cleveland Indians®,
14,Amir Garrett,Cincinnati Reds®,
15,Andrelton Simmons,Angels®,
16,Daniel Coulombe,Oakland AthleticsTM,
17,Robbie Ray,Arizona Diamondbacks®,
18,Rafael Devers,Boston Red Sox®,Rookie
19,Garrett Richards,Angels®,
20,Chris Sale,Boston Red Sox®,
21,Harrison Bader,St. Louis Cardinals®,Rookie
22,Edinson Volquez,Miami Marlins®,
23,Jordy Mercer,Pittsburgh Pirates®,
24,Martin Maldonado,Angels®,
25,Manny Machado,Baltimore Orioles®,
26,Cesar Hernandez,Philadelphia Phillies®,
27,Josh Tomlin,Cleveland Indians®,
28,Jayson Werth,Washington Nationals®,
29,Hunter Renfroe,San Diego PadresTM,
30,Carlos Correa,Houston Astros®,
31,Corey Kluber,Cleveland Indians®,League Leaders
32,Jose Iglesias,Detroit Tigers®,
33,Dexter Fowler,St. Louis Cardinals®,
34,Luis Severino,New York Yankees®,League Leaders
35,Logan Forsythe,Los Angeles Dodgers®,
36,Anthony Rendon,Washington Nationals®,
37,Corey Kluber,Cleveland Indians®,League Leaders
38,Danny Salazar,Cleveland Indians®,
39,Alex Bregman,Houston Astros®,World Series
40,Carlos Santana,Cleveland Indians®,
41,Daniel Norris,Detroit Tigers®,
42,Cody Bellinger,Los Angeles Dodgers®,
43,Eduardo Rodriguez,Boston Red Sox®,
44,Trea Turner,Washington Nationals®,
45,Giancarlo Stanton,Miami Marlins®,League Leaders
46,Cam Bedrosian,Angels®,
