BASE,,,
VETERANS,,,
351,Bryce Harper,Washington Nationals®,
352,Cincinnati Reds®,Cincinnati Reds®,Team Cards
353,Yan Gomes,Cleveland Indians®,
354,Robert Stephenson,Cincinnati Reds®,
355,Joe Ross,Washington Nationals®,
356,Jeff Hoffman,Colorado RockiesTM,
357,Josh Hader,Milwaukee BrewersTM,
358,Brad Brach,Baltimore Orioles®,
359,Wade Miley,Milwaukee BrewersTM,
360,Taijuan Walker,Arizona Diamondbacks®,
361,Houston Astros®,Houston Astros®,Combo Cards
362,Miguel Rojas,Miami Marlins®,
363,Bryan Shaw,Colorado RockiesTM,
364,DOES NOT EXIST IN SERIES 2,,
365,Los Angeles Dodgers®,Los Angeles Dodgers®,Combo Cards
365,Mallex Smith,Tampa Bay RaysTM,
366,Tyler Glasnow,Pittsburgh Pirates®,Future Stars
367,Liam Hendriks,Oakland AthleticsTM,
368,Matt Strahm,San Diego PadresTM,
369,Chris Taylor,Los Angeles Dodgers®,
370,Steven Wright,Boston Red Sox®,
371,Cole Hamels,Texas Rangers®,
372,Nick Tropeano,Angels®,
373,Jorge Bonifacio,Kansas City Royals®,
374,Bradley Zimmer,Cleveland Indians®,Future Stars
375,Evan Gattis,Houston Astros®,
376,Kyle McGrath,San Diego PadresTM,Rookie
377,Domingo Santana,Milwaukee BrewersTM,
378,Aaron Wilkerson,Milwaukee BrewersTM,Rookie
379,Washington Nationals®,Washington Nationals®,Combo Cards
380,Kelby Tomlinson,San Francisco Giants®,
381,Kole Calhoun,Angels®,
382,Brandon Guyer,Cleveland Indians®,
383,JaCoby Jones,Detroit Tigers®,
384,Addison Russell,Chicago Cubs®,
385,Jason Hammel,Kansas City Royals®,
386,James Shields,Chicago White Sox®,
387,Julio Teheran,Atlanta BravesTM,
388,Taylor Motter,Seattle MarinersTM,
389,New York Yankees®,New York Yankees®,Combo Cards
390,Jesse Chavez,Angels®,
391,Ben Zobrist,Chicago Cubs®,
392,Marcus Stroman,Toronto Blue Jays®,
393,Corey Kluber,Cleveland Indians®,
394,Chad Pinder,Oakland AthleticsTM,
395,Martin Perez,Texas Rangers®,
396,Matt Olson,Oakland AthleticsTM,
397,Dallas Keuchel,Houston Astros®,
398,Sam Dyson,San Francisco Giants®,
399,Chicago Cubs®,Chicago Cubs®,Team Cards
400,Jose Altuve,Houston Astros®,
401,Michael Brantley,Cleveland Indians®,
402,Adam Warren,New York Yankees®,
403,Luis Torrens,San Diego PadresTM,
404,Alex Claudio,Texas Rangers®,
405,T.J. Rivera,New York Mets®,
406,Kelvin Herrera,Kansas City Royals®,
407,Pat Neshek,Philadelphia Phillies®,
408,Mikie Mahtook,Detroit Tigers®,
409,Scott Kingery,Philadelphia Phillies®,Rookie
410,Felix Jorge,Minnesota Twins®,Rookie
411,David Price,Boston Red Sox®,
412,Mike Minor,Texas Rangers®,
413,Trevor Bauer,Cleveland Indians®,
414,Danny Valencia,Seattle MarinersTM,
415,Jace Peterson,New York Yankees®,
416,Derek Fisher,Houston Astros®,Future Stars
417,Yolmer Sanchez,Chicago White Sox®,
418,Jose Ramirez,Cleveland Indians®,
419,Fernando Rodney,Minnesota Twins®,
420,Alex Cobb,Baltimore Orioles®,
421,Lorenzo Cain,Milwaukee BrewersTM,
422,Victor Caratini,Chicago Cubs®,Rookie
423,Houston Astros®,Houston Astros®,Team Cards
424,Matt Wieters,Washington Nationals®,
425,Shelby Miller,Arizona Diamondbacks®,
426,Jacob Faria,Tampa Bay RaysTM,
427,Jordan Montgomery,New York Yankees®,
428,Jakob Junis,Kansas City Royals®,
429,Victor Martinez,Detroit Tigers®,
430,Manny Margot,San Diego PadresTM,Future Stars
431,Charlie Blackmon,Colorado RockiesTM,
432,Albert Almora,Chicago Cubs®,
433,Anthony Santander,Baltimore Orioles®,Rookie
434,Miguel Montero,Washington Nationals®,
435,Matt Holliday,New York Yankees®,
436,Yu Darvish,Chicago Cubs®,
437,J.J. Hardy,Baltimore Orioles®,
438,Stephen Vogt,Milwaukee BrewersTM,
439,Dustin Pedroia,Boston Red Sox®,
440,Troy Scribner,Angels®,Rookie
441,Danny Santana,Atlanta BravesTM,
442,Jesus Aguilar,Milwaukee BrewersTM,
443,Gerrit Cole,Houston Astros®,
444,Aaron Altherr,Philadelphia Phillies®,
445,Trevor Cahill,Kansas City Royals®,
446,Lucas Duda,Kansas City Royals®,
447,Carlos Gomez,Texas Rangers®,
448,Max Kepler,Minnesota Twins®,
449,DJ LeMahieu,Colorado RockiesTM,
450,Joey Votto,Cincinnati Reds®,
451,Ubaldo Jimenez,Baltimore Orioles®,
452,Tucker Barnhart,Cincinnati Reds®,
453,Devon Travis,Toronto Blue Jays®,
454,Kyle Seager,Seattle MarinersTM,
455,Hernan Perez,Milwaukee BrewersTM,
456,Jimmy Nelson,Milwaukee BrewersTM,
457,Hanley Ramirez,Boston Red Sox®,
458,Yovani Gallardo,Milwaukee BrewersTM,
459,Breyvic Valera,St. Louis Cardinals®,Rookie
460,Robert Gsellman,New York Mets®,
461,Michael Taylor,Washington Nationals®,
462,Paul DeJong,St. Louis Cardinals®,Future Stars
463,Cory Spangenberg,San Diego PadresTM,
464,Travis Jankowski,San Diego PadresTM,
465,San Diego PadresTM,San Diego PadresTM,Team Cards
466,Tim Locastro,Los Angeles Dodgers®,Rookie
467,Carlos Ramirez,Toronto Blue Jays®,Rookie
468,Tampa Bay RaysTM,Tampa Bay RaysTM,Team Cards
469,Sonny Gray,New York Yankees®,
470,Alex Mejia,St. Louis Cardinals®,Rookie
471,Josh Harrison,Pittsburgh Pirates®,
472,Matt Garza,Milwaukee BrewersTM,
473,Wilmer Difo,Washington Nationals®,
474,Jeff Mathis,Arizona Diamondbacks®,
475,Aroldis Chapman,New York Yankees®,
476,Wilson Ramos,Tampa Bay RaysTM,
477,Logan Morrison,Tampa Bay RaysTM,

478,Brad Miller,Tampa Bay RaysTM,
479,Daniel Descalso,Arizona Diamondbacks®,
480,Aaron Hicks,New York Yankees®,
481,Ronald Torreyes,New York Yankees®,
482,Delino DeShields,Texas Rangers®,
483,Drew Pomeranz,Boston Red Sox®,
484,Kenta Maeda,Los Angeles Dodgers®,
485,Kyle Farmer,Los Angeles Dodgers®,Rookie
486,Tomas Nido,New York Mets®,Rookie
487,Carl Edwards Jr.,Chicago Cubs®,
488,Joe Panik,San Francisco Giants®,
489,Blake Snell,Tampa Bay RaysTM,
490,Jarrod Dyson,Arizona Diamondbacks®,
491,Andrew Heaney,Angels®,
492,Jon Jay,Kansas City Royals®,
493,Kyle Gibson,Minnesota Twins®,
494,Adalberto Mejia,Minnesota Twins®,
495,Aaron Bummer,Chicago White Sox®,Rookie
496,Leury Garcia,Chicago White Sox®,
497,Chasen Shreve,New York Yankees®,
498,Jen-Ho Tseng,Chicago Cubs®,Rookie
499,Justin Bour,Miami Marlins®,
500,Kris Bryant,Chicago Cubs®,
501,Clayton Richard,San Diego PadresTM,
502,Xander Bogaerts,Boston Red Sox®,
503,Josh Donaldson,Toronto Blue Jays®,
504,Scott Schebler,Cincinnati Reds®,
505,Taylor Williams,Milwaukee BrewersTM,Rookie
506,Jose Berrios,Minnesota Twins®,
507,Zack Greinke,Arizona Diamondbacks®,
508,Ryon Healy,Seattle MarinersTM,
509,Santiago Casilla,Oakland AthleticsTM,
510,Freddie Freeman,Atlanta BravesTM,
511,Wade Davis,Colorado RockiesTM,
512,Mike Napoli,Texas Rangers®,
513,Mike Zunino,Seattle MarinersTM,
514,A.J. Minter,Atlanta BravesTM,Rookie
515,Greg Bird,New York Yankees®,
516,Ken Giles,Houston Astros®,
517,Phillip Evans,New York Mets®,Rookie
518,Andrew Toles,Los Angeles Dodgers®,
519,Reyes Moronta,San Francisco Giants®,Rookie
520,Jim Johnson,Angels®,
521,Jose Osuna,Pittsburgh Pirates®,
522,Guillermo Heredia,Seattle MarinersTM,
523,Matt Bush,Texas Rangers®,
524,Steve Pearce,Toronto Blue Jays®,
525,Johan Camargo,Atlanta BravesTM,
526,Tanner Roark,Washington Nationals®,
527,Francisco Cervelli,Pittsburgh Pirates®,
528,Marco Estrada,Toronto Blue Jays®,
529,Chicago Cubs®,Chicago Cubs®,Combo Cards
530,Jason Vargas,New York Mets®,
531,Chris O'Grady,Miami Marlins®,Rookie
532,Tim Beckham,Baltimore Orioles®,
533,Kennys Vargas,Minnesota Twins®,
534,German Marquez,Colorado RockiesTM,
535,Jhoulys Chacin,Milwaukee BrewersTM,
536,San Francisco Giants®,San Francisco Giants®,Team Cards
537,Phil Hughes,Minnesota Twins®,
538,Jason Castro,Minnesota Twins®,
539,Lance McCullers,Houston Astros®,
540,Mitch Garver,Minnesota Twins®,Rookie
541,Dwight Smith Jr.,Toronto Blue Jays®,
542,Pittsburgh Pirates®,Pittsburgh Pirates®,Team Cards
543,Luis Castillo,Cincinnati Reds®,
544,Yadier Molina,St. Louis Cardinals®,
545,Nicholas Castellanos,Detroit Tigers®,
