BASE SET,,,
US1,Shohei Ohtani,Los Angeles Angels,Rookie
US2,Joe Jimenez,Detroit Tigers®,
US3,Jordan Lyles,San Diego Padres,
US4,Jorge Alfaro,Philadelphia Phillies®,
US5,James Paxton,Seattle Mariners,Highlights/Checklist
US6,Jacob Nottingham,Milwaukee Brewers,Rookie
US7,Giancarlo Stanton,New York Yankees®,
US8,Manny Machado,Los Angeles Dodgers®,
US9,Nick Kingham,Pittsburgh Pirates®,Rookie Debut
US10,Ian Kinsler,Boston Red Sox®,
US11,Adam Engel,Chicago White Sox®,
US12,Miles Mikolas,St. Louis Cardinals®,Rookie
US13,P.J. Conlon,New York Mets®,Rookie Combos
US13,Corey Oswalt,New York Mets®,Rookie Combos
US14,Scott Kingery,Philadelphia Phillies®,Rookie Debut
US15,Kyle Barraclough,Miami Marlins®,
US16,Brad Boxberger,Arizona Diamondbacks®,
US17,Jason Vargas,New York Mets®,
US18,Michael Soroka,Atlanta Braves,Rookie Debut
US19,Billy McKinney,Toronto Blue Jays®,Rookie
US20,Jeurys Familia,Oakland Athletics,
US21,Kenley Jansen,Los Angeles Dodgers®,All-Star
US22,Tyler Chatwood,Chicago Cubs®,
US23,J.D. Martinez,Boston Red Sox®,All-Star
US24,Pablo Sandoval,San Francisco Giants®,
US25,Willy Adames,Tampa Bay Rays,Rookie Debut
US26,Felipe Vázquez,Pittsburgh Pirates®,
US27,Christian Yelich,Milwaukee Brewers,All-Star
US28,Alex Blandino,Cincinnati Reds®,Rookie Combos
US28,Brandon Dixon,Cincinnati Reds®,Rookie Combos
US29,David Hess,Baltimore Orioles®,Rookie Combos
US29,Pedro Araujo,Baltimore Orioles®,Rookie Combos
US30,Jon Lester,Chicago Cubs®,All-Star
US31,Jose Ramirez,Cleveland Indians®,All-Star
US32,Cole Hamels,Chicago Cubs®,
US33,Reynaldo Lopez,Chicago White Sox®,
US34,Austin Meadows,Tampa Bay Rays,Rookie
US35,Dan Otero,Cleveland Indians®,
US36,Mike Gerber,Detroit Tigers®,Rookie Combos
US36,Grayson Greiner,Detroit Tigers®,Rookie Combos
US37,Javier Baez,Chicago Cubs®,HR Derby
US38,Jose Berrios,Minnesota Twins®,All-Star
US39,Freddy Peralta,Milwaukee Brewers,Rookie
US40,Jacob Barnes,Milwaukee Brewers,Rookie
US41,Pedro Strop,Chicago Cubs®,
US42,Teoscar Hernandez,Toronto Blue Jays®,
US43,Atlanta Braves,Atlanta Braves,Veteran Combos
US44,Freddie Freeman,Atlanta Braves,All-Star
US45,Bartolo Colon,Texas Rangers®,
US46,Carlos Gomez,Tampa Bay Rays,
US47,Jake Odorizzi,Minnesota Twins®,
US48,Nick Markakis,Atlanta Braves,All-Star
US49,Eugenio Suarez,Cincinnati Reds®,All-Star
US50,Andrew Cashner,Baltimore Orioles®,
US51,Nathan Eovaldi,Boston Red Sox®,
US52,Michael Hermosillo,Los Angeles Angels,Rookie Combos
US52,Justin Anderson,Los Angeles Angels,Rookie Combos
US53,Seung Hwan Oh,Colorado Rockies,
US54,Denard Span,Seattle Mariners,

US55,Mike Moustakas,Milwaukee Brewers,
US56,Trevor Oaks,Kansas City Royals®,Rookie Combos
US56,Eric Stout,Kansas City Royals®,Rookie Combos
US57,Ryder Jones,San Francisco Giants®,Rookie
US58,Jordan Hicks,St. Louis Cardinals®,Rookie
US59,Kyle Schwarber,Chicago Cubs®,HR Derby
US60,Yadier Molina,St. Louis Cardinals®,All-Star
US61,Mike Tauchman,Colorado Rockies,Rookie
US62,Mark Reynolds,Washington Nationals®,
US63,Corey Dickerson,Pittsburgh Pirates®,
US64,Mookie Betts,Boston Red Sox®,All-Star
US65,Milwaukee Brewers,Milwaukee Brewers,Veteran Combos
US66,J.A. Happ,Toronto Blue Jays®,All-Star
US67,Alex Bregman,Houston Astros®,All-Star
US68,Michael Soroka,Atlanta Braves,Rookie
US69,Boston Red Sox®,Boston Red Sox®,Veteran Combos
US70,Brad Hand,San Diego Padres,All-Star
US71,Logan Morrison,Minnesota Twins®,
US72,Mike Foltynewicz,Atlanta Braves,All-Star
US73,Marcell Ozuna,St. Louis Cardinals®,
US74,Joey Votto,Cincinnati Reds®,All-Star
US75,J.A. Happ,New York Yankees®,
US76,Salvador Perez,Kansas City Royals®,All-Star
US77,Merandy Gonzalez,Miami Marlins®,Rookie Combos
US77,Elieser Hernandez,Miami Marlins®,Rookie Combos
US78,Luis Severino,New York Yankees®,All-Star
US79,American LeagueTM,American LeagueTM,Veteran Combos
US80,Jonathan Villar,Baltimore Orioles®,
US81,Sean Doolittle,Washington Nationals®,All-Star
US82,Eric Lauer,San Diego Padres,Rookie
US83,Andrew McCutchen,San Francisco Giants®,
US84,Jack Reinheimer,Arizona Diamondbacks®,Rookie
US85,Josh Hader,Milwaukee Brewers,All-Star
US86,Randal Grichuk,Toronto Blue Jays®,
US87,Cincinnati Reds®,Cincinnati Reds®,Veteran Combos
US88,Daniel Mengden,Oakland Athletics,Rookie
US89,Justin Verlander,Houston Astros®,Highlights/Checklist
US90,Ryan Yarbrough,Tampa Bay Rays,Rookie
US91,Zack Littell,Minnesota Twins®,Rookie
US92,Jeremy Hellickson,Washington Nationals®,
US93,Daniel Winkler,Atlanta Braves,
US94,Willson Contreras,Chicago Cubs®,All-Star
US95,Dustin Fowler,Oakland Athletics,Rookie
US96,Tyler Clippard,Toronto Blue Jays®,
US97,Charlie Blackmon,Colorado Rockies,All-Star
US98,Edwin Diaz,Seattle Mariners,All-Star
US99,Gleyber Torres,New York Yankees®,All-Star
US100,Ichiro,Seattle Mariners,
US101,Chris Sale,Boston Red Sox®,All-Star
US102,Albert Pujols,Los Angeles Angels,Highlights/Checklist
US103,Gerson Bautista,New York Mets®,Rookie Combos
US103,Luis Guillorme,New York Mets®,Rookie Combos
US104,Juan Soto,Washington Nationals®,Rookie Debut
US105,Ronald Guzman,Texas Rangers®,Rookie
US106,Jesmuel Valentin,Philadelphia Phillies®,Rookie Combos
US106,Mitch Walding,Philadelphia Phillies®,Rookie Combos
US107,Craig Kimbrel,Boston Red Sox®,All-Star
US108,Sean Rodriguez,Pittsburgh Pirates®,
US109,Patrick Corbin,Arizona Diamondbacks®,All-Star
US110,Lourdes Gurriel Jr.,Toronto Blue Jays®,Rookie
US111,Jean Segura,Seattle Mariners,All-Star
US112,J.T. Realmuto,Miami Marlins®,All-Star

US113,Jesus Aguilar,Milwaukee Brewers,All-Star
US114,Ildemaro Vargas,Arizona Diamondbacks®,Rookie
US115,Eric Hosmer,San Diego Padres,
US116,Asdrubal Cabrera,Philadelphia Phillies®,
US117,Kyle Martin,Boston Red Sox®,Rookie
US118,Evan Longoria,San Francisco Giants®,
US119,Javier Baez,Chicago Cubs®,All-Star
US120,Joey Wendle,Tampa Bay Rays,Rookie
US121,George Springer,Houston Astros®,All-Star
US122,Jesus Aguilar,Milwaukee Brewers,HR Derby
US123,Wade LeBlanc,Seattle Mariners,
