Card Set,Number,Player,Team,
Base,BD-1,Casey Mize,Detroit Tigers,
Base,BD-2,Matt Vierling,Philadelphia Phillies,
Base,BD-3,Brusdar Graterol,Minnesota Twins,
Base,BD-4,Lawrence Butler,Oakland Athletics,
Base,BD-5,Terrin Vavra,Colorado Rockies,
Base,BD-6,Jarred Kelenic,New York Mets,
Base,BD-7,Yusniel Diaz,Baltimore Orioles,
Base,BD-8,Lenny Torres,Cleveland Indians,
Base,BD-9,Shane McClanahan,Tampa Bay Rays,
Base,BD-10,Blayne Enlow,Minnesota Twins,
Base,BD-11,Brice Turang,Milwaukee Brewers,
Base,BD-12,Tim Cate,Washington Nationals,
Base,BD-13,Pedro Avila,San Diego Padres,
Base,BD-14,Kyle Isbel,Kansas City Royals,
Base,BD-15,Devin Mann,Los Angeles Dodgers,
Base,BD-16,Jazz Chisholm,Arizona Diamondbacks,
Base,BD-17,Luis Medina,New York Yankees,
Base,BD-18,Adrian Morejon,San Diego Padres,
Base,BD-19,Arbert Cipion,Milwaukee Brewers,
Base,BD-20,Trevor Stephan,New York Yankees,
Base,BD-21,Drew Ellis,Arizona Diamondbacks,
Base,BD-22,Taylor Trammell,Cincinnati Reds,
Base,BD-23,Jayson Schroeder,Houston Astros,
Base,BD-24,Joe Jacques,Pittsburgh Pirates,
Base,BD-25,Alec Bohm,Philadelphia Phillies,
Base,BD-26,Beau Burrows,Detroit Tigers,
Base,BD-27,Jonathan Stiever,Chicago White Sox,
Base,BD-28,Parker Meadows,Detroit Tigers,
Base,BD-29,Jonathan Ornelas,Arizona Diamondbacks,
Base,BD-30,Matthew Liberatore,Tampa Bay Rays,
Base,BD-31,Greyson Jenista,Atlanta Braves,
Base,BD-32,Bo Bichette,Toronto Blue Jays,
Base,BD-33,Durbin Feltman,Boston Red Sox,
Base,BD-34,Nick Sandlin,Cleveland Indians,
Base,BD-35,Jahmai Jones,Los Angeles Angels,
Base,BD-36,Brandon Marsh,Los Angeles Angels,
Base,BD-37,Lency Delgado,Chicago White Sox,
Base,BD-38,Nick Madrigal,Chicago White Sox,
Base,BD-39,Kris Bubic,Kansas City Royals,
Base,BD-40,Oneil Cruz,Pittsburgh Pirates,
Base,BD-41,Alex Faedo,Detroit Tigers,
Base,BD-42,Thomas Ponticelli,Cleveland Indians,
Base,BD-43,Bryan Lavastida,Cleveland Indians,
Base,BD-44,Nick Schnell,Tampa Bay Rays,
Base,BD-45,Cal Mitchell,Pittsburgh Pirates,
Base,BD-46,Nick Solak,Tampa Bay Rays,
Base,BD-47,Brennen Davis,Chicago Cubs,
Base,BD-48,Ethan Hankins,Cleveland Indians,
Base,BD-49,Keston Hiura,Milwaukee Brewers,
Base,BD-50,Ke'Bryan Hayes,Pittsburgh Pirates,
Base,BD-51,Jeremiah Jackson,Los Angeles Angels,
Base,BD-52,LoLo Sanchez,Pittsburgh Pirates,
Base,BD-53,Gregory Soto,Detroit Tigers,
Base,BD-54,Nicky Lopez,Kansas City Royals,
Base,BD-55,Jake Wong,San Francisco Giants,
Base,BD-56,Jordan Groshans,Toronto Blue Jays,
Base,BD-57,Josh Breaux,New York Yankees,
Base,BD-58,Hunter Greene,Cincinnati Reds,
Base,BD-59,Dylan Cease,Chicago White Sox,
Base,BD-60,Carlos Cortes,New York Mets,
Base,BD-61,Korry Howell,Milwaukee Brewers,
Base,BD-62,Joey Wentz,Atlanta Braves,
Base,BD-63,Logan Gilbert,Seattle Mariners,
Base,BD-64,Ryan Rolison,Colorado Rockies,
Base,BD-65,Anthony Seigler,New York Yankees,
Base,BD-66,Jorge Guzman,Miami Marlins,
Base,BD-67,Mark Vientos,New York Mets,
Base,BD-68,Chris Paddack,San Diego Padres,
Base,BD-69,Kole Cottam,Boston Red Sox,
Base,BD-70,Trevor Larnach,Minnesota Twins,
Base,BD-71,Monte Harrison,Miami Marlins,
Base,BD-72,Aramis Ademan,Chicago Cubs,
Base,BD-73,Grayson Rodriguez,Baltimore Orioles,
Base,BD-74,Nick Gordon,Minnesota Twins,
Base,BD-75,Sixto Sanchez,Philadelphia Phillies,
Base,BD-76,Joe Gray,Milwaukee Brewers,
Base,BD-77,Drevian Williams-Nelson,Los Angeles Angels,
Base,BD-78,Tanner Dodson,Tampa Bay Rays,
Base,BD-79,Ryan Vilade,Colorado Rockies,
Base,BD-80,Blake Rivera,San Francisco Giants,
Base,BD-81,Adam Haseley,Philadelphia Phillies,
Base,BD-82,Braydon Fisher,Los Angeles Dodgers,
Base,BD-83,Kevon Jackson,Kansas City Royals,
Base,BD-84,Ryder Green,New York Yankees,
Base,BD-85,Jawuan Harris,San Diego Padres,
Base,BD-86,Mitch Keller,Pittsburgh Pirates,
Base,BD-87,Royce Lewis,Minnesota Twins,
Base,BD-88,Jordyn Adams,Los Angeles Angels,
Base,BD-89,Korey Holland,Cleveland Indians,
Base,BD-90,Thad Ward,Boston Red Sox,
Base,BD-91,Sean Murphy,Oakland Athletics,
Base,BD-92,Calvin Coker,Oakland Athletics,
Base,BD-93,Carter Kieboom,Washington Nationals,
Base,BD-94,Jake McCarthy,Arizona Diamondbacks,
Base,BD-95,Braxton Ashcraft,Pittsburgh Pirates,
Base,BD-96,Colton Eastman,Philadelphia Phillies,
Base,BD-97,Mitchell White,Los Angeles Dodgers,
Base,BD-98,Nick Pratto,Kansas City Royals,
Base,BD-99,Alex McKenna,Houston Astros,
Base,BD-100,Brendan McKay,Tampa Bay Rays,
Base,BD-101,Mike Shawaryn,Boston Red Sox,
Base,BD-102,Levi Kelly,Arizona Diamondbacks,
Base,BD-103,Osiris Johnson,Miami Marlins,
Base,BD-104,Justin Jarvis,Milwaukee Brewers,
Base,BD-105,Ford Proctor,Tampa Bay Rays,
Base,BD-106,Ezequiel Pagan,Chicago Cubs,
Base,BD-107,Jo Adell,Los Angeles Angels,
Base,BD-108,Jon Duplantier,Arizona Diamondbacks,
Base,BD-109,Luken Baker,St. Louis Cardinals,
Base,BD-110,Grant Little,San Diego Padres,
Base,BD-111,Micah Bello,Milwaukee Brewers,
Base,BD-112,Jonathan India,Cincinnati Reds,
Base,BD-113,Will Banfield,Miami Marlins,
Base,BD-114,Keibert Ruiz,Los Angeles Dodgers,
Base,BD-115,Grant Koch,Pittsburgh Pirates,
Base,BD-116,Jeren Kendall,Los Angeles Dodgers,
Base,BD-117,Nolan Gorman,St. Louis Cardinals,
Base,BD-118,Nate Pearson,Toronto Blue Jays,
Base,BD-119,Corbin Martin,Houston Astros,
Base,BD-120,Shed Long,Cincinnati Reds,
Base,BD-121,Kody Clemens,Detroit Tigers,
Base,BD-122,Josh Naylor,San Diego Padres,
Base,BD-123,Sheldon Neuse,Oakland Athletics,
Base,BD-124,Nick Decker,Boston Red Sox,
Base,BD-125,Cole Roederer,Chicago Cubs,
Base,BD-126,Albert Abreu,New York Yankees,
Base,BD-127,Dallas Woolfolk,Oakland Athletics,
Base,BD-128,Adonis Medina,Philadelphia Phillies,
Base,BD-129,Tristan Pompey,Miami Marlins,
Base,BD-130,Michel Baez,San Diego Padres,
Base,BD-131,Pavin Smith,Arizona Diamondbacks,
Base,BD-132,Brian Miller,Miami Marlins,
Base,BD-133,Heliot Ramos,San Francisco Giants,
Base,BD-134,Cadyn Grenier,Baltimore Orioles,
Base,BD-135,Brady Singer,Kansas City Royals,
Base,BD-136,Andres Gimenez,New York Mets,
Base,BD-137,Griffin Roberts,St. Louis Cardinals,
Base,BD-138,Greg Deichmann,Oakland Athletics,
Base,BD-139,Sean Hjelle,San Francisco Giants,
Base,BD-140,Kenen Irizarry,Texas Rangers,
Base,BD-141,Alfonso Rivas,Oakland Athletics,
Base,BD-142,Daniel Lynch,Kansas City Royals,
Base,BD-143,Matt Mercer,Arizona Diamondbacks,
Base,BD-144,Sean Guilbe,San Diego Padres,
Base,BD-145,Matt Manning,Detroit Tigers,
Base,BD-146,Alec Hansen,Chicago White Sox,
Base,BD-147,Jackson Goddard,Arizona Diamondbacks,
Base,BD-148,Jesus Luzardo,Oakland Athletics,
Base,BD-149,Nick Dunn,St. Louis Cardinals,
Base,BD-150,MacKenzie Gore,San Diego Padres,
Base,BD-151,Jeter Downs,Cincinnati Reds,
Base,BD-152,Grant Witherspoon,Tampa Bay Rays,
Base,BD-153,Griffin Conine,Toronto Blue Jays,
Base,BD-154,Adam Hill,New York Mets,
Base,BD-155,Alek Thomas,Arizona Diamondbacks,
Base,BD-156,Tyler Frank,Tampa Bay Rays,
Base,BD-157,Sean Wymer,Toronto Blue Jays,
Base,BD-158,Connor Scott,Miami Marlins,
Base,BD-159,Owen White,Texas Rangers,
Base,BD-160,Jameson Hannah,Oakland Athletics,
Base,BD-161,Mike Siani,Cincinnati Reds,
Base,BD-162,Triston McKenzie,Cleveland Indians,
Base,BD-163,Bobby Bradley,Cleveland Indians,
Base,BD-164,Mason Denaburg,Washington Nationals,
Base,BD-165,Nico Hoerner,Chicago Cubs,
Base,BD-166,Matt Thaiss,Los Angeles Angels,
Base,BD-167,Ryan Mountcastle,Baltimore Orioles,
Base,BD-168,Eloy Jimenez,Chicago White Sox,
Base,BD-169,Logan Allen,San Diego Padres,
Base,BD-170,Dane Dunning,Chicago White Sox,
Base,BD-171,Triston Casas,Boston Red Sox,
Base,BD-172,Bryan Mata,Boston Red Sox,
Base,BD-173,Cole Winn,Texas Rangers,
Base,BD-174,Leury Tejada,Texas Rangers,
Base,BD-175,Sam Carlson,Seattle Mariners,
Base,BD-176,Raynel Delgado,Cleveland Indians,
Base,BD-177,Leody Taveras,Texas Rangers,
Base,BD-178,Justin Dunn,New York Mets,
Base,BD-179,Jeremy Eierman,Oakland Athletics,
Base,BD-180,Jesus Sanchez,Tampa Bay Rays,
Base,BD-181,Simeon Woods-Richardson,New York Mets,,
Base,BD-182,Ryan Weathers,San Diego Padres,
Base,BD-183,Ian Anderson,Atlanta Braves,
Base,BD-184,Matt Sauer,New York Yankees,
Base,BD-185,Adam Wolf,Detroit Tigers,
Base,BD-186,Grant Lavigne,Colorado Rockies,
Base,BD-187,Estevan Florial,New York Yankees,
Base,BD-188,Luis Robert,Chicago White Sox,
Base,BD-189,J.B. Bukauskas,Houston Astros,
Base,BD-190,Josh Stowers,Seattle Mariners,
Base,BD-191,Brent Rooker,Minnesota Twins,
Base,BD-192,Ryan Jeffers,Minnesota Twins,
Base,BD-193,Noah Naylor,Cleveland Indians,
Base,BD-194,Cody Deason,Houston Astros,
Base,BD-195,Cal Quantrill,San Diego Padres,
Base,BD-196,Jackson Kowar,Kansas City Royals,
Base,BD-197,Griffin Canning,Los Angeles Angels,
Base,BD-198,Travis Swaggerty,Pittsburgh Pirates,
Base,BD-199,Alex Kiriloff,Minnesota Twins,
Base,BD-200,Lazaro Armenteros,Oakland Athletics,
Chrome,BDC-1,Casey Mize,Detroit Tigers,
Chrome,BDC-2,Matt Vierling,Philadelphia Phillies,
Chrome,BDC-3,Brusdar Graterol,Minnesota Twins,
Chrome,BDC-4,Lawrence Butler,Oakland Athletics,
Chrome,BDC-5,Terrin Vavra,Colorado Rockies,
Chrome,BDC-6,Jarred Kelenic,New York Mets,
Chrome,BDC-7,Yusniel Diaz,Baltimore Orioles,
Chrome,BDC-8,Lenny Torres,Cleveland Indians,
Chrome,BDC-9,Shane McClanahan,Tampa Bay Rays,
Chrome,BDC-10,Blayne Enlow,Minnesota Twins,
Chrome,BDC-11,Brice Turang,Milwaukee Brewers,
Chrome,BDC-12,Tim Cate,Washington Nationals,
Chrome,BDC-13,Pedro Avila,San Diego Padres,
Chrome,BDC-14,Kyle Isbel,Kansas City Royals,
Chrome,BDC-15,Devin Mann,Los Angeles Dodgers,
Chrome,BDC-16,Jazz Chisholm,Arizona Diamondbacks,
