Card Family,Parallel,Seq.
Base,Purple,
Base,Rainbow Foil,
Base,Gold,2018
Base,Negative,
Base,Vintage Stock,99
Base,Independence Day,76
Base,Black,67
Base,Mother's Day Pink,50
Base,Father's Day Blue,50
Base,Memorial Day Camo,25
Base,Platinum,1
Base,Printing Plates Black,1
Base,Printing Plates Cyan,1
Base,Printing Plates Magenta,1
Base,Printing Plates Yellow,1
Base Clear Variation,Base,10
1983 Topps Baseball,Blue,
1983 Topps Baseball,Black,299
1983 Topps Baseball,Gold,50
1983 Topps Baseball,Red,10
1983 Topps Baseball,Platinum,1
1983 Topps Baseball Autographs,Black,99
1983 Topps Baseball Autographs,Gold,50
1983 Topps Baseball Autographs,Red,25
1983 Topps Baseball Autographs,Platinum,1
Cut Signatures,Base,1
Derek Jeter Highlights,Blue,
Derek Jeter Highlights,Black,
Derek Jeter Highlights,Gold,50
Derek Jeter Highlights,Red,10
Derek Jeter Highlights,Platinum,1
In the Name Relics,Base,1
Kris Bryant Highlights,Blue,
Kris Bryant Highlights,Black,
Kris Bryant Highlights,Gold,50
Kris Bryant Highlights,Red,10
Kris Bryant Highlights,Platinum,1
Legends in the Making,Blue,
Legends in the Making,Black,
Legends in the Making,Gold,50
Legends in the Making,Red,10
Legends in the Making,Platinum,1
Major League Material Relics,Black,99
Major League Material Relics,Gold,50
Major League Material Relics,Red,25
Major League Material Relics,Platinum,1
Major League Material Autographs,Red,25
Major League Material Autographs,Platinum,1
MLB All-Star Game Manufactured Medallion Relics,Black,99
MLB All-Star Game Manufactured Medallion Relics,Gold,50
MLB All-Star Game Manufactured Medallion Relics,Red,25
MLB All-Star Game Manufactured Medallion Relics,Platinum,1
MLB Awards,Blue,
MLB Awards,Black,299
MLB Awards,Gold,50
MLB Awards,Red,10
MLB Awards,Platinum,1
MLB Opening Day,Blue,
MLB Opening Day,Black,
MLB Opening Day,Gold,50
MLB Opening Day,Red,10
MLB Opening Day,Platinum,1
MLB Players Weekend Patch,Blue,99
MLB Players Weekend Patch,Gold,50
MLB Players Weekend Patch,Red,25
MLB Players Weekend Patch,Platinum,1
MLB Spring Training Logo Manufactured Patch Relics,Blue,99
MLB Spring Training Logo Manufactured Patch Relics,Gold,50
MLB Spring Training Logo Manufactured Patch Relics,Red,25
MLB Spring Training Logo Manufactured Patch Relics,Platinum,1
Postseason Performance Autographs,Red,25
Postseason Performance Autographs,Platinum,1
Postseason Performance Relics,Red,25
Postseason Performance Relics,Platinum,1
Postseason Performance Autograph Relics,Red,25
Postseason Performance Autograph Relics,Platinum,1
Superstar Sensations,Blue,
Superstar Sensations,Black,299
Superstar Sensations,Gold,50
Superstar Sensations,Red,10
Superstar Sensations,Platinum,1
Topps Reverence Autograph Patch Relics,Gold,5
Topps Reverence Autograph Patch Relics,Platinum,1
Topps Salute,Blue,
Topps Salute,Black,299
Topps Salute,Gold,50
Topps Salute,Red,10
Topps Salute,Platinum,1
Topps Salute Autographs,Red,25
Topps Salute Autographs,Platinum,1
World Series Champion Autographs,Red,25
World Series Champion Autographs,Platinum,1
World Series Champion Relics,Red,25
World Series Champion Relics,Platinum,1
World Series Champion Autograph Relics,Red,25
World Series Champion Autograph Relics,Platinum,1
Sketch Cards,Base,1
