Card Set,Number,Player,Team
Base Short Print Variations,1,Aaron Judge,New York Yankees,
Base Short Print Variations,6,Dominic Smith,New York Mets,
Base Short Print Variations,7,Clint Frazier,New York Yankees,
Base Short Print Variations,10,Francisco Lindor,Cleveland Indians,
Base Short Print Variations,11,Aaron Nola,Philadelphia Phillies,
Base Short Print Variations,18,Rafael Devers,Boston Red Sox,
Base Short Print Variations,20,Chris Sale,Boston Red Sox,
Base Short Print Variations,25,Manny Machado,Baltimore Orioles,
Base Short Print Variations,30,Carlos Correa,Houston Astros,
Base Short Print Variations,33,Dexter Fowler,St. Louis Cardinals,
Base Short Print Variations,42,Cody Bellinger,Los Angeles Dodgers,
Base Short Print Variations,44,Trea Turner,Washington Nationals,
Base Short Print Variations,50,Anthony Rizzo,Chicago Cubs,
Base Short Print Variations,58,Ryan Zimmerman,Washington Nationals,
Base Short Print Variations,63,Amed Rosario,New York Mets,
Base Short Print Variations,68,Billy Hamilton,Cincinnati Reds,
Base Short Print Variations,81,Adam Wainwright,St. Louis Cardinals,
Base Short Print Variations,82,Justin Smoak,Toronto Blue Jays,
Base Short Print Variations,86,Eric Hosmer,Kansas City Royals,
Base Short Print Variations,88,Michael Conforto,New York Mets,
Base Short Print Variations,89,Yasiel Puig,Los Angeles Dodgers,
Base Short Print Variations,90,Miguel Cabrera,Detroit Tigers,
Base Short Print Variations,100,Giancarlo Stanton,Miami Marlins,
Base Short Print Variations,102,Wil Myers,San Diego Padres,
Base Short Print Variations,105,Daniel Murphy,Washington Nationals,
Base Short Print Variations,110,Carlos Gonzalez,Colorado Rockies,
Base Short Print Variations,118,Ian Happ,Chicago Cubs,
Base Short Print Variations,125,Yoenis Cespedes,New York Mets,
Base Short Print Variations,127,Byron Buxton,Minnesota Twins,
Base Short Print Variations,130,Brian Dozier,Minnesota Twins,
Base Short Print Variations,132,Marcell Ozuna,Miami Marlins,
Base Short Print Variations,140,Mookie Betts,Boston Red Sox,
Base Short Print Variations,142,Adam Jones,Baltimore Orioles,
Base Short Print Variations,150,Nolan Arenado,Colorado Rockies,
Base Short Print Variations,157,Ichiro,Miami Marlins,
Base Short Print Variations,160,Masahiro Tanaka,New York Yankees,
Base Short Print Variations,166,Victor Robles,Washington Nationals,
Base Short Print Variations,172,Willson Contreras,Chicago Cubs,
Base Short Print Variations,173,Mike Moustakas,Kansas City Royals,
Base Short Print Variations,180,Ryan Braun,Milwaukee Brewers,
Base Short Print Variations,182,Alex Bregman,Houston Astros,
Base Short Print Variations,190,Justin Upton,Los Angeles Angels,
Base Short Print Variations,191,Chris Archer,Tampa Bay Rays,
Base Short Print Variations,196,Orlando Arcia,Milwaukee Brewers,
Base Short Print Variations,200,Andrew McCutchen,Pittsburgh Pirates,
Base Short Print Variations,220,Nelson Cruz,Seattle Mariners,
Base Short Print Variations,223,Evan Longoria,Tampa Bay Rays,
Base Short Print Variations,225,Kyle Schwarber,Chicago Cubs,
Base Short Print Variations,226,Nick Williams,Philadelphia Phillies,
Base Short Print Variations,233,Stephen Strasburg,Washington Nationals,
Base Short Print Variations,238,Jose Bautista,Toronto Blue Jays,
Base Short Print Variations,240,Robinson Cano,Seattle Mariners,
Base Short Print Variations,245,Willie Calhoun,Texas Rangers,
Base Short Print Variations,248,Jake Lamb,Arizona Diamondbacks,
Base Short Print Variations,250,Buster Posey,San Francisco Giants,
Base Short Print Variations,254,Adrian Beltre,Texas Rangers,
Base Short Print Variations,257,J.D. Martinez,Arizona Diamondbacks,
Base Short Print Variations,259,Rhys Hoskins,Philadelphia Phillies,
