Card Set,Number,Player,Team,Seq.
1981 Contenders Tribute Autographs,1,Luka Doncic,Dallas Mavericks,10
1981 Contenders Tribute Autographs,2,Trae Young,Atlanta Hawks,10
1981 Contenders Tribute Autographs,3,Deandre Ayton,Phoenix Suns,10
1981 Contenders Tribute Autographs,4,Marvin Bagley III,Sacramento Kings,10
1981 Contenders Tribute Autographs,5,Jaren Jackson Jr.,Memphis Grizzlies,10
1981 Contenders Tribute Autographs Gold Vinyl,1,Luka Doncic,Dallas Mavericks,1
1981 Contenders Tribute Autographs Gold Vinyl,2,Trae Young,Atlanta Hawks,1
1981 Contenders Tribute Autographs Gold Vinyl,3,Deandre Ayton,Phoenix Suns,1
1981 Contenders Tribute Autographs Gold Vinyl,4,Marvin Bagley III,Sacramento Kings,1
1981 Contenders Tribute Autographs Gold Vinyl,5,Jaren Jackson Jr.,Memphis Grizzlies,1
1998 Contenders Tribute Autographs,1,Vince Carter,Toronto Raptors,10
1998 Contenders Tribute Autographs,2,Dirk Nowitzki,Dallas Mavericks,10
1998 Contenders Tribute Autographs,3,Paul Pierce,Boston Celtics,10
1998 Contenders Tribute Autographs Gold Vinyl,1,Vince Carter,Toronto Raptors,1
1998 Contenders Tribute Autographs Gold Vinyl,2,Dirk Nowitzki,Dallas Mavericks,1
1998 Contenders Tribute Autographs Gold Vinyl,3,Paul Pierce,Boston Celtics,1
2003 Contenders Tribute Autographs,1,Dwyane Wade,Miami Heat,10
2003 Contenders Tribute Autographs Gold Vinyl,1,Dwyane Wade,Miami Heat,1
2007 Contenders Tribute Autographs,1,Kevin Durant,Seattle Supersonics,10
2007 Contenders Tribute Autographs Gold Vinyl,1,Kevin Durant,Seattle Supersonics,1
Class Acts,1,Jayson Tatum,Boston Celtics,
Class Acts,2,Steve Nash,Phoenix Suns,
Class Acts,3,Deandre Ayton,Phoenix Suns,
Class Acts,4,LeBron James,Cleveland Cavaliers,
Class Acts,5,Kevin Durant,Seattle Supersonics,
Class Acts,6,Gary Payton,Seattle Supersonics,
Class Acts,7,Blake Griffin,Los Angeles Clippers,
Class Acts,8,Anfernee Hardaway,Orlando Magic,
Class Acts,9,Anthony Davis,New Orleans Hornets,
Class Acts,10,Grant Hill,Detroit Pistons,
Class Acts,11,Donovan Mitchell,Utah Jazz,
Class Acts,12,Tracy McGrady,Toronto Raptors,
Class Acts,13,Luka Doncic,Dallas Mavericks,
Class Acts,14,Dwyane Wade,Miami Heat,
Class Acts,15,James Harden,Oklahoma City Thunder,
Class Acts,16,Shaquille O'Neal ,Orlando Magic,
Class Acts,17,DeMar DeRozan,Toronto Raptors,
Class Acts,18,Jason Kidd,Dallas Mavericks,
Class Acts,19,Giannis Antetokounmpo,Milwaukee Bucks,
Class Acts,20,Allen Iverson,Philadelphia 76ers,
Class Acts,21,Lonzo Ball,Los Angeles Lakers,
Class Acts,22,Tim Duncan,San Antonio Spurs,
Class Acts,23,Trae Young,Atlanta Hawks,
Class Acts,24,Chris Paul,New Orleans Hornets,
Class Acts,25,Stephen Curry,Golden State Warriors,
Class Acts,26,Larry Johnson,Charlotte Hornets,
Class Acts,27,Kyrie Irving,Cleveland Cavaliers,
Class Acts,28,Jalen Rose,Denver Nuggets,
Class Acts Blue Cracked Ice,1,Jayson Tatum,Boston Celtics,
Class Acts Blue Cracked Ice,2,Steve Nash,Phoenix Suns,
Class Acts Blue Cracked Ice,3,Deandre Ayton,Phoenix Suns,
Class Acts Blue Cracked Ice,4,LeBron James,Cleveland Cavaliers,
Class Acts Blue Cracked Ice,5,Kevin Durant,Seattle Supersonics,
Class Acts Blue Cracked Ice,6,Gary Payton,Seattle Supersonics,
Class Acts Blue Cracked Ice,7,Blake Griffin,Los Angeles Clippers,
Class Acts Blue Cracked Ice,8,Anfernee Hardaway,Orlando Magic,
Class Acts Blue Cracked Ice,9,Anthony Davis,New Orleans Hornets,
Class Acts Blue Cracked Ice,10,Grant Hill,Detroit Pistons,
Class Acts Blue Cracked Ice,11,Donovan Mitchell,Utah Jazz,
Class Acts Blue Cracked Ice,12,Tracy McGrady,Toronto Raptors,
Class Acts Blue Cracked Ice,13,Luka Doncic,Dallas Mavericks,
Class Acts Blue Cracked Ice,14,Dwyane Wade,Miami Heat,
Class Acts Blue Cracked Ice,15,James Harden,Oklahoma City Thunder,
Class Acts Blue Cracked Ice,16,Shaquille O'Neal ,Orlando Magic,
Class Acts Blue Cracked Ice,17,DeMar DeRozan,Toronto Raptors,
Class Acts Blue Cracked Ice,18,Jason Kidd,Dallas Mavericks,
Class Acts Blue Cracked Ice,19,Giannis Antetokounmpo,Milwaukee Bucks,
Class Acts Blue Cracked Ice,20,Allen Iverson,Philadelphia 76ers,
Class Acts Blue Cracked Ice,21,Lonzo Ball,Los Angeles Lakers,
Class Acts Blue Cracked Ice,22,Tim Duncan,San Antonio Spurs,
Class Acts Blue Cracked Ice,23,Trae Young,Atlanta Hawks,
Class Acts Blue Cracked Ice,24,Chris Paul,New Orleans Hornets,
Class Acts Blue Cracked Ice,25,Stephen Curry,Golden State Warriors,
Class Acts Blue Cracked Ice,26,Larry Johnson,Charlotte Hornets,
Class Acts Blue Cracked Ice,27,Kyrie Irving,Cleveland Cavaliers,
Class Acts Blue Cracked Ice,28,Jalen Rose,Denver Nuggets,
Class Acts Gold,1,Jayson Tatum,Boston Celtics,10
Class Acts Gold,2,Steve Nash,Phoenix Suns,10
Class Acts Gold,3,Deandre Ayton,Phoenix Suns,10
Class Acts Gold,4,LeBron James,Cleveland Cavaliers,10
Class Acts Gold,5,Kevin Durant,Seattle Supersonics,10
Class Acts Gold,6,Gary Payton,Seattle Supersonics,10
