Card Set,Number,Player,Team,Seq.
All Clear for Takeoff,1,LeBron James,Los Angeles Lakers,
All Clear for Takeoff,2,Victor Oladipo,Indiana Pacers,
All Clear for Takeoff,3,Dominique Wilkins,Atlanta Hawks,
All Clear for Takeoff,4,Larry Nance Jr.,Cleveland Cavaliers,
All Clear for Takeoff,5,Zach LaVine,Chicago Bulls,
All Clear for Takeoff,6,Russell Westbrook,Oklahoma City Thunder,
All Clear for Takeoff,7,Spud Webb,Atlanta Hawks,
All Clear for Takeoff,8,Dwight Howard,Washington Wizards,
All Clear for Takeoff,9,Shawn Kemp,Seattle Supersonics,
All Clear for Takeoff,10,Tracy McGrady,Toronto Raptors,
All Clear for Takeoff,11,Blake Griffin,Detroit Pistons,
All Clear for Takeoff,12,Donovan Mitchell,Utah Jazz,
All Clear for Takeoff,13,Julius Erving,Philadelphia 76ers,
All Clear for Takeoff,14,Dennis Smith Jr.,Dallas Mavericks,
All Clear for Takeoff,15,Kobe Bryant,Los Angeles Lakers,
All Clear for Takeoff Press Proof,1,LeBron James,Los Angeles Lakers,
All Clear for Takeoff Press Proof,2,Victor Oladipo,Indiana Pacers,
All Clear for Takeoff Press Proof,3,Dominique Wilkins,Atlanta Hawks,
All Clear for Takeoff Press Proof,4,Larry Nance Jr.,Cleveland Cavaliers,
All Clear for Takeoff Press Proof,5,Zach LaVine,Chicago Bulls,
All Clear for Takeoff Press Proof,6,Russell Westbrook,Oklahoma City Thunder,
All Clear for Takeoff Press Proof,7,Spud Webb,Atlanta Hawks,
All Clear for Takeoff Press Proof,8,Dwight Howard,Washington Wizards,
All Clear for Takeoff Press Proof,9,Shawn Kemp,Seattle Supersonics,
All Clear for Takeoff Press Proof,10,Tracy McGrady,Toronto Raptors,
All Clear for Takeoff Press Proof,11,Blake Griffin,Detroit Pistons,
All Clear for Takeoff Press Proof,12,Donovan Mitchell,Utah Jazz,
All Clear for Takeoff Press Proof,13,Julius Erving,Philadelphia 76ers,
All Clear for Takeoff Press Proof,14,Dennis Smith Jr.,Dallas Mavericks,
All Clear for Takeoff Press Proof,15,Kobe Bryant,Los Angeles Lakers,
All Clear for Takeoff Press Proof Black,1,LeBron James,Los Angeles Lakers,1
All Clear for Takeoff Press Proof Black,2,Victor Oladipo,Indiana Pacers,1
All Clear for Takeoff Press Proof Black,3,Dominique Wilkins,Atlanta Hawks,1
All Clear for Takeoff Press Proof Black,4,Larry Nance Jr.,Cleveland Cavaliers,1
All Clear for Takeoff Press Proof Black,5,Zach LaVine,Chicago Bulls,1
All Clear for Takeoff Press Proof Black,6,Russell Westbrook,Oklahoma City Thunder,1
All Clear for Takeoff Press Proof Black,7,Spud Webb,Atlanta Hawks,1
All Clear for Takeoff Press Proof Black,8,Dwight Howard,Washington Wizards,1
All Clear for Takeoff Press Proof Black,9,Shawn Kemp,Seattle Supersonics,1
All Clear for Takeoff Press Proof Black,10,Tracy McGrady,Toronto Raptors,1
All Clear for Takeoff Press Proof Black,11,Blake Griffin,Detroit Pistons,1
All Clear for Takeoff Press Proof Black,12,Donovan Mitchell,Utah Jazz,1
All Clear for Takeoff Press Proof Black,13,Julius Erving,Philadelphia 76ers,1
All Clear for Takeoff Press Proof Black,14,Dennis Smith Jr.,Dallas Mavericks,1
All Clear for Takeoff Press Proof Black,15,Kobe Bryant,Los Angeles Lakers,1
All Heart,1,Allen Iverson,Philadelphia 76ers,
All Heart,2,Jimmy Butler,Minnesota Timberwolves,
All Heart,3,Dwyane Wade,Miami Heat,
All Heart,4,Giannis Antetokounmpo,Milwaukee Bucks,
All Heart,5,Kevin Durant,Golden State Warriors,
All Heart,6,Draymond Green,Golden State Warriors,
All Heart,7,Paul Pierce,Boston Celtics,
All Heart,8,James Harden,Houston Rockets,
All Heart,9,Kevin Garnett,Minnesota Timberwolves,
All Heart,10,Russell Westbrook,Oklahoma City Thunder,
All Heart,11,Dirk Nowitzki,Dallas Mavericks,
All Heart,12,Andrew Wiggins,Minnesota Timberwolves,
All Heart,13,LeBron James,Los Angeles Lakers,
All Heart,14,Dennis Rodman,Chicago Bulls,
All Heart,15,Donovan Mitchell,Utah Jazz,
All Heart,16,Chris Paul,Houston Rockets,
All Heart,17,John Wall,Washington Wizards,
All Heart,18,Rudy Gay,San Antonio Spurs,
All Heart,19,Kobe Bryant,Los Angeles Lakers,
All Heart,20,Stephen Curry,Golden State Warriors,
All Heart Press Proof,1,Allen Iverson,Philadelphia 76ers,
All Heart Press Proof,2,Jimmy Butler,Minnesota Timberwolves,
All Heart Press Proof,3,Dwyane Wade,Miami Heat,
All Heart Press Proof,4,Giannis Antetokounmpo,Milwaukee Bucks,
All Heart Press Proof,5,Kevin Durant,Golden State Warriors,
All Heart Press Proof,6,Draymond Green,Golden State Warriors,
All Heart Press Proof,7,Paul Pierce,Boston Celtics,
All Heart Press Proof,8,James Harden,Houston Rockets,
All Heart Press Proof,9,Kevin Garnett,Minnesota Timberwolves,
All Heart Press Proof,10,Russell Westbrook,Oklahoma City Thunder,
All Heart Press Proof,11,Dirk Nowitzki,Dallas Mavericks,
All Heart Press Proof,12,Andrew Wiggins,Minnesota Timberwolves,
All Heart Press Proof,13,LeBron James,Los Angeles Lakers,
All Heart Press Proof,14,Dennis Rodman,Chicago Bulls,
All Heart Press Proof,15,Donovan Mitchell,Utah Jazz,
All Heart Press Proof,16,Chris Paul,Houston Rockets,
All Heart Press Proof,17,John Wall,Washington Wizards,
All Heart Press Proof,18,Rudy Gay,San Antonio Spurs,
All Heart Press Proof,19,Kobe Bryant,Los Angeles Lakers,
All Heart Press Proof,20,Stephen Curry,Golden State Warriors,
All Heart Press Proof Black,1,Allen Iverson,Philadelphia 76ers,1
All Heart Press Proof Black,2,Jimmy Butler,Minnesota Timberwolves,1
All Heart Press Proof Black,3,Dwyane Wade,Miami Heat,1
All Heart Press Proof Black,4,Giannis Antetokounmpo,Milwaukee Bucks,1
All Heart Press Proof Black,5,Kevin Durant,Golden State Warriors,1
All Heart Press Proof Black,6,Draymond Green,Golden State Warriors,1
All Heart Press Proof Black,7,Paul Pierce,Boston Celtics,1
All Heart Press Proof Black,8,James Harden,Houston Rockets,1
All Heart Press Proof Black,9,Kevin Garnett,Minnesota Timberwolves,1
All Heart Press Proof Black,10,Russell Westbrook,Oklahoma City Thunder,1
All Heart Press Proof Black,11,Dirk Nowitzki,Dallas Mavericks,1
All Heart Press Proof Black,12,Andrew Wiggins,Minnesota Timberwolves,1
All Heart Press Proof Black,13,LeBron James,Los Angeles Lakers,1
All Heart Press Proof Black,14,Dennis Rodman,Chicago Bulls,1
All Heart Press Proof Black,15,Donovan Mitchell,Utah Jazz,1
All Heart Press Proof Black,16,Chris Paul,Houston Rockets,1
