Card Set,Number,Player,Team,Seq.
1989 Tribute,1,Ezekiel Elliott,Dallas Cowboys,
1989 Tribute,2,Khalil Mack,Chicago Bears,
1989 Tribute,3,Jimmy Garoppolo,San Francisco 49ers,
1989 Tribute,4,Patrick Mahomes II,Kansas City Chiefs,
1989 Tribute,5,Alvin Kamara,New Orleans Saints,
1989 Tribute,6,Lamar Jackson,Baltimore Ravens,
1989 Tribute,7,JuJu Smith-Schuster,Pittsburgh Steelers,
1989 Tribute,8,Julio Jones,Atlanta Falcons,
1989 Tribute,9,Larry Fitzgerald,Arizona Cardinals,
1989 Tribute,10,Russell Wilson,Seattle Seahawks,
1989 Tribute,11,Adam Thielen,Minnesota Vikings,
1989 Tribute,12,Tom Brady,New England Patriots,
1989 Tribute,13,Cam Newton,Carolina Panthers,
1989 Tribute,14,Michael Thomas,New Orleans Saints,
1989 Tribute,15,J.J. Watt,Houston Texans,
1989 Tribute Autographs,1,Ezekiel Elliott,Dallas Cowboys,15
1989 Tribute Autographs,2,Khalil Mack,Chicago Bears,15
1989 Tribute Autographs,4,Patrick Mahomes II,Kansas City Chiefs,15
1989 Tribute Autographs,6,Lamar Jackson,Baltimore Ravens,10
1989 Tribute Autographs,7,JuJu Smith-Schuster,Pittsburgh Steelers,25
1989 Tribute Autographs,10,Russell Wilson,Seattle Seahawks,10
1989 Tribute Autographs,11,Adam Thielen,Minnesota Vikings,25
1989 Tribute Autographs,12,Tom Brady,New England Patriots,5
1989 Tribute Autographs,15,J.J. Watt,Houston Texans,15
1989 Tribute Autographs Gold Vinyl,1,Ezekiel Elliott,Dallas Cowboys,1
1989 Tribute Autographs Gold Vinyl,2,Khalil Mack,Chicago Bears,1
1989 Tribute Autographs Gold Vinyl,4,Patrick Mahomes II,Kansas City Chiefs,1
1989 Tribute Autographs Gold Vinyl,6,Lamar Jackson,Baltimore Ravens,1
1989 Tribute Autographs Gold Vinyl,7,JuJu Smith-Schuster,Pittsburgh Steelers,1
1989 Tribute Autographs Gold Vinyl,10,Russell Wilson,Seattle Seahawks,1
1989 Tribute Autographs Gold Vinyl,11,Adam Thielen,Minnesota Vikings,1
1989 Tribute Autographs Gold Vinyl,12,Tom Brady,New England Patriots,1
1989 Tribute Autographs Gold Vinyl,15,J.J. Watt,Houston Texans,1
1999 Tribute,1,Tom Brady,New England Patriots,
1999 Tribute,2,Baker Mayfield,Cleveland Browns,
1999 Tribute,3,Drew Brees,New Orleans Saints,
