BASE,,,
BASE CARDS,,,
1,Mike Trout,Angels®,
2,Cody Bellinger,Los Angeles Dodgers®,
3,Joey Wendle,Tampa Bay RaysTM,
3,Bryce Harper,Philadelphia Phillies®,
4,Cedric Mullins,Baltimore Orioles®,Rookie
5,Kyle Freeland,Colorado RockiesTM,
6,Brad Keller,Kansas City Royals®,Rookie
7,Jonathan Loaisiga,New York Yankees®,Rookie
8,Scooter Gennett,Cincinnati Reds®,
9,Khris Davis,Oakland AthleticsTM,
10,Willy Adames,Tampa Bay RaysTM,
11,Matt Chapman,Oakland AthleticsTM,
12,Justus Sheffield,Seattle MarinersTM,Rookie
13,Aaron Nola,Philadelphia Phillies®,
14,Christian Yelich,Milwaukee BrewersTM,
15,Clayton Kershaw,Los Angeles Dodgers®,
16,Aaron Judge,New York Yankees®,
17,Trey Mancini,Baltimore Orioles®,
18,Anthony Rizzo,Chicago Cubs®,
19,Touki Toussaint,Atlanta BravesTM,Rookie
20,Bryse Wilson,Atlanta BravesTM,Rookie
21,Miguel Cabrera,Detroit Tigers®,
22,Nolan Arenado,Colorado RockiesTM,
23,Salvador Perez,Kansas City Royals®,
24,Willians Astudillo,Minnesota Twins®,Rookie
25,Luis Urias,San Diego PadresTM,Rookie
26,Edwin Diaz,New York Mets®,
27,Yoan Moncada,Chicago White Sox®,
28,Rowdy Tellez,Toronto Blue Jays®,Rookie
29,Taylor Ward,Angels®,Rookie
30,Steven Duggar,San Francisco Giants®,Rookie
31,Francisco Arcia,Chicago Cubs®,Rookie
32,Eugenio Suarez,Cincinnati Reds®,
33,Christin Stewart,Detroit Tigers®,Rookie
34,Shohei Ohtani,Angels®,
35,J.D. Martinez,Boston Red Sox®,
36,Yadier Molina,St. Louis Cardinals®,
37,Jose Berrios,Minnesota Twins®,
38,Ramon Laureano,Oakland AthleticsTM,Rookie
39,Luis Guillorme,New York Mets®,Rookie
40,Marcus Stroman,Toronto Blue Jays®,
41,Zack Greinke,Arizona Diamondbacks®,
42,Chris Shaw,San Francisco Giants®,Rookie
43,Giancarlo Stanton,New York Yankees®,
44,Ryan Borucki,Toronto Blue Jays®,Rookie
45,Whit Merrifield,Kansas City Royals®,
46,Chris Archer,Pittsburgh Pirates®,
47,Maikel Franco,Philadelphia Phillies®,
48,Danny Jansen,Toronto Blue Jays®,Rookie

49,David Fletcher,Angels®,Rookie
50,Mookie Betts,Boston Red Sox®,
51,Kris Bryant,Chicago Cubs®,
52,Kyle Wright,Atlanta BravesTM,Rookie
53,Aramis Garcia,San Francisco Giants®,Rookie
54,Kevin Newman,Pittsburgh Pirates®,Rookie
55,Jose Abreu,Chicago White Sox®,
56,Mychal Givens,Baltimore Orioles®,
57,Brandon Crawford,San Francisco Giants®,
58,Sean Reid-Foley,Toronto Blue Jays®,Rookie
59,Evan Longoria,San Francisco Giants®,
60,Kevin Kramer,Pittsburgh Pirates®,Rookie
61,Jake Cave,Minnesota Twins®,Rookie
62,Jose Altuve,Houston Astros®,
63,Eddie Rosario,Minnesota Twins®,
64,Justin Verlander,Houston Astros®,
65,Corbin Burnes,Milwaukee BrewersTM,Rookie
66,Jose Ramirez,Cleveland Indians®,
67,DJ Stewart,Baltimore Orioles®,Rookie
68,Starling Marte,Pittsburgh Pirates®,
69,Chance Adams,New York Yankees®,Rookie
70,Enyel De Los Santos,Philadelphia Phillies®,Rookie
71,Max Scherzer,Washington Nationals®,
72,Kolby Allard,Atlanta BravesTM,Rookie
73,Dakota Hudson,St. Louis Cardinals®,Rookie
74,Matt Carpenter,St. Louis Cardinals®,
75,Michael Kopech,Chicago White Sox®,Rookie
76,Jake Bauers,Cleveland Indians®,Rookie
77,Rougned Odor,Texas Rangers®,
78,Ronald Acuña Jr.,Atlanta BravesTM,
79,J.T. Realmuto,Miami Marlins®,
80,Mitch Haniger,Seattle MarinersTM,
81,Nicholas Castellanos,Detroit Tigers®,
82,Dawel Lugo,Detroit Tigers®,Rookie
83,Amed Rosario,New York Mets®,
84,Adolis Garcia,St. Louis Cardinals®,Rookie
