BASE,,
BASE CARDS,,
BD-1,Adley Rutschman,Baltimore Orioles®
BD-2,Jarred Kelenic,Seattle MarinersTM
BD-3,Alek Manoah,Toronto Blue Jays®
BD-4,Grant McCray,San Francisco Giants®
BD-5,Brock Deatherage,Detroit Tigers®
BD-6,Matt Wallner,Minnesota Twins®
BD-7,Josh Jung,Texas Rangers®
BD-8,Andres Gimenez,New York Mets®
BD-9,Jackson Kowar,Kansas City Royals®
BD-10,Logan Davidson,Oakland AthleticsTM
BD-11,Isaiah Campbell,Seattle MarinersTM
BD-12,Blake Walston,Arizona Diamondbacks®
BD-13,Izzy Wilson,Tampa Bay RaysTM
BD-14,Yordys Valdes,Cleveland Indians®
BD-15,Alec Marsh,Kansas City Royals®
BD-16,Ryan Zeferjahn,Boston Red Sox®
BD-17,Brady McConnell,Kansas City Royals®
BD-18,Jordan Groshans,Toronto Blue Jays®
BD-19,Sammy Siani,Pittsburgh Pirates®
BD-20,Kristian Robinson,Arizona Diamondbacks®
BD-21,Eric Pardinho,Toronto Blue Jays®
BD-22,Gunnar Henderson,Baltimore Orioles®
BD-23,Joseph Ortiz,Baltimore Orioles®
BD-24,Justin Slaten,Texas Rangers®
BD-25,Drew Waters,Atlanta BravesTM
BD-26,Cal Mitchell,Pittsburgh Pirates®
BD-27,Daniel Espino,Cleveland Indians®
BD-28,Ethan Small,Milwaukee BrewersTM
BD-29,Logan Wyatt,San Francisco Giants®
BD-30,Estevan Florial,New York Yankees®
BD-31,Hunter Bishop,San Francisco Giants®
BD-32,Thomas Dillard,Milwaukee BrewersTM
BD-33,DL Hall,Baltimore Orioles®
BD-34,T.J. Sikkema,New York Yankees®
BD-35,Dominic Fletcher,Arizona Diamondbacks®
BD-36,Antoine Kelly,Milwaukee BrewersTM
BD-37,Albert Abreu,New York Yankees®
BD-38,Mateo Gil,St. Louis Cardinals®
BD-39,Brett Baty,New York Mets®
BD-40,Brandon Lewis,Los Angeles Dodgers®
BD-41,Jamari Baylor,Philadelphia Phillies®
BD-42,Nolan Gorman,St. Louis Cardinals®
BD-43,Jack Little,Los Angeles Dodgers®
BD-44,Quinn Priester,Pittsburgh Pirates®
BD-45,Freudis Nova,Houston Astros®
BD-46,Royce Lewis,Minnesota Twins®
BD-47,Tyler Callihan,Cincinnati Reds®
BD-48,Matthew Allan,New York Mets®
BD-49,Will Stewart,Miami Marlins®

BD-50,Riley Greene,Detroit Tigers®
BD-51,Ethan Hankins,Cleveland Indians®
BD-52,Derian Cruz,Atlanta BravesTM
BD-53,Andre Pallante,St. Louis Cardinals®
BD-54,Dane Dunning,Chicago White Sox®
BD-55,Matt Mercer,Arizona Diamondbacks®
BD-56,Chris Murphy,Boston Red Sox®
BD-57,Michael Busch,Los Angeles Dodgers®
BD-58,James Beard,Chicago White Sox®
BD-59,Braden Shewmake,Atlanta BravesTM
BD-60,Julio Rodriguez,Seattle MarinersTM
BD-61,JJ Goss,Tampa Bay RaysTM
BD-62,Ronny Mauricio,New York Mets®
BD-63,Dasan Brown,Toronto Blue Jays®
BD-64,Michael Toglia,Colorado RockiesTM
BD-65,Keoni Cavaco,Minnesota Twins®
BD-66,Greg Jones,Tampa Bay RaysTM
BD-67,Shea Langeliers,Atlanta BravesTM
BD-68,Evan Fitterer,Miami Marlins®
BD-69,Hudson Head,San Diego PadresTM
BD-70,Tony Locey,St. Louis Cardinals®
BD-71,Julio Pablo Martinez,Texas Rangers®
BD-72,Jake Agnos,New York Yankees®
BD-73,Matt Gorski,Pittsburgh Pirates®
BD-74,Peyton Burdick,Miami Marlins®
BD-75,Brewer Hicklen,Kansas City Royals®
BD-76,Kyle Stowers,Baltimore Orioles®
BD-77,Erik Rivera,Angels®
BD-78,Leonardo Jimenez,Toronto Blue Jays®
BD-79,Bryson Stott,Philadelphia Phillies®
BD-80,Cristian Santana,Los Angeles Dodgers®
BD-81,Davis Wendzel,Texas Rangers®
BD-82,Jake Sanford,New York Yankees®
BD-83,Casey Golden,Colorado RockiesTM
BD-84,Tirso Ornelas,San Diego PadresTM
BD-85,CJ Abrams,San Diego PadresTM
BD-86,Josh Smith,New York Yankees®
BD-87,Triston Casas,Boston Red Sox®
BD-88,Victor Victor Mesa,Miami Marlins®
BD-89,Sixto Sanchez,Miami Marlins®
BD-90,Seth Johnson,Tampa Bay RaysTM
BD-91,Ryan Jensen,Chicago Cubs®
BD-92,Tim Tebow,New York Mets®
BD-93,Wander Franco,Tampa Bay RaysTM
BD-94,Matthew Thompson,Chicago White Sox®
BD-95,Jake Mangum,New York Mets®
BD-96,Jake Guenther,Tampa Bay RaysTM
BD-97,Jonathan India,Cincinnati Reds®
BD-98,Jack Kochanowicz,Angels®
BD-99,Noah Song,Boston Red Sox®
BD-100,Andrew Vaughn,Chicago White Sox®
BD-101,Anthony Prato,Minnesota Twins®

BD-102,Domingo Acevedo,New York Yankees®
BD-103,MacKenzie Gore,San Diego PadresTM
BD-104,Zack Thompson,St. Louis Cardinals®
BD-105,Nick Quintana,Detroit Tigers®
BD-106,Kyle Isbel,Kansas City Royals®
BD-107,Ryan Weathers,San Diego PadresTM
BD-108,Andre Lipcius,Detroit Tigers®
BD-109,Tyler Baum,Oakland AthleticsTM
BD-110,Conner Capel,St. Louis Cardinals®
BD-111,Michael Massey,Kansas City Royals®
BD-112,Diosbel Arias,Texas Rangers®
BD-113,Brandon Williamson,Seattle MarinersTM
BD-114,Jeter Downs,Los Angeles Dodgers®
BD-115,George Kirby,Seattle MarinersTM
BD-116,Graeme Stinson,Tampa Bay RaysTM
BD-117,Brent Rooker,Minnesota Twins®
BD-118,Eric Yang,Cincinnati Reds®
BD-119,Josh Wolf,New York Mets®
BD-120,Andrew Schultz,Philadelphia Phillies®
BD-121,Grayson Rodriguez,Baltimore Orioles®
BD-122,MJ Melendez,Kansas City Royals®
BD-123,Bryant Packard,Detroit Tigers®
BD-124,Aramis Ademan,Chicago Cubs®
BD-125,Corbin Carroll,Arizona Diamondbacks®
BD-126,Kyle McCann,Oakland AthleticsTM
BD-127,Matthew Liberatore,Tampa Bay RaysTM
BD-128,Beau Philip,Atlanta BravesTM
BD-129,Aaron Schunk,Colorado RockiesTM
BD-130,Brice Turang,Milwaukee BrewersTM
BD-131,Rece Hinds,Cincinnati Reds®
BD-132,Jimmy Lewis,Los Angeles Dodgers®
BD-133,Will Robertson,Toronto Blue Jays®
BD-134,Joey Bart,San Francisco Giants®
BD-135,Miguel Amaya,Chicago Cubs®
BD-136,Jonathan Ornelas,Texas Rangers®
BD-137,Vince Fernandez,Colorado RockiesTM
BD-138,Grant Gambrell,Kansas City Royals®
BD-139,Matthew Lugo,Boston Red Sox®
BD-140,Korey Lee,Houston Astros®
BD-141,Nasim Nunez,Miami Marlins®
BD-142,Denyi Reyes,Boston Red Sox®
BD-143,Moises Gomez,Tampa Bay RaysTM
BD-144,John Rave,Kansas City Royals®
BD-145,Grae Kessinger,Houston Astros®
BD-146,Isiah Gilliam,New York Yankees®
BD-147,Ryne Nelson,Arizona Diamondbacks®
BD-148,Ryan Garcia,Texas Rangers®
BD-149,Matt Canterino,Minnesota Twins®
BD-150,J.J. Bleday,Miami Marlins®
BD-151,Ryan Costello,Minnesota Twins®
BD-152,Tyler Fitzgerald,San Francisco Giants®
BD-153,Spencer Steer,Minnesota Twins®

BD-154,Jose Devers,Miami Marlins®
BD-155,Blaze Alexander,Arizona Diamondbacks®
BD-156,John Doxakis,Tampa Bay RaysTM
BD-157,Armani Smith,San Francisco Giants®
BD-158,Jordyn Adams,Angels®
BD-159,Sean Hjelle,San Francisco Giants®
BD-160,Cristian Javier,Houston Astros®
BD-161,Jared Triolo,Pittsburgh Pirates®
BD-162,Alec Bohm,Philadelphia Phillies®
BD-163,Jahmai Jones,Angels®
BD-164,Deivi Garcia,New York Yankees®
BD-165,Brennan Malone,Arizona Diamondbacks®
BD-166,Cameron Cannon,Boston Red Sox®
BD-167,Glenallen Hill Jr.,Arizona Diamondbacks®
BD-168,Evan Edwards,Miami Marlins®
BD-169,Shervyen Newton,New York Mets®
BD-170,Travis Swaggerty,Pittsburgh Pirates®
BD-171,Anthony Seigler,New York Yankees®
BD-172,Evan White,Seattle MarinersTM
BD-173,Luken Baker,St. Louis Cardinals®
BD-174,Trejyn Fletcher,St. Louis Cardinals®
BD-175,Spencer Brickhouse,Arizona Diamondbacks®
BD-176,Daulton Varsho,Arizona Diamondbacks®
BD-177,Hayden Wesneski,New York Yankees®
BD-178,Chase Strumpf,Chicago Cubs®
BD-179,Logan Gilbert,Seattle MarinersTM
BD-180,Joshua Mears,San Diego PadresTM
BD-181,Matt Vierling,Philadelphia Phillies®
BD-182,Will Wilson,Angels®
BD-183,Logan Driscoll,San Diego PadresTM
BD-184,Tyler Freeman,Cleveland Indians®
BD-185,Ian Anderson,Atlanta BravesTM
BD-186,Owen Miller,San Diego PadresTM
BD-187,Kody Hoese,Los Angeles Dodgers®
BD-188,Grant Lavigne,Colorado RockiesTM
