BASE,,,
351,Jarrod Dyson,Arizona Diamondbacks®,
352,David Peralta,Arizona Diamondbacks®,
353,Gary Sanchez,New York Yankees®,
354,Nomar Mazara,Texas Rangers®,
355,Stephen Gonsalves,Minnesota Twins®,Rookie
356,Stephen Strasburg,Washington Nationals®,
357,Chris Martin,Texas Rangers®,
358,Leonys Martin,Cleveland Indians®,
359,Noah Syndergaard,New York Mets®,
360,Mark Melancon,San Francisco Giants®,
361,Taylor Davis,Chicago Cubs®,
362,Jeremy Jeffress,Milwaukee BrewersTM,
363,Max Stassi,Houston Astros®,
364,Kenta Maeda,Los Angeles Dodgers®,
365,Ketel Marte,Arizona Diamondbacks®,
366,Isiah Kiner-Falefa,Texas Rangers®,
367,Get Up!,Angels®,
368,Brad Hand,Cleveland Indians®,
369,Charlie Culberson,Atlanta BravesTM,
370,Jacoby Ellsbury,New York Yankees®,
371,Zack Wheeler,New York Mets®,
372,Yu Darvish,Chicago Cubs®,
373,Christian Vazquez,Boston Red Sox®,
374,Alex Blandino,Cincinnati Reds®,
375,Cody Reed,Cincinnati Reds®,
376,Framber Valdez,Houston Astros®,Rookie
377,Yoan Moncada,Chicago White Sox®,
378,Brandon Workman,Boston Red Sox®,
379,Tim Hill,Kansas City Royals®,Rookie
380,Chris Archer,Pittsburgh Pirates®,
381,Juan Lagares,New York Mets®,
382,Daniel Norris,Detroit Tigers®,
383,Adalberto Mejia,Minnesota Twins®,
384,Dominic Leone,St. Louis Cardinals®,
385,Ender Inciarte,Atlanta BravesTM,
386,Ryan Pressly,Houston Astros®,
387,Mike Foltynewicz,Atlanta BravesTM,
388,Dominic Smith,New York Mets®,
389,Victor Caratini,Chicago Cubs®,
390,Evan Longoria,San Francisco Giants®,
391,Jung Ho Kang,Pittsburgh Pirates®,
392,Cionel Perez,Houston Astros®,Rookie
393,Hunter Renfroe,San Diego PadresTM,
394,Miguel Rojas,Miami Marlins®,
395,Andrew McCutchen,Philadelphia Phillies®,
396,Masahiro Tanaka,New York Yankees®,
397,Lance McCullers Jr.,Houston Astros®,
398,Erick Fedde,Washington Nationals®,
399,Tyler Mahle,Cincinnati Reds®,

400,Bryce Harper,Philadelphia Phillies®,
401,Tony Kemp,Houston Astros®,
402,Victor Robles,Washington Nationals®,Future Stars
403,Ivan Nova,Chicago White Sox®,
404,Jace Peterson,Baltimore Orioles®,
