BASE,,,
1,Boston Red Sox®,,World Series Champion
2,Felix Hernandez,Seattle MarinersTM,
3,Jared Hughes,Cincinnati Reds®,
4,Kole Calhoun,Angels®,
5,Alex Wood,Los Angeles Dodgers®,
6,Nick Pivetta,Philadelphia Phillies®,
7,Michael Kopech,Chicago White Sox®,Rookie Stars
7,Caleb Frare,Chicago White Sox®,Rookie Stars
8,Josh Harrison,Pittsburgh Pirates®,
9,Brandon Lowe,Tampa Bay RaysTM,Rookie Stars
9,Michael Perez,Tampa Bay RaysTM,Rookie Stars
10,Jackie Bradley Jr.,Boston Red Sox®,
11,Daniel Mengden,Oakland AthleticsTM,
12,Jordan Zimmermann,Detroit Tigers®,
13,Chris Stratton,San Francisco Giants®,
14,Adam Eaton,Washington Nationals®,
15,Roberto Osuna,Houston Astros®,
16,Jake Junis,Kansas City Royals®,
17,Sean Newcomb,Atlanta BravesTM,
18,Lucas Giolito,Chicago White Sox®,
19,Russell Martin,Toronto Blue Jays®,
20,Alex Cobb,Baltimore Orioles®,
21,Nick Martini,Oakland AthleticsTM,Rookie Stars
21,Ramon Laureano,Oakland AthleticsTM,Rookie Stars
22,Jose Peraza,Cincinnati Reds®,
23,CC Sabathia,New York Yankees®,
24,Zach Eflin,Philadelphia Phillies®,
25,Eddie Rosario,Minnesota Twins®,
26,Juan Lagares,New York Mets®,
27,Leonys Martin,Cleveland Indians®,
28,Tommy Hunter,Philadelphia Phillies®,
29,Andrelton Simmons,Angels®,
30,Gregory Polanco,Pittsburgh Pirates®,
31,Jhoulys Chacin,Milwaukee BrewersTM,
32,Brad Peacock,Houston Astros®,
33,Jeimer Candelario,Detroit Tigers®,
34,Cody Bellinger,Los Angeles Dodgers®,
35,Ketel Marte,Arizona Diamondbacks®,
36,Blake Trahan,Cincinnati Reds®,Rookie Stars
36,Jesus Reyes,Cincinnati Reds®,Rookie Stars
37,Danny Duffy,Kansas City Royals®,
38,Randal Grichuk,Toronto Blue Jays®,
39,Brock Holt,Boston Red Sox®,
40,Jose Martinez,St. Louis Cardinals®,
41,Yusmeiro Petit,Oakland AthleticsTM,
42,Evan Longoria,San Francisco Giants®,
43,Luke Voit,New York Yankees®,
44,Joey Lucchesi,San Diego PadresTM,
45,Jonathan Villar,Baltimore Orioles®,
46,Kyle Hendricks,Chicago Cubs®,
47,Zack Godley,Arizona Diamondbacks®,

48,Jesse Biddle,Atlanta BravesTM,,
49,Howie Kendrick,Washington Nationals®,,
50,Yoenis Cespedes,New York Mets®,,
51,Robbie Ray,Arizona Diamondbacks®,,
52,Chris Archer,Pittsburgh Pirates®,,
53,Orlando Arcia,Milwaukee BrewersTM,,
54,Ross Stripling,Los Angeles Dodgers®,,
55,Lou Trivino,Oakland AthleticsTM,,
56,Ranger Suarez,Philadelphia Phillies®,Rookie Stars,
56,Enyel de los Santos,Philadelphia Phillies®,Rookie Stars,
57,David Peralta,Arizona Diamondbacks®,,
58,Gorkys Hernandez,San Francisco Giants®,,
59,Mike Clevinger,Cleveland Indians®,,
60,Josh Reddick,Houston Astros®,,
61,Christian Yelich,Milwaukee BrewersTM,League,Leaders
61,Freddie Freeman,Atlanta BravesTM,League,Leaders
61,Scooter Gennett,Cincinnati Reds®,League,Leaders
62,Jose Altuve,Houston Astros®,League,Leaders
62,Mookie Betts,Boston Red Sox®,League,Leaders
62,J.D. Martinez,Boston Red Sox®,League,Leaders
63,Javier Baez,Chicago Cubs®,League,Leaders
63,Jesus Aguilar,Milwaukee BrewersTM,League,Leaders
63,Trevor Story,Colorado RockiesTM,League,Leaders
63,Christian Yelich,Milwaukee BrewersTM,League,Leaders
63,Nolan Arenado,Colorado RockiesTM,League,Leaders
64,Edwin Encarnacion,Cleveland Indians®,League,Leaders
64,J.D. Martinez,Boston Red Sox®,League,Leaders
64,Khris Davis,Oakland AthleticsTM,League,Leaders
65,Christian Yelich,Milwaukee BrewersTM,League,Leaders
65,Matt Carpenter,St. Louis Cardinals®,League,Leaders
65,Trevor Story,Colorado RockiesTM,League,Leaders
65,Nolan Arenado,Colorado RockiesTM,League,Leaders
66,Joey Gallo,Texas Rangers®,League,Leaders
66,J.D. Martinez,Boston Red Sox®,League,Leaders
66,Khris Davis,Oakland AthleticsTM,League,Leaders
67,Max Scherzer,Washington Nationals®,League,Leaders
67,Aaron Nola,Philadelphia Phillies®,League,Leaders
67,Jacob deGrom,New York Mets®,League,Leaders
68,Justin Verlander,Houston Astros®,League,Leaders
68,Trevor Bauer,Cleveland Indians®,League,Leaders
68,Blake Snell,Tampa Bay RaysTM,League,Leaders
69,Kyle Freeland,Colorado RockiesTM,League,Leaders
69,Aaron Nola,Philadelphia Phillies®,League,Leaders
69,Miles Mikolas,St. Louis Cardinals®,League,Leaders
69,Jon Lester,Chicago Cubs®,League,Leaders
69,Max Scherzer,Washington Nationals®,League,Leaders
70,Corey Kluber,Cleveland Indians®,League,Leaders
70,Luis Severino,New York Yankees®,League,Leaders
70,Blake Snell,Tampa Bay RaysTM,League,Leaders
71,Jacob deGrom,New York Mets®,League,Leaders
71,Patrick Corbin,Arizona Diamondbacks®,League,Leaders
71,Max Scherzer,Washington Nationals®,League,Leaders

72,Chris Sale,Boston Red Sox®,League Leaders
72,Justin Verlander,Houston Astros®,League Leaders
72,Gerrit Cole,Houston Astros®,League Leaders
73,Tyler Mahle,Cincinnati Reds®,
74,David Fletcher,Angels®,Rookie Stars
74,Taylor Ward,Angels®,Rookie Stars
75,Jake Lamb,Arizona Diamondbacks®,
76,Dexter Fowler,St. Louis Cardinals®,
77,Tony Watson,San Francisco Giants®,
78,Mookie Betts,Boston Red Sox®,
79,Clayton Richard,San Diego PadresTM,
80,Ian Happ,Chicago Cubs®,
81,Archie Bradley,Arizona Diamondbacks®,
82,Austin Romine,New York Yankees®,
83,Noah Syndergaard,New York Mets®,
84,Wilmer Difo,Washington Nationals®,
85,Chris Iannetta,Colorado RockiesTM,
86,Martin Prado,Miami Marlins®,
87,Ken Giles,Toronto Blue Jays®,
88,Nate Orf,Milwaukee BrewersTM,Rookie Stars
88,Corbin Burnes,Milwaukee BrewersTM,Rookie Stars
89,Adalberto Mondesi,Kansas City Royals®,
90,J.P. Crawford,Seattle MarinersTM,
91,Yolmer Sanchez,Chicago White Sox®,
92,Jack Flaherty,St. Louis Cardinals®,
93,Brian Anderson,Miami Marlins®,
94,Francisco Cervelli,Pittsburgh Pirates®,
95,Joe Jimenez,Detroit Tigers®,
96,Dakota Hudson,St. Louis Cardinals®,Rookie Stars
96,Daniel Poncedeleon,St. Louis Cardinals®,Rookie Stars
97,Rich Hill,Los Angeles Dodgers®,
98,Nicholas Castellanos,Detroit Tigers®,
99,Jay Bruce,Seattle MarinersTM,
100,Masahiro Tanaka,New York Yankees®,
101,Tim Beckham,Baltimore Orioles®,
102,Mark Canha,Oakland AthleticsTM,
103,Miguel Rojas,Miami Marlins®,
104,Christian Vazquez,Boston Red Sox®,
105,Ender Inciarte,Atlanta BravesTM,
106,Stephen Strasburg,Washington Nationals®,
107,Joe Panik,San Francisco Giants®,
108,Alex Gordon,Kansas City Royals®,
109,Rowdy Tellez,Toronto Blue Jays®,Rookie Stars
109,Reese McGuire,Toronto Blue Jays®,Rookie Stars
110,Kyle Crick,Pittsburgh PiratesTM,
111,Ryan Braun,Milwaukee BrewersTM,
112,Shane Bieber,Cleveland Indians®,
113,Lance McCullers Jr.,Houston Astros®,
114,Didi Gregorius,New York Yankees®,
115,Billy Hamilton,Kansas City Royals®,
116,Derek Dietrich,Miami Marlins®,
117,Kyle Schwarber,Chicago Cubs®,

118,Kyle Barraclough,Washington Nationals®,
119,Michael Wacha,St. Louis Cardinals®,
120,Matt Chapman,Oakland AthleticsTM,
121,Duane Underwood Jr.,Chicago Cubs®,Rookie Stars
121,James Norwood,Chicago Cubs®,Rookie Stars
122,Julio Teheran,Atlanta BravesTM,
123,Sandy Alcantara,Miami Marlins®,
124,Marcus Stroman,Toronto Blue Jays®,
125,Maikel Franco,Philadelphia Phillies®,
126,Max Stassi,Houston Astros®,
127,Jurickson Profar,Texas Rangers®,
128,Robinson Chirinos,Texas Rangers®,
129,James McCann,Chicago White Sox®,
130,Hunter Renfroe,San Diego PadresTM,
131,Dennis Santana,Los Angeles Dodgers®,Rookie Stars
131,Caleb Ferguson,Los Angeles Dodgers®,Rookie Stars
132,Blake Parker,Angels®,
133,Sal Romano,Cincinnati Reds®,
134,Nelson Cruz,Minnesota Twins®,
135,Alen Hanson,San Francisco Giants®,
136,Carlos Carrasco,Cleveland Indians®,
137,Michael Conforto,New York Mets®,
138,James Paxton,New York Yankees®,
139,Jedd Gyorko,St. Louis Cardinals®,
140,Dustin Fowler,Oakland AthleticsTM,
141,Nick Burdi,Pittsburgh Pirates®,Rookie Stars
141,Alex McRae,Pittsburgh Pirates®,Rookie Stars
142,Sonny Gray,New York Yankees®,
143,Chasen Shreve,St. Louis Cardinals®,
144,Joey Gallo,Texas Rangers®,
145,Adam Duvall,Atlanta BravesTM,
146,Nate Jones,Chicago White Sox®,
147,Yangervis Solarte,Toronto Blue Jays®,
148,Ronald Guzman,Texas Rangers®,
149,Vince Velasquez,Philadelphia Phillies®,
150,Mallex Smith,Seattle MarinersTM,
151,Craig Stammen,San Diego PadresTM,
152,Matt Boyd,Detroit Tigers®,
153,Seth Lugo,New York Mets®,
154,Austin Voth,Washington Nationals®,Rookie Stars
154,Jimmy Cordero,Washington Nationals®,Rookie Stars
155,Collin McHugh,Houston Astros®,
156,Matt Shoemaker,Angels®,
157,Enrique Hernandez,Los Angeles Dodgers®,
158,Mike Zunino,Tampa Bay RaysTM,
159,Michael Lorenzen,Cincinnati Reds®,
160,Shane Carle,Atlanta BravesTM,
161,Joey Wendle,Tampa Bay RaysTM,
162,Kolten Wong,St. Louis Cardinals®,
163,Rafael Devers,Boston Red Sox®,
164,Aledmys Diaz,Houston Astros®,
165,Jorge Soler,Kansas City Royals®,

166,Trevor Williams,Pittsburgh PiratesTM,,
167,Dellin Betances,New York Yankees®,,
168,Victor Arano,Philadelphia Phillies®,,
169,Matt Duffy,Tampa Bay RaysTM,,
170,Albert Almora Jr.,Chicago Cubs®,,
171,Darren O'Day,Atlanta BravesTM,,
172,Chad Sobotka,Atlanta BravesTM,Rookie Stars,
172,Bryse Wilson,Atlanta BravesTM,Rookie Stars,
173,Jaime Barria,Angels®,,
174,Justin Turner,Los Angeles Dodgers®,,
175,Daniel Robertson,Tampa Bay RaysTM,,
176,Will Smith,San Francisco Giants®,,
177,Niko Goodrum,Detroit Tigers®,,
178,Hector Rondon,Houston Astros®,,
179,Manny Margot,San Diego PadresTM,,
180,Daniel Palka,Chicago White Sox®,,
181,Ryan Yarbrough,Tampa Bay RaysTM,,
182,Andrew Cashner,Baltimore Orioles®,,
183,Wilmer Flores,New York Mets®,,
184,Yan Gomes,Washington Nationals®,,
185,Ryon Healy,Seattle MarinersTM,,
186,Scott Kingery,Philadelphia Phillies®,,
187,Whit Merrifield,Kansas City Royals®,,
188,Corey Dickerson,Pittsburgh PiratesTM,,
189,Chance Adams,New York Yankees®,Rookie Stars,
189,Jonathan Loaisiga,New York Yankees®,Rookie Stars,
190,Luke Weaver,Arizona Diamondbacks®,,
191,David Price,Boston Red Sox®,,
192,Jason Heyward,Chicago Cubs®,,
193,Devon Travis,Toronto Blue Jays®,,
194,Tommy Pham,Tampa Bay RaysTM,,
195,Justin Turner Hits Go-AheLaodsHAonmgelres Dodgers®,,Playoff,Highlights
196,Cody Bellinger Walk-Off siLnogsl eAinng e1l3etsh Dodgers®,,Playoff,Highlights
197,Clayton Kershaw Dazzles LTohsroAungghelSeesvDenodIgnenrisng®s,,Playoff,Highlights
198,Puig and Company SecureLoSserAiensgeles Dodgers®,,Playoff,Highlights
199,Jackie Bradley Bases-CleaBrionsgtoDnoRueblde Sox®,,Playoff,Highlights
200,Jackie Bradley Grand SlamBoston Red Sox®,,Playoff,Highlights
201,Andrew Benintendi game-Beonsdtionng RcaetdchSox®,,Playoff,Highlights
202,David Price gets win in serBioesst-oclni nRcehde rSox®,,Playoff,Highlights
203,Andrew Heaney,Angels®,,
204,C.J. Cron,Minnesota Twins®,,
205,Marcus Semien,Oakland AthleticsTM,,
206,Johan Camargo,Atlanta BravesTM,,
207,Dawel Lugo,Detroit Tigers®,Rookie Stars,
207,Christin Stewart,Detroit Tigers®,Rookie Stars,
208,Tony Kemp,Houston Astros®,,
209,Roberto Perez,Cleveland Indians®,,
210,Mark Melancon,San Francisco Giants®,,
211,Willy Adames,Tampa Bay RaysTM,,
212,Hyun-Jin Ryu,Los Angeles Dodgers®,,
213,Mark Trumbo,Baltimore Orioles®,,
214,Todd Frazier,New York Mets®,,

215,Steven Wright,Boston Red Sox®,
216,Josh Bell,Pittsburgh PiratesTM,
217,Tim Anderson,Chicago White Sox®,
218,Nick Williams,Philadelphia Phillies®,
219,Jesus Sucre,Tampa Bay RaysTM,
220,Marcell Ozuna,St. Louis Cardinals®,
221,Kendrys Morales,Toronto Blue Jays®,
222,Hunter Dozier,Kansas City Royals®,
223,Ben Zobrist,Chicago Cubs®,
224,Chase Anderson,Milwaukee BrewersTM,
225,Scott Schebler,Cincinnati Reds®,
226,Miguel Sano,Minnesota Twins®,
227,Kyle Tucker,Houston Astros®,Rookie Stars
227,Cionel Perez,Houston Astros®,Rookie Stars
228,Kaleb Cowart,Angels®,
