BASE,,
US1,Vladimir Guerrero Jr.,Toronto Blue Jays®
US2,Mike Tauchman,New York Yankees®
US3,Curt Casali,Cincinnati Reds®
US4,Gary Sanchez,New York Yankees®
US5,CC Sabathia,New York Yankees®
US6,Yonder Alonso,Chicago White Sox®
US7,Aroldis Chapman,New York Yankees®
US8,Walker Buehler,Los Angeles Dodgers®
US9,Masahiro Tanaka,New York Yankees®
US10,Jorge Polanco,Minnesota Twins®
US11,Brandon Brennan,Seattle MarinersTM
US12,Paul Goldschmidt,St. Louis Cardinals®
US13,Yasmani Grandal,Milwaukee BrewersTM
US14,Jose Suarez,Angels®
US15,James McCann,Chicago White Sox®
US16,Martin Maldonado,Kansas City Royals®
US17,Edwin Diaz,New York Mets®
US18,Christian Walker,Arizona Diamondbacks®
US19,Zach Plesac,Cleveland Indians®
US20,Mike Soroka,Atlanta BravesTM
US21,Melky Cabrera,Pittsburgh Pirates®
US22,Ian Kinsler,San Diego PadresTM
US23,Cal Quantrill,San Diego PadresTM
US24,Lucas Giolito,Chicago White Sox®
US25,Cody Bellinger,Los Angeles Dodgers®
US26,Mark Reynolds,Colorado RockiesTM
US27,JD Hammer,Philadelphia Phillies®
US28,Oscar Mercado,Cleveland Indians®
US29,Tommy La Stella,Angels®
US30,Hanser Alberto,Baltimore Orioles®
US31,Joc Pederson,Los Angeles Dodgers®
US32,Matt Albers,Milwaukee BrewersTM
US33,Josh Harrison,Detroit Tigers®
US34,Griffin Canning,Angels®
US35,Derek Dietrich,Cincinnati Reds®
US36,Jake Odorizzi,Minnesota Twins®
US37,Tim Beckham,Seattle MarinersTM
US38,Harold Ramirez,Miami Marlins®
US39,Cavan Biggio,Toronto Blue Jays®
US40,Travis Bergen,San Francisco Giants®
US41,Russell Martin,Los Angeles Dodgers®
US42,David Dahl,Colorado RockiesTM
US43,Josh Naylor,San Diego PadresTM

US44,Trevor Story,Colorado RockiesTM
US45,Brendan Rodgers,Colorado RockiesTM
US46,Tanner Roark,Cincinnati Reds®
US47,Pete Alonso,New York Mets®
US48,Matt Chapman,Oakland AthleticsTM
US49,Mike Moustakas,Milwaukee BrewersTM
US50,Nick Senzel,Cincinnati Reds®
US51,Bryan Reynolds,Pittsburgh Pirates®
US52,Keston Hiura,Milwaukee BrewersTM
US53,Parker Markel/David McKay,Seattle MarinersTM
US54,Paul DeJong,St. Louis Cardinals®
US55,Javier Baez,Chicago Cubs®
US56,Fernando Tatis Jr.,San Diego PadresTM
US57,Clayton Richard,Toronto Blue Jays®
US58,J.T. Realmuto,Philadelphia Phillies®
US59,Jared Walsh,Angels®
US60,Kyle Barraclough,Washington Nationals®
US61,Francisco Liriano,Pittsburgh Pirates®
US62,Vladimir Guerrero Jr.,Toronto Blue Jays®
US63,Trent Thornton,Toronto Blue Jays®
US64,Junior Guerra,Milwaukee BrewersTM
US65,Brad Hand,Cleveland Indians®
US66,J.T. Realmuto,Philadelphia Phillies®
US67,Nick Ramirez,Detroit Tigers®
US68,Yandy Diaz,Tampa Bay RaysTM
US69,Shed Long,Seattle MarinersTM
US70,A.J. Pollock,Los Angeles Dodgers®
US71,Derek Dietrich/Yasiel Puig,Cincinnati Reds®
US72,Albert Pujols,Angels®
US73,Peter Lambert,Colorado RockiesTM
US74,Elvis Luciano,Toronto Blue Jays®
US75,Shane Bieber,Cleveland Indians®
US76,Alex Colome,Chicago White Sox®
US77,Drew Pomeranz,San Francisco Giants®
US78,Mike Ford,New York Yankees®
US79,Jonathan Schoop,Minnesota Twins®
US80,Kyle Bird,Texas Rangers®
US81,Jose Iglesias,Cincinnati Reds®
US82,Jose Alvarado,Tampa Bay RaysTM
US83,Whit Merrifield,Kansas City Royals®
US84,Tommy Edman,St. Louis Cardinals®
US85,Robbie Grossman,Oakland AthleticsTM
US86,Hunter Pence,Texas Rangers®
US87,Willson Contreras,Chicago Cubs®
US88,Aaron Brooks,Oakland AthleticsTM

US89,Carlos Santana,Cleveland Indians®
US90,Blake Parker,Minnesota Twins®
US91,Ketel Marte,Arizona Diamondbacks®
US92,George Springer,Houston Astros®
US93,Michael Brantley,Houston Astros®
US94,Gregory Soto,Detroit Tigers®
US95,Nick Senzel,Cincinnati Reds®
US96,Justin Verlander,Houston Astros®
US97,Erik Swanson,Seattle MarinersTM
US98,Adam Jones/Jarrod Dyson/David Peralta,Arizona Diamondbacks®
US99,Tim Anderson/Josh Harrison,American LeagueTM
US100,Austin Riley,Atlanta BravesTM
US101,Joe Kelly,Los Angeles Dodgers®
US102,Matt Strahm,San Diego PadresTM
US103,Austin Allen,San Diego PadresTM
US104,Sandy Alcantara,Miami Marlins®
US105,Luis Rengifo,Angels®
US106,Yasiel Puig,Cincinnati Reds®
US107,Robinson Cano,New York Mets®
US108,Cole Irvin,Philadelphia Phillies®
US109,Carter Kieboom,Washington Nationals®
US110,Marwin Gonzalez,Minnesota Twins®
US111,Matt Festa,Seattle MarinersTM
US112,Josh Bell,Pittsburgh Pirates®
US113,Cody Bellinger,Los Angeles Dodgers®
US114,Joey Gallo,Texas Rangers®
US115,Pedro Avila,San Diego PadresTM
US116,Kelvin Gutierrez,Kansas City Royals®
US117,DJ LeMahieu,New York Yankees®
US118,Freddy Galvis,Toronto Blue Jays®
US119,Jesus Sucre,Baltimore Orioles®
US120,Billy Hamilton,Kansas City Royals®
US121,Asdrubal Cabrera,Texas Rangers®
US122,Kris Bryant,Chicago Cubs®
US123,Justus Sheffield,Seattle MarinersTM
US124,Raimel Tapia,Colorado RockiesTM
US125,Braden Bishop,Seattle MarinersTM
US126,Luis Castillo,Cincinnati Reds®
US127,Kelvin Herrera,Chicago White Sox®
US128,Gio Urshela,New York Yankees®
US129,Ty France,San Diego PadresTM
US130,Devin Smeltzer,Minnesota Twins®
US131,Mike Moustakas,Milwaukee BrewersTM
US132,Neil Walker,Miami Marlins®
US133,Leury Garcia,Chicago White Sox®

US134,J.D. Martinez,Boston Red Sox®
US135,Will Smith,San Francisco Giants®
US136,Austin Meadows,Tampa Bay RaysTM
US137,Hansel Robles,Angels®
US138,Adam Warren,San Diego PadresTM
US139,Adam Haseley,Philadelphia Phillies®
US140,Michael Pineda,Minnesota Twins®
US141,Brandon Woodruff,Milwaukee BrewersTM
US142,Shaun Anderson,San Francisco Giants®
US143,Alex Bregman,Houston Astros®
US144,Xander Bogaerts,Boston Red Sox®
US145,Nick Anderson,Miami Marlins®
US146,Mike Trout,Angels®
US147,Richie Martin,Baltimore Orioles®
US148,Gleyber Torres,New York Yankees®
US149,Corbin Martin,Houston Astros®
US150,Keston Hiura,Milwaukee BrewersTM
US151,Mookie Betts,Boston Red Sox®
US152,Jordan Lyles,Pittsburgh Pirates®
US153,Tyler Austin,San Francsico Giants®
US154,Sonny Gray,Cincinnati Reds®
US155,Charlie Morton,Tampa Bay RaysTM
US156,Jeurys Familia,New York Mets®
US157,Matt Chapman,Oakland AthleticsTM
US158,Brian Dozier,Washington Nationals®
US159,Jordan Luplow,Cleveland Indians®
US160,Jose Abreu,Chicago White Sox®
US161,Tommy Kahnle,New York Yankees®
US162,Scott Alexander,Los Angeles Dodgers®
US163,Miguel Castro,Baltimore Orioles®
US164,Sergio Romo,Miami Marlins®
US165,Dwight Smith Jr.,Baltimore Orioles®
US166,Andrew Miller,St. Louis Cardinals®
US167,Nolan Arenado,Colorado RockiesTM
US168,Thairo Estrada,New York Yankees®
US169,Taylor Clarke,Arizona Diamondbacks®
US170,Michael Chavis,Boston Red Sox®
US171,Corbin Martin,Houston Astros®
US172,Yoan Moncada/Yonder Alonso,Chicago White Sox®
US173,Marwin Gonzalez/George Springer,American leagueTM
US174,Matthew Beaty,Los Angeles Dodgers®
US175,Derek Holland,San Francisco Giants®
US176,Anibal Sanchez,Washington Nationals®
US177,J.P. Crawford,Seattle MarinersTM
US178,Charlie Blackmon,Colorado RockiesTM

US179,Hector Neris,Philadelphia Phillies®
US180,Josh VanMeter,Cincinnati Reds®
US181,Scott Oberg,Colorado RockiesTM
US182,Andrew Knizner,St. Louis Cardinals®
US183,Kyle Dowdy/Kyle Bird,Texas Rangers®
US184,Travis d'Arnaud,Tampa Bay RaysTM
US185,Christian Yelich,Milwaukee BrewersTM
US186,John Ryan Murphy,Arizona Diamondbacks®
US187,Curtis Granderson,Miami Marlins®
US188,Avisail Garcia,Tampa Bay RaysTM
US189,Mike Trout/Shohei Ohtani,Angels®
US190,Greg Holland,Arizona Diamondbacks®
US191,Brad Boxberger,Kansas City Royals®
US192,Michael Chavis,Boston Red Sox®
US193,Marcus Stroman,Toronto Blue Jays®
US194,Max Muncy,Los Angeles Dodgers®
US195,Nick Hundley,Oakland AthleticsTM
US196,Trevor May,Minnesota Twins®
US197,Cole Tucker,Pittsburgh Pirates®
US198,Pete Alonso,New York Mets®
US199,Will Smith,Los Angeles Dodgers®
US200,Griffin Canning,Angels®
US201,Kevin Pillar,San Francsico Giants®
US202,Nicky Lopez,Kansas City Royals®
US203,Wilmer Flores,Arizona Diamondbacks®
US204,Jason Martin,Pittsburgh Pirates®
