Card Set,Number,Player,Team
Base,1,Ronald Acuña Jr.,Atlanta Braves
Base,2,Chris Davis,Baltimore Orioles
Base,3,Jake Bauers,Cleveland Indians
Base,4,Yasiel Puig,Cincinnati Reds
Base,5,Jake Cave,Minnesota Twins
Base,6,Corey Kluber,Cleveland Indians
Base,7,Christin Stewart,Detroit Tigers
Base,8,David Peralta,Arizona Diamondbacks
Base,9,DJ Stewart,Baltimore Orioles
Base,10,Brandon Lowe,Tampa Bay Rays
Base,11,Kolby Allard,Atlanta Braves
Base,12,Jonathan Loaisiga,New York Yankees
Base,13,Francisco Lindor,Cleveland Indians
Base,14,Dansby Swanson,Atlanta Braves
Base,15,Blake Snell,Tampa Bay Rays
Base,16,Chance Adams,New York Yankees
Base,17,Brandon Belt,San Francisco Giants
Base,18,Eddie Rosario,Minnesota Twins
Base,19,Ian Kinsler,San Diego Padres
Base,20,Starling Marte,Pittsburgh Pirates
Base,21,Yoan Moncada,Chicago White Sox
Base,22,Whit Merrifield,Kansas City Royals
Base,23,Miguel Cabrera,Detroit Tigers
Base,24,Dakota Hudson,St. Louis Cardinals
Base,25,Kyle Tucker,Houston Astros
Base,26,Fernando Tatis Jr.,San Diego Padres
Base,27,Nolan Arenado,Colorado Rockies
Base,28,Rowdy Tellez,Toronto Blue Jays
Base,29,Cedric Mullins,Baltimore Orioles
Base,30,Lourdes Gurriel Jr.,Toronto Blue Jays
Base,31,Manny Machado,San Diego Padres
Base,32,Corbin Burnes,Milwaukee Brewers
Base,33,Josh Hader,Milwaukee Brewers
Base,34,Taylor Ward,Los Angeles Angels
Base,35,Mark Trumbo,Baltimore Orioles
Base,36,Enyel De Los Santos,Philadelphia Phillies
Base,37,Ryan Borucki,Toronto Blue Jays
Base,38,Giancarlo Stanton,New York Yankees
Base,39,Joey Votto,Cincinnati Reds
Base,40,Willians Astudillo,Minnesota Twins
Base,41,Billy Hamilton,Kansas City Royals
Base,42,Keston Hiura,Milwaukee Brewers
Base,43,Josh James,Houston Astros
Base,44,Juan Soto,Washington Nationals
Base,45,Griffin Canning,Los Angeles Angels
Base,46,Khris Davis,Oakland Athletics
Base,47,Cal Quantrill,San Diego Padres
Base,48,Pete Alonso,New York Mets
Base,49,Jacob deGrom,New York Mets
Base,50,Shohei Ohtani,Los Angeles Angels
Base,51,Josh Bell,Pittsburgh Pirates
Base,52,Charlie Blackmon,Colorado Rockies
Base,53,Luis Urias,San Diego Padres
Base,54,Brad Keller,Kansas City Royals
Base,55,Bryce Harper,Philadelphia Phillies
Base,56,Anthony Rizzo,Chicago Cubs
Base,57,Zack Greinke,Arizona Diamondbacks
Base,58,Justus Sheffield,Seattle Mariners
Base,59,Jon Duplantier,Arizona Diamondbacks
Base,60,Alex Bregman,Houston Astros
Base,61,Rhys Hoskins,Philadelphia Phillies
Base,62,Bryse Wilson,Atlanta Braves
Base,63,Christian Yelich,Milwaukee Brewers
Base,64,Clayton Kershaw,Los Angeles Dodgers
Base,65,Lewis Brinson,Miami Marlins
Base,66,Robinson Cano,New York Mets
Base,67,Ramon Laureano,Oakland Athletics
Base,68,Joey Gallo,Texas Rangers
Base,69,Jose Abreu,Chicago White Sox
Base,70,Nelson Cruz,Minnesota Twins
Base,71,Edwin Encarnacion,Seattle Mariners
Base,72,Buster Posey,San Francisco Giants
Base,73,Vladimir Guerrero Jr.,Toronto Blue Jays
Base,74,Carter Kieboom,Washington Nationals
Base,75,Mookie Betts,Boston Red Sox
Base,76,Kyle Wright,Atlanta Braves
Base,77,Brian Anderson,Miami Marlins
Base,78,Blake Treinen,Oakland Athletics
Base,79,Willy Adames,Tampa Bay Rays
Base,80,Nicholas Castellanos,Detroit Tigers
Base,81,Eloy Jimenez,Chicago White Sox
Base,82,Michael Kopech,Chicago White Sox
Base,83,Jose Altuve,Houston Astros
Base,84,Austin Riley,Atlanta Braves
Base,85,Chris Sale,Boston Red Sox
Base,86,Kris Bryant,Chicago Cubs
Base,87,Marcus Stroman,Toronto Blue Jays
Base,88,Danny Jansen,Toronto Blue Jays
Base,89,Touki Toussaint,Atlanta Braves
Base,90,Aaron Judge,New York Yankees
Base,91,Yusei Kikuchi,Seattle Mariners
Base,92,Ryan O'Hearn,Kansas City Royals
Base,93,Paul DeJong,St. Louis Cardinals
Base,94,Miles Mikolas,St. Louis Cardinals
Base,95,Ronald Guzman,Texas Rangers
Base,96,Mitch Haniger,Seattle Mariners
Base,97,Victor Robles,Washington Nationals
Base,98,Nick Senzel,Cincinnati Reds
Base,99,Justin Turner,Los Angeles Dodgers
Base,100,Mike Trout,Los Angeles Angels
Prospects,BCP-151,Royce Lewis,Minnesota Twins
Prospects,BCP-152,Zack Brown,Milwaukee Brewers
Prospects,BCP-153,Robinson Ortiz,Los Angeles Dodgers
Prospects,BCP-154,Bobby Dalbec,Boston Red Sox
