Card Set,Number,Player,Team
Base,BD-1,Adley Rutschman,Baltimore Orioles
Base,BD-2,Jarred Kelenic,Seattle Mariners
Base,BD-3,Alek Manoah,Toronto Blue Jays
Base,BD-4,Grant McCray,San Francisco Giants
Base,BD-5,Brock Deatherage,Detroit Tigers
Base,BD-6,Matt Wallner,Minnesota Twins
Base,BD-7,Josh Jung,Texas Rangers
Base,BD-8,Andres Gimenez,New York Mets
Base,BD-9,Jackson Kowar,Kansas City Royals
Base,BD-10,Logan Davidson,Oakland Athletics
Base,BD-11,Isaiah Campbell,Seattle Mariners
Base,BD-12,Blake Walston,Arizona Diamondbacks
Base,BD-13,Izzy Wilson,Tampa Bay Rays
Base,BD-14,Yordys Valdes,Cleveland Indians
Base,BD-15,Alec Marsh,Kansas City Royals
Base,BD-16,Ryan Zeferjahn,Boston Red Sox
Base,BD-17,Brady McConnell,Kansas City Royals
Base,BD-18,Jordan Groshans,Toronto Blue Jays
Base,BD-19,Sammy Siani,Pittsburgh Pirates
Base,BD-20,Kristian Robinson,Arizona Diamondbacks
Base,BD-21,Eric Pardinho,Toronto Blue Jays
Base,BD-22,Gunnar Henderson,Baltimore Orioles
Base,BD-23,Joseph Ortiz,Baltimore Orioles
Base,BD-24,Justin Slaten,Texas Rangers
Base,BD-25,Drew Waters,Atlanta Braves
Base,BD-26,Cal Mitchell,Pittsburgh Pirates
Base,BD-27,Daniel Espino,Cleveland Indians
Base,BD-28,Ethan Small,Milwaukee Brewers
Base,BD-29,Logan Wyatt,San Francisco Giants
Base,BD-30,Estevan Florial,New York Yankees
Base,BD-31,Hunter Bishop,San Francisco Giants
Base,BD-32,Thomas Dillard,Milwaukee Brewers
Base,BD-33,D.L. Hall,Baltimore Orioles
Base,BD-34,T.J. Sikkema,New York Yankees
Base,BD-35,Dominic Fletcher,Arizona Diamondbacks
Base,BD-36,Antoine Kelly,Milwaukee Brewers
Base,BD-37,Albert Abreu,New York Yankees
Base,BD-38,Mateo Gil,St. Louis Cardinals
Base,BD-39,Brett Baty,New York Mets
Base,BD-40,Brandon Lewis,Los Angeles Dodgers
Base,BD-41,Jamari Baylor,Philadelphia Phillies
Base,BD-42,Nolan Gorman,St. Louis Cardinals
Base,BD-43,Jack Little,Los Angeles Dodgers
Base,BD-44,Quinn Priester,Pittsburgh Pirates
Base,BD-45,Freudis Nova,Houston Astros
Base,BD-46,Royce Lewis,Minnesota Twins
Base,BD-47,Tyler Callihan,Cincinnati Reds
Base,BD-48,Matthew Allan,New York Mets
Base,BD-49,Will Stewart,Miami Marlins
Base,BD-50,Riley Greene,Detroit Tigers
Base,BD-51,Ethan Hankins,Cleveland Indians
Base,BD-52,Derian Cruz,Atlanta Braves
Base,BD-53,Andre Pallante,St. Louis Cardinals
Base,BD-54,Dane Dunning,Chicago White Sox
Base,BD-55,Matt Mercer,Arizona Diamondbacks
Base,BD-56,Chris Murphy,Boston Red Sox
Base,BD-57,Michael Busch,Los Angeles Dodgers
Base,BD-58,James Beard,Chicago White Sox
Base,BD-59,Braden Shewmake,Atlanta Braves
Base,BD-60,Julio Rodriguez,Seattle Mariners
Base,BD-61,JJ Goss,Tampa Bay Rays
Base,BD-62,Ronny Mauricio,New York Mets
Base,BD-63,Dasan Brown,Toronto Blue Jays
Base,BD-64,Michael Toglia,Colorado Rockies
Base,BD-65,Keoni Cavaco,Minnesota Twins
Base,BD-66,Greg Jones,Tampa Bay Rays
Base,BD-67,Shea Langeliers,Atlanta Braves
Base,BD-68,Evan Fitterer,Miami Marlins
Base,BD-69,Hudson Head,San Diego Padres
Base,BD-70,Tony Locey,St. Louis Cardinals
Base,BD-71,Julio Pablo Martinez,Texas Rangers
Base,BD-72,Jake Agnos,New York Yankees
Base,BD-73,Matt Gorski,Pittsburgh Pirates
Base,BD-74,Peyton Burdick,Miami Marlins
Base,BD-75,Brewer Hicklen,Kansas City Royals
Base,BD-76,Kyle Stowers,Baltimore Orioles
Base,BD-77,Erik Rivera,Los Angeles Angels
Base,BD-78,Leonardo Jimenez,Toronto Blue Jays
Base,BD-79,Bryson Stott,Philadelphia Phillies
Base,BD-80,Cristian Santana,Los Angeles Dodgers
Base,BD-81,Davis Wendzel,Texas Rangers
Base,BD-82,Jake Sanford,New York Yankees
Base,BD-83,Casey Golden,Colorado Rockies
Base,BD-84,Tirso Ornelas,San Diego Padres
Base,BD-85,CJ Abrams,San Diego Padres
Base,BD-86,Josh Smith,New York Yankees
Base,BD-87,Triston Casas,Boston Red Sox
Base,BD-88,Victor Victor Mesa,Miami Marlins
Base,BD-89,Sixto Sanchez,Miami Marlins
Base,BD-90,Seth Johnson,Tampa Bay Rays
Base,BD-91,Ryan Jensen,Chicago Cubs
Base,BD-92,Tim Tebow,New York Mets
Base,BD-93,Wander Franco,Tampa Bay Rays
Base,BD-94,Matthew Thompson,Chicago White Sox
Base,BD-95,Jake Mangum,New York Mets
Base,BD-96,Jake Guenther,Tampa Bay Rays
Base,BD-97,Jonathan India,Cincinnati Reds
Base,BD-98,Jack Kochanowicz,Los Angeles Angels
Base,BD-99,Noah Song,Boston Red Sox
Base,BD-100,Andrew Vaughn,Chicago White Sox
Base,BD-101,Anthony Prato,Minnesota Twins
Base,BD-102,Domingo Acevedo,New York Yankees
Base,BD-103,MacKenzie Gore,San Diego Padres
Base,BD-104,Zack Thompson,St. Louis Cardinals
Base,BD-105,Nick Quintana,Detroit Tigers
Base,BD-106,Kyle Isbel,Kansas City Royals
Base,BD-107,Ryan Weathers,San Diego Padres
Base,BD-108,Andre Lipcius,Detroit Tigers
Base,BD-109,Tyler Baum,Oakland Athletics
Base,BD-110,Conner Capel,St. Louis Cardinals
Base,BD-111,Michael Massey,Kansas City Royals
Base,BD-112,Diosbel Arias,Texas Rangers
Base,BD-113,Brandon Williamson,Seattle Mariners
Base,BD-114,Jeter Downs,Los Angeles Dodgers
Base,BD-115,George Kirby,Seattle Mariners
Base,BD-116,Graeme Stinson,Tampa Bay Rays
Base,BD-117,Brent Rooker,Minnesota Twins
Base,BD-118,Eric Yang,Cincinnati Reds
Base,BD-119,Josh Wolf,New York Mets
Base,BD-120,Andrew Schultz,Philadelphia Phillies
Base,BD-121,Grayson Rodriguez,Baltimore Orioles
Base,BD-122,MJ Melendez,Kansas City Royals
Base,BD-123,Bryant Packard,Detroit Tigers
Base,BD-124,Aramis Ademan,Chicago Cubs
Base,BD-125,Corbin Carroll,Arizona Diamondbacks
Base,BD-126,Kyle McCann,Oakland Athletics
Base,BD-127,Matthew Liberatore,Tampa Bay Rays
Base,BD-128,Beau Philip,Atlanta Braves
Base,BD-129,Aaron Schunk,Colorado Rockies
Base,BD-130,Brice Turang,Milwaukee Brewers
Base,BD-131,Rece Hinds,Cincinnati Reds
Base,BD-132,Jimmy Lewis,Los Angeles Dodgers
Base,BD-133,Will Robertson,Toronto Blue Jays
Base,BD-134,Joey Bart,San Francisco Giants
Base,BD-135,Miguel Amaya,Chicago Cubs
Base,BD-136,Jonathan Ornelas,Texas Rangers
Base,BD-137,Vince Fernandez,Colorado Rockies
Base,BD-138,Grant Gambrell,Kansas City Royals
Base,BD-139,Matthew Lugo,Boston Red Sox
Base,BD-140,Korey Lee,Houston Astros
Base,BD-141,Nasim Nunez,Miami Marlins
Base,BD-142,Denyi Reyes,Boston Red Sox
Base,BD-143,Moises Gomez,Tampa Bay Rays
Base,BD-144,John Rave,Kansas City Royals
Base,BD-145,Grae Kessinger,Houston Astros
Base,BD-146,Isiah Gilliam,New York Yankees
Base,BD-147,Ryne Nelson,Arizona Diamondbacks
Base,BD-148,Ryan Garcia,Texas Rangers
Base,BD-149,Matt Canterino,Minnesota Twins
Base,BD-150,J.J. Bleday,Miami Marlins
Base,BD-151,Ryan Costello,Minnesota Twins
Base,BD-152,Tyler Fitzgerald,San Francisco Giants
Base,BD-153,Spencer Steer,Minnesota Twins
Base,BD-154,Jose Devers,Miami Marlins
Base,BD-155,Blaze Alexander,Arizona Diamondbacks
Base,BD-156,John Doxakis,Tampa Bay Rays
Base,BD-157,Armani Smith,San Francisco Giants
Base,BD-158,Jordyn Adams,Los Angeles Angels
Base,BD-159,Sean Hjelle,San Francisco Giants
Base,BD-160,Cristian Javier,Houston Astros
