Card Set,Number,Player,Team
Base,1,Shohei Ohtani,Los Angeles Angels
Base,2,Rowdy Tellez,Toronto Blue Jays
Base,3,Hunter Renfroe,San Diego Padres
Base,4,Andrelton Simmons,Los Angeles Angels
Base,5,Dylan Bundy,Baltimore Orioles
Base,6,Reese McGuire,Toronto Blue Jays
Base,7,Maikel Franco,Philadelphia Phillies
Base,8,Brandon Nimmo,New York Mets
Base,9,David Peralta,Arizona Diamondbacks
Base,10,Jesus Aguilar,Milwaukee Brewers
Base,11,Whit Merrifield,Kansas City Royals
Base,12,Brian Anderson,Miami Marlins
Base,13,Harrison Bader,St. Louis Cardinals
Base,14,Joe Panik,San Francisco Giants
Base,15,J.P. Crawford,Seattle Mariners
Base,16,Christian Yelich,Milwaukee Brewers
Base,17,Michael Kopech,Chicago White Sox
Base,18,Starling Marte,Pittsburgh Pirates
Base,19,Alex Bregman,Houston Astros
Base,20,Jose Altuve,Houston Astros
Base,21,Shane Greene,Detroit Tigers
Base,22,Gary Sanchez,New York Yankees
Base,23,Zack Greinke,Arizona Diamondbacks
Base,24,Josh Hader,Milwaukee Brewers
Base,25,Kris Bryant,Chicago Cubs
Base,26,Nomar Mazara,Texas Rangers
Base,27,Albert Pujols,Los Angeles Angels
Base,28,Justin Verlander,Houston Astros
Base,29,Lorenzo Cain,Milwaukee Brewers
Base,30,Francisco Arcia,Chicago Cubs
Base,31,Joey Votto,Cincinnati Reds
Base,32,Max Muncy,Los Angeles Dodgers
Base,33,Victor Robles,Washington Nationals
Base,34,Alex Avila,Arizona Diamondbacks
Base,35,Danny Jansen,Toronto Blue Jays
Base,36,Paul DeJong,St. Louis Cardinals
Base,37,Willians Astudillo,Minnesota Twins
Base,38,Joey Gallo,Texas Rangers
Base,39,Kyle Tucker,Houston Astros
Base,40,Ronald Guzman,Texas Rangers
Base,41,Chris Davis,Baltimore Orioles
Base,42,George Springer,Houston Astros
Base,43,Zack Cozart,Los Angeles Angels
Base,44,Carlos Santana,Cleveland Indians
Base,45,Tommy Pham,Tampa Bay Rays
Base,46,Matt Chapman,Oakland Athletics
Base,47,Trey Mancini,Baltimore Orioles
Base,48,Javier Baez,Chicago Cubs
Base,49,Mychal Givens,Baltimore Orioles
Base,50,Mookie Betts,Boston Red Sox
Base,51,Yadier Molina,St. Louis Cardinals
Base,52,Cedric Mullins,Baltimore Orioles
Base,53,Ryan O'Hearn,Kansas City Royals
Base,54,Brad Keller,Kansas City Royals
Base,55,Josh James,Houston Astros
Base,56,Bryse Wilson,Atlanta Braves
Base,57,Ozzie Albies,Atlanta Braves
Base,58,Scooter Gennett,Cincinnati Reds
Base,59,Jacob deGrom,New York Mets
Base,60,Joey Rickard,Baltimore Orioles
Base,61,Jesse Winker,Cincinnati Reds
Base,62,Cionel Perez,Houston Astros
Base,63,Jeimer Candelario,Detroit Tigers
Base,64,Carlos Correa,Houston Astros
Base,65,Colin Moran,Pittsburgh Pirates
Base,66,Matt Olson,Oakland Athletics
Base,67,Max Kepler,Minnesota Twins
Base,68,Francisco Lindor,Cleveland Indians
Base,69,Christin Stewart,Detroit Tigers
Base,70,Lucas Giolito,Chicago White Sox
Base,71,Jake Bauers,Cleveland Indians
Base,72,Justin Upton,Los Angeles Angels
Base,73,Yusei Kikuchi,Seattle Mariners
Base,74,Edwin Diaz,New York Mets
Base,75,Daniel Ponce de Leon,St. Louis Cardinals
Base,76,Blake Snell,Tampa Bay Rays
Base,77,Andrew McCutchen,Philadelphia Phillies
Base,78,Taylor Ward,Los Angeles Angels
Base,79,Dean Deetz,Houston Astros
Base,80,Eugenio Suarez,Cincinnati Reds
Base,81,Jorge Polanco,Minnesota Twins
Base,82,Buster Posey,San Francisco Giants
Base,83,Matt Boyd,Detroit Tigers
Base,84,Corbin Burnes,Milwaukee Brewers
Base,85,Josh Donaldson,Atlanta Braves
Base,86,Gleyber Torres,New York Yankees
Base,87,Freddie Freeman,Atlanta Braves
Base,88,Kevin Kramer,Pittsburgh Pirates
Base,89,Jose Abreu,Chicago White Sox
Base,90,Walker Buehler,Los Angeles Dodgers
Base,91,David Dahl,Colorado Rockies
Base,92,Franmil Reyes,San Diego Padres
Base,93,Trevor Richards,Miami Marlins
Base,94,Evan Longoria,San Francisco Giants
Base,95,Nicholas Castellanos,Detroit Tigers
Base,96,Xander Bogaerts,Boston Red Sox
Base,97,Heath Fillmyer,Kansas City Royals
Base,98,Luis Severino,New York Yankees
Base,99,Kolby Allard,Atlanta Braves
Base,100,Aaron Judge,New York Yankees
Base,101,Edwin Encarnacion,Seattle Mariners
Base,102,Yonder Alonso,Chicago White Sox
Base,103,Odubel Herrera,Philadelphia Phillies
Base,104,Matt Duffy,Tampa Bay Rays
Base,105,Enyel De Los Santos,Philadelphia Phillies
Base,106,Corey Seager,Los Angeles Dodgers
Base,107,Trevor Bauer,Cleveland Indians
Base,108,Miguel Andujar,New York Yankees
Base,109,Chance Adams,New York Yankees
Base,110,Justus Sheffield,Seattle Mariners
Base,111,Kyle Schwarber,Chicago Cubs
Base,112,Clayton Kershaw,Los Angeles Dodgers
Base,113,Ian Desmond,Colorado Rockies
Base,114,Byron Buxton,Minnesota Twins
Base,115,Miguel Cabrera,Detroit Tigers
Base,116,Jake Lamb,Arizona Diamondbacks
Base,117,Ronald Acuña Jr.,Atlanta Braves
Base,118,Lourdes Gurriel Jr.,Toronto Blue Jays
Base,119,Sandy Alcantara,Miami Marlins
Base,120,Kyle Wright,Atlanta Braves
Base,121,Josh Rogers,Baltimore Orioles
Base,122,Lewis Brinson,Miami Marlins
Base,123,Jose Berrios,Minnesota Twins
Base,124,Nolan Arenado,Colorado Rockies
Base,125,Brandon Belt,San Francisco Giants
Base,126,Nick Burdi,Pittsburgh Pirates
Base,127,Jose Ramirez,Cleveland Indians
Base,128,Marcus Stroman,Toronto Blue Jays
Base,129,Aramis Garcia,San Francisco Giants
Base,130,Anthony Rizzo,Chicago Cubs
Base,131,Noah Syndergaard,New York Mets
Base,132,Aaron Sanchez,Toronto Blue Jays
Base,133,J.D. Martinez,Boston Red Sox
Base,134,Kevin Newman,Pittsburgh Pirates
Base,135,DJ Stewart,Baltimore Orioles
Base,136,Sean Reid-Foley,Toronto Blue Jays
