Card Set,Number,Player,Team
Base,1,Paul Goldschmidt,St. Louis Cardinals
Base,2,Josh Donaldson,Atlanta Braves
Base,3,Yasiel Puig,Cincinnati Reds
Base,4,Adam Ottavino,New York Yankees
Base,5,DJ LeMahieu,New York Yankees
Base,6,Dallas Keuchel,Atlanta Braves
Base,7,Charlie Morton,Tampa Bay Rays
Base,8,Zack Britton,New York Yankees
Base,9,C.J. Cron,Minnesota Twins
Base,10,Jonathan Schoop,Minnesota Twins
Base,11,Robinson Cano,New York Mets
Base,12,Edwin Encarnacion,New York Yankees
Base,13,Domingo Santana,Seattle Mariners
Base,14,J.T. Realmuto,Philadelphia Phillies
Base,15,Hunter Pence,Texas Rangers
Base,16,Edwin Diaz,New York Mets
Base,17,Yasmani Grandal,Milwaukee Brewers
Base,18,Chris Paddack,San Diego Padres
Base,19,Jon Duplantier,Arizona Diamondbacks
Base,20,Nick Anderson,Miami Marlins
Base,21,Vladimir Guerrero Jr.,Toronto Blue Jays
Base,22,Carter Kieboom,Washington Nationals
Base,23,Nate Lowe,Tampa Bay Rays
Base,24,Pedro Avila,San Diego Padres
Base,25,Ryan Helsley,St. Louis Cardinals
Base,26,Lane Thomas,St. Louis Cardinals
Base,27,Michael Chavis,Boston Red Sox
Base,28,Thairo Estrada,New York Yankees
Base,29,Bryan Reynolds,Pittsburgh Pirates
Base,30,Darwinzon Hernandez,Boston Red Sox
Base,31,Griffin Canning,Los Angeles Angels
Base,32,Nick Senzel,Cincinnati Reds
Base,33,Cal Quantrill,San Diego Padres
Base,34,Matthew Beaty,Los Angeles Dodgers
Base,35,Spencer Turnbull,Detroit Tigers
Base,36,Corbin Martin,Houston Astros
Base,37,Austin Riley,Atlanta Braves
Base,38,Keston Hiura,Milwaukee Brewers
Base,39,Nicky Lopez,Kansas City Royals
Base,40,Oscar Mercado,Cleveland Indians
Base,41,Harold Ramirez,Miami Marlins
Base,42,Cavan Biggio,Toronto Blue Jays
Base,43,Kevin Cron,Arizona Diamondbacks
Base,44,Josh Naylor,San Diego Padres
Base,45,Luis Arraez,Minnesota Twins
Base,46,Shaun Anderson,San Francisco Giants
Base,47,Will Smith,Los Angeles Dodgers
Base,48,Mitch Keller,Pittsburgh Pirates
Base,49,Mike Yastrzemski,San Francisco Giants
Base,50,Craig Kimbrel,Chicago Cubs
Base,51,Yusei Kikuchi,Seattle Mariners
Base,52,Pete Alonso,New York Mets
Base,53,Eloy Jimenez,Chicago White Sox
Base,54,Fernando Tatis Jr.,San Diego Padres
Base,55,Chris Paddack,San Diego Padres
Base,56,Nick Senzel,Cincinnati Reds
Base,57,Michael Chavis,Boston Red Sox
Base,58,Vladimir Guerrero Jr.,Toronto Blue Jays
Base,59,Carter Kieboom,Washington Nationals
Base,60,Corbin Martin,Houston Astros
Base,61,Austin Riley,Atlanta Braves
Base,62,Keston Hiura,Milwaukee Brewers
Base,63,Brendan Rodgers,Colorado Rockies
Base,64,Cavan Biggio,Toronto Blue Jays
Base,65,Griffin Canning,Los Angeles Angels
Base,66,Gary Sanchez,New York Yankees
Base,67,Willson Contreras,Chicago Cubs
Base,68,Carlos Santana,Cleveland Indians
Base,69,Freddie Freeman,Atlanta Braves
Base,70,DJ LeMahieu,New York Yankees
Base,71,Ketel Marte,Arizona Diamondbacks
Base,72,Alex Bregman,Houston Astros
Base,73,Nolan Arenado,Colorado Rockies
Base,74,Jorge Polanco,Minnesota Twins
Base,75,Javier Baez,Chicago Cubs
Base,76,Mike Trout,Los Angeles Angels
Base,77,Christian Yelich,Milwaukee Brewers
Base,78,George Springer,Houston Astros
Base,79,Cody Bellinger,Los Angeles Dodgers
