Card Family,Parallel,Seq.
Base,Black Border,50
Base,Flip Stock,5
Base Chrome Variations,Purple Refractor,
Base Chrome Variations,Refractor,570
Base Chrome Variations,Black Refractor,70
Base Chrome Variations,Gold Refractor,5
Base Chrome Variations,SuperFractor,1
Base Mini Variations,Base,100
Real One Autographs,Special Edition Red Ink,70
Real One Autographs High Number,Special Edition Red Ink,70
Cut Signatures Baseball,Base,1
Cut Signatures Celebrity,Base,1
Clubhouse Collection Autograph Relics,Base,25
Clubhouse Collection Autograph Relics,Patch,1
Clubhouse Collection Autograph Relics High Number,Base,25
Clubhouse Collection Autograph Relics High Number,Patch,1
Clubhouse Collection Dual Autograph Relics,Base,10
Clubhouse Collection Dual Autograph Relics,Patch,1
Clubhouse Collection Dual Autograph Relics High Number,Base,10
Clubhouse Collection Dual Autograph Relics High Number,Patch,1
Flashbacks Autographed Relics,Base,25
Flashbacks Autographed Relics,Patch,1
1970 Mint Relics,Nickels,15
1970 Mint Relics,Dimes,10
1970 Mint Relics,Quarters,5
1970 Mint Relics,Half-Dollars,1
1970 U.S. Postage Stamp Relics,Base,50
Clubhouse Collection Relics,Gold,99
Clubhouse Collection Relics,Patch,1
Clubhouse Collection Relics High Number,Gold,99
Clubhouse Collection Relics High Number,Patch,1
Clubhouse Collection Dual Relics,Base,70
Clubhouse Collection Dual Relics,Patch,1
Clubhouse Collection Dual Relics High Number,Base,70
Clubhouse Collection Dual Relics High Number,Patch,1
Clubhouse Collection Triple Relics,Base,25
Clubhouse Collection Triple Relics,Patch,1
Clubhouse Collection Triple Relics High Number,Base,25
Clubhouse Collection Triple Relics High Number,Patch,1
Clubhouse Collection Quad Relics,Base,10
Clubhouse Collection Quad Relics,Patch,1
Clubhouse Collection Quad Relics High Number,Base,10
Clubhouse Collection Quad Relics High Number,Patch,1
1970 Player Story Booklets,Base,250
2019 Topps Teammates Box Loaders,Base,70
