Card Set,Number,Player,Team
Base French OPC Back Variations,52,Chris Archer,Pittsburgh Pirates
Base French OPC Back Variations,78,Mookie Betts,Boston Red Sox
Base French OPC Back Variations,83,Noah Syndergaard,New York Mets
Base French OPC Back Variations,98,Nicholas Castellanos,Detroit Tigers
Base French OPC Back Variations,117,Kyle Schwarber,Chicago Cubs
Base French OPC Back Variations,163,Rafael Devers,Boston Red Sox
Base French OPC Back Variations,347,David Bote,Chicago Cubs
Base French OPC Back Variations,401,Francisco Lindor,Cleveland Indians
Base French OPC Back Variations,402,Salvador Perez,Kansas City Royals
Base French OPC Back Variations,403,Jake Arrieta,Philadelphia Phillies
Base French OPC Back Variations,404,Kris Bryant,Chicago Cubs
Base French OPC Back Variations,405,Jon Lester,Chicago Cubs
Base French OPC Back Variations,406,Anthony Rizzo,Chicago Cubs
Base French OPC Back Variations,407,George Springer,Houston Astros
Base French OPC Back Variations,408,Sean Manaea,Oakland Athletics
Base French OPC Back Variations,409,Jose Altuve,Houston Astros
Base French OPC Back Variations,410,Christian Yelich,Milwaukee Brewers
Base French OPC Back Variations,411,Blake Snell,Tampa Bay Rays
Base French OPC Back Variations,412,Trevor Bauer,Cleveland Indians
Base French OPC Back Variations,413,Gleyber Torres,New York Yankees
Base French OPC Back Variations,414,Paul DeJong,St. Louis Cardinals
Base French OPC Back Variations,415,Bryce Harper,Washington Nationals
Base French OPC Back Variations,416,Luis Severino,New York Yankees
Base French OPC Back Variations,417,Jordan Hicks,St. Louis Cardinals
Base French OPC Back Variations,418,Gary Sanchez,New York Yankees
Base French OPC Back Variations,419,Jacob deGrom,New York Mets
Base French OPC Back Variations,421,Justin Upton,Los Angeles Angels
Base French OPC Back Variations,422,Albert Pujols,Los Angeles Angels
Base French OPC Back Variations,423,Carlos Correa,Houston Astros
Base French OPC Back Variations,424,Alex Bregman,Houston Astros
Base French OPC Back Variations,425,Franmil Reyes,San Diego Padres
Base French OPC Back Variations,426,Justin Verlander,Houston Astros
Base French OPC Back Variations,427,Walker Buehler,Los Angeles Dodgers
Base French OPC Back Variations,428,Trey Mancini,Baltimore Orioles
Base French OPC Back Variations,429,Gerrit Cole,Houston Astros
Base French OPC Back Variations,430,Shohei Ohtani,Los Angeles Angels
Base French OPC Back Variations,431,Brandon Nimmo,New York Mets
Base French OPC Back Variations,432,Khris Davis,Oakland Athletics
Base French OPC Back Variations,433,Justin Smoak,Toronto Blue Jays
Base French OPC Back Variations,434,Stephen Piscotty,Oakland Athletics
Base French OPC Back Variations,435,Miles Mikolas,St. Louis Cardinals
Base French OPC Back Variations,436,Ozzie Albies,Atlanta Braves
Base French OPC Back Variations,437,Lorenzo Cain,Milwaukee Brewers
Base French OPC Back Variations,438,Matt Carpenter,St. Louis Cardinals
Base French OPC Back Variations,439,Yadier Molina,St. Louis Cardinals
Base French OPC Back Variations,440,Javier Baez,Chicago Cubs
Base French OPC Back Variations,441,Paul Goldschmidt,St. Louis Cardinals
Base French OPC Back Variations,442,Zack Greinke,Arizona Diamondbacks
Base French OPC Back Variations,443,Matt Kemp,Los Angeles Dodgers
Base French OPC Back Variations,444,Kenta Maeda,Los Angeles Dodgers
Base French OPC Back Variations,445,Buster Posey,San Francisco Giants
Base French OPC Back Variations,446,Max Muncy,Los Angeles Dodgers
Base French OPC Back Variations,447,Edwin Encarnacion,Seattle Mariners
Base French OPC Back Variations,448,Corey Kluber,Cleveland Indians
Base French OPC Back Variations,449,Dee Gordon,Seattle Mariners
Base French OPC Back Variations,450,Jean Segura,Philadelphia Phillies
