Card Family,Parallel,Seq.
Base,Green,
Base,Purple,150
Base,Magenta,99
Base,Red,75
Base,Orange,50
Base,Blue,25
Base,Inception,1
Base,Printing Plates Black,1
Base,Printing Plates Cyan,1
Base,Printing Plates Magenta,1
Base,Printing Plates Yellow,1
Rookie and Emerging Star Autographs,Magenta,99
Rookie and Emerging Star Autographs,Red,75
Rookie and Emerging Star Autographs,Orange,50
Rookie and Emerging Star Autographs,Blue,25
Rookie and Emerging Star Autographs,Inception,1
Autograph Short Prints,Base,10
Legendary Debut Autographs,Base,20
Legendary Debut Autographs,Orange,10
Legendary Debut Autographs,Blue,5
Legendary Debut Autographs,Inception,1
Silver Signings,Gold Ink,25
Silver Signings,Gold Ink Inscription,1
Autograph Patch,Magenta,75
Autograph Patch,Red,25,
Autograph Patch,Orange,10,
Autograph Patch,Blue Button,6
Autograph Patch,Inception Majestic Logo,1
Autograph Jumbo Patch,Orange,25
Autograph Jumbo Patch,Blue,10
Autograph Jumbo Patch,Inception Logo,1
Autograph Jumbo Hat Patch,MLB Logo,5
Autograph Jumbo Hat Patch,New Era Logo,5
Autograph Jumbo Hat Patch,Team Logo,5
Autograph Laundry Tag Book,Base,1
Autograph Letters Book,Base,2
Autograph MLB Batterman Patch Book,Base,1
Autograph Team Logo Patch Book,Base,2
