Card Set,Number,Player,Team
Base,US1,Vladimir Guerrero Jr.,Toronto Blue Jays
Base,US2,Mike Tauchman,New York Yankees
Base,US3,Curt Casali,Cincinnati Reds
Base,US4,Gary Sanchez,New York Yankees
Base,US5,CC Sabathia,New York Yankees
Base,US6,Yonder Alonso,Chicago White Sox
Base,US7,Aroldis Chapman,New York Yankees
Base,US8,Walker Buehler,Los Angeles Dodgers
Base,US9,Masahiro Tanaka,New York Yankees
Base,US10,Jorge Polanco,Minnesota Twins
Base,US11,Brandon Brennan,Seattle Mariners
Base,US12,Paul Goldschmidt,St. Louis Cardinals
Base,US13,Yasmani Grandal,Milwaukee Brewers
Base,US14,Jose Suarez,Los Angeles Angels
Base,US15,James McCann,Chicago White Sox
Base,US16,Martin Maldonado,Kansas City Royals
Base,US17,Edwin Diaz,New York Mets
Base,US18,Christian Walker,Arizona Diamondbacks
Base,US19,Zach Plesac,Cleveland Indians
Base,US20,Mike Soroka,Atlanta Braves
Base,US21,Melky Cabrera,Pittsburgh Pirates
Base,US22,Ian Kinsler,San Diego Padres
Base,US23,Cal Quantrill,San Diego Padres
Base,US24,Lucas Giolito,Chicago White Sox
Base,US25,Cody Bellinger,Los Angeles Dodgers
Base,US26,Mark Reynolds,Colorado Rockies
Base,US27,JD Hammer,Philadelphia Phillies
Base,US28,Oscar Mercado,Cleveland Indians
Base,US29,Tommy La Stella,Los Angeles Angels
Base,US30,Hanser Alberto,Baltimore Orioles
Base,US31,Joc Pederson,Los Angeles Dodgers
Base,US32,Matt Albers,Milwaukee Brewers
Base,US33,Josh Harrison,Detroit Tigers
Base,US34,Griffin Canning,Los Angeles Angels
Base,US35,Derek Dietrich,Cincinnati Reds
Base,US36,Jake Odorizzi,Minnesota Twins
Base,US37,Tim Beckham,Seattle Mariners
Base,US38,Harold Ramirez,Miami Marlins
Base,US39,Cavan Biggio,Toronto Blue Jays
Base,US40,Travis Bergen,San Francisco Giants
Base,US41,Russell Martin,Los Angeles Dodgers
Base,US42,David Dahl,Colorado Rockies
Base,US43,Josh Naylor,San Diego Padres
