Card Set,Number,Player,Team,Seq.
All Clear for Takeoff,1,Donovan Mitchell,Utah Jazz,
All Clear for Takeoff,2,LeBron James,Los Angeles Lakers,
All Clear for Takeoff,3,Victor Oladipo,Indiana Pacers,
All Clear for Takeoff,4,Russell Westbrook,Houston Rockets,
All Clear for Takeoff,5,John Wall,Washington Wizards,
All Clear for Takeoff,6,Giannis Antetokounmpo,Milwaukee Bucks,
All Clear for Takeoff,7,Ben Simmons,Philadelphia 76ers,
All Clear for Takeoff,8,Aaron Gordon,Orlando Magic,
All Clear for Takeoff,9,Andrew Wiggins,Minnesota Timberwolves,
All Clear for Takeoff,10,Zach LaVine,Chicago Bulls,
All Clear for Takeoff,11,Paul George,Los Angeles Clippers,
All Clear for Takeoff,12,Blake Griffin,Detroit Pistons,
All Clear for Takeoff,13,DeAndre Jordan,Brooklyn Nets,
All Clear for Takeoff,14,Zion Williamson,New Orleans Pelicans,
All Clear for Takeoff,15,Ja Morant,Memphis Grizzlies,
All Clear for Takeoff Blue,1,Donovan Mitchell,Utah Jazz,49
All Clear for Takeoff Blue,2,LeBron James,Los Angeles Lakers,49
All Clear for Takeoff Blue,3,Victor Oladipo,Indiana Pacers,49
All Clear for Takeoff Blue,4,Russell Westbrook,Houston Rockets,49
All Clear for Takeoff Blue,5,John Wall,Washington Wizards,49
All Clear for Takeoff Blue,6,Giannis Antetokounmpo,Milwaukee Bucks,49
All Clear for Takeoff Blue,7,Ben Simmons,Philadelphia 76ers,49
All Clear for Takeoff Blue,8,Aaron Gordon,Orlando Magic,49
All Clear for Takeoff Blue,9,Andrew Wiggins,Minnesota Timberwolves,49
All Clear for Takeoff Blue,10,Zach LaVine,Chicago Bulls,49
All Clear for Takeoff Blue,11,Paul George,Los Angeles Clippers,49
All Clear for Takeoff Blue,12,Blake Griffin,Detroit Pistons,49
All Clear for Takeoff Blue,13,DeAndre Jordan,Brooklyn Nets,49
All Clear for Takeoff Blue,14,Zion Williamson,New Orleans Pelicans,49
All Clear for Takeoff Blue,15,Ja Morant,Memphis Grizzlies,49
All Clear for Takeoff Gold,1,Donovan Mitchell,Utah Jazz,10
All Clear for Takeoff Gold,2,LeBron James,Los Angeles Lakers,10
All Clear for Takeoff Gold,3,Victor Oladipo,Indiana Pacers,10
All Clear for Takeoff Gold,4,Russell Westbrook,Houston Rockets,10
All Clear for Takeoff Gold,5,John Wall,Washington Wizards,10
All Clear for Takeoff Gold,6,Giannis Antetokounmpo,Milwaukee Bucks,10
All Clear for Takeoff Gold,7,Ben Simmons,Philadelphia 76ers,10
All Clear for Takeoff Gold,8,Aaron Gordon,Orlando Magic,10
All Clear for Takeoff Gold,9,Andrew Wiggins,Minnesota Timberwolves,10
All Clear for Takeoff Gold,10,Zach LaVine,Chicago Bulls,10
All Clear for Takeoff Gold,11,Paul George,Los Angeles Clippers,10
All Clear for Takeoff Gold,12,Blake Griffin,Detroit Pistons,10
All Clear for Takeoff Gold,13,DeAndre Jordan,Brooklyn Nets,10
All Clear for Takeoff Gold,14,Zion Williamson,New Orleans Pelicans,10
All Clear for Takeoff Gold,15,Ja Morant,Memphis Grizzlies,10
All Clear for Takeoff Gold Vinyl,1,Donovan Mitchell,Utah Jazz,1
All Clear for Takeoff Gold Vinyl,2,LeBron James,Los Angeles Lakers,1
All Clear for Takeoff Gold Vinyl,3,Victor Oladipo,Indiana Pacers,1
All Clear for Takeoff Gold Vinyl,4,Russell Westbrook,Houston Rockets,1
All Clear for Takeoff Gold Vinyl,5,John Wall,Washington Wizards,1
All Clear for Takeoff Gold Vinyl,6,Giannis Antetokounmpo,Milwaukee Bucks,1
All Clear for Takeoff Gold Vinyl,7,Ben Simmons,Philadelphia 76ers,1
All Clear for Takeoff Gold Vinyl,8,Aaron Gordon,Orlando Magic,1
All Clear for Takeoff Gold Vinyl,9,Andrew Wiggins,Minnesota Timberwolves,1
All Clear for Takeoff Gold Vinyl,10,Zach LaVine,Chicago Bulls,1
All Clear for Takeoff Gold Vinyl,11,Paul George,Los Angeles Clippers,1
All Clear for Takeoff Gold Vinyl,12,Blake Griffin,Detroit Pistons,1
All Clear for Takeoff Gold Vinyl,13,DeAndre Jordan,Brooklyn Nets,1
All Clear for Takeoff Gold Vinyl,14,Zion Williamson,New Orleans Pelicans,1
All Clear for Takeoff Gold Vinyl,15,Ja Morant,Memphis Grizzlies,1
All Clear for Takeoff Green,1,Donovan Mitchell,Utah Jazz,5
All Clear for Takeoff Green,2,LeBron James,Los Angeles Lakers,5
All Clear for Takeoff Green,3,Victor Oladipo,Indiana Pacers,5
All Clear for Takeoff Green,4,Russell Westbrook,Houston Rockets,5
All Clear for Takeoff Green,5,John Wall,Washington Wizards,5
All Clear for Takeoff Green,6,Giannis Antetokounmpo,Milwaukee Bucks,5
All Clear for Takeoff Green,7,Ben Simmons,Philadelphia 76ers,5
All Clear for Takeoff Green,8,Aaron Gordon,Orlando Magic,5
