Card Set,Number,Player,Team,Seq.
2020 XRC Black Prizm Redemption,301,QB1,No NFL Team,1
2020 XRC Black Prizm Redemption,302,QB2,No NFL Team,1
2020 XRC Black Prizm Redemption,303,QB3,No NFL Team,1
2020 XRC Black Prizm Redemption,304,QB4,No NFL Team,1
2020 XRC Black Prizm Redemption,305,QB5,No NFL Team,1
2020 XRC Black Prizm Redemption,306,RB1,No NFL Team,1
2020 XRC Black Prizm Redemption,307,RB2,No NFL Team,1
2020 XRC Black Prizm Redemption,308,RB3,No NFL Team,1
2020 XRC Black Prizm Redemption,309,RB4,No NFL Team,1
2020 XRC Black Prizm Redemption,310,RB5,No NFL Team,1
2020 XRC Black Prizm Redemption,311,WR1,No NFL Team,1
2020 XRC Black Prizm Redemption,312,WR2,No NFL Team,1
2020 XRC Black Prizm Redemption,313,WR3,No NFL Team,1
2020 XRC Black Prizm Redemption,314,WR4,No NFL Team,1
2020 XRC Black Prizm Redemption,315,WR5,No NFL Team,1
2020 XRC Black Prizm Redemption,316,TE1,No NFL Team,1
2020 XRC Black Prizm Redemption,317,TE2,No NFL Team,1
2020 XRC Black Prizm Redemption,318,DEF1,No NFL Team,1
2020 XRC Black Prizm Redemption,319,DEF2,No NFL Team,1
2020 XRC Black Prizm Redemption,320,DEF3,No NFL Team,1
2020 XRC Gold Prizm Redemption,301,QB1,No NFL Team,10
2020 XRC Gold Prizm Redemption,302,QB2,No NFL Team,10
2020 XRC Gold Prizm Redemption,303,QB3,No NFL Team,10
2020 XRC Gold Prizm Redemption,304,QB4,No NFL Team,10
2020 XRC Gold Prizm Redemption,305,QB5,No NFL Team,10
2020 XRC Gold Prizm Redemption,306,RB1,No NFL Team,10
2020 XRC Gold Prizm Redemption,307,RB2,No NFL Team,10
2020 XRC Gold Prizm Redemption,308,RB3,No NFL Team,10
2020 XRC Gold Prizm Redemption,309,RB4,No NFL Team,10
2020 XRC Gold Prizm Redemption,310,RB5,No NFL Team,10
2020 XRC Gold Prizm Redemption,311,WR1,No NFL Team,10
2020 XRC Gold Prizm Redemption,312,WR2,No NFL Team,10
2020 XRC Gold Prizm Redemption,313,WR3,No NFL Team,10
2020 XRC Gold Prizm Redemption,314,WR4,No NFL Team,10
2020 XRC Gold Prizm Redemption,315,WR5,No NFL Team,10
2020 XRC Gold Prizm Redemption,316,TE1,No NFL Team,10
2020 XRC Gold Prizm Redemption,317,TE2,No NFL Team,10
2020 XRC Gold Prizm Redemption,318,DEF1,No NFL Team,10
2020 XRC Gold Prizm Redemption,319,DEF2,No NFL Team,10
2020 XRC Gold Prizm Redemption,320,DEF3,No NFL Team,10
2020 XRC Mystery Autograph Black Prizm Redemption,321,XRCAUTO1,No NFL Team,1
2020 XRC Mystery Autograph Black Prizm Redemption,322,XRCAUTO2,No NFL Team,1
2020 XRC Mystery Autograph Black Prizm Redemption,323,XRCAUTO3,No NFL Team,1
2020 XRC Mystery Autograph Black Prizm Redemption,324,XRCAUTO4,No NFL Team,1
2020 XRC Mystery Autograph Black Prizm Redemption,325,XRCAUTO5,No NFL Team,1
2020 XRC Mystery Autograph Gold Prizm Redemption,321,XRCAUTO1,No NFL Team,10
2020 XRC Mystery Autograph Gold Prizm Redemption,322,XRCAUTO2,No NFL Team,10
2020 XRC Mystery Autograph Gold Prizm Redemption,323,XRCAUTO3,No NFL Team,10
2020 XRC Mystery Autograph Gold Prizm Redemption,324,XRCAUTO4,No NFL Team,10
2020 XRC Mystery Autograph Gold Prizm Redemption,325,XRCAUTO5,No NFL Team,10
2020 XRC Mystery Autograph Prizm Redemption,321,XRCAUTO1,No NFL Team,49
2020 XRC Mystery Autograph Prizm Redemption,322,XRCAUTO2,No NFL Team,99
2020 XRC Mystery Autograph Prizm Redemption,323,XRCAUTO3,No NFL Team,49
2020 XRC Mystery Autograph Prizm Redemption,324,XRCAUTO4,No NFL Team,99
2020 XRC Mystery Autograph Prizm Redemption,325,XRCAUTO5,No NFL Team,49
2020 XRC Mystery Autograph Tie-Dye Prizm Redemption,321,XRCAUTO1,No NFL Team,25
