BASE SET,,,
1,Mike Trout,Los Angeles Angels,
2,Gerrit Cole,Houston Astros,League Leaders
3,Nicky Lopez,Kansas City Royals,
4,Robinson Cano,New York Mets,
5,JaCoby Jones,Detroit Tigers,
6,Juan Soto,Washington Nationals,World Series Highlights
7,Aaron Judge,New York Yankees,
8,Jonathan Villar,Baltimore Orioles,
9,Trent Grisham,Milwaukee Brewers,Rookie
10,Austin Meadows,Tampa Bay Rays,
11,Anthony Rendon,Washington Nationals,League Leaders
12,Sam Hilliard,Colorado Rockies,Rookie
13,Miles Mikolas,St. Louis Cardinals,
14,Anthony Rendon,Washington Nationals,
15,Hollywood Heroes,San Diego Padres,
16,Gleyber Torres,New York Yankees,
17,Franmil Reyes,Cleveland Indians,
18,Christian & Nolan,Minnesota Twins,
19,Los Angeles Angels,Los Angeles Angels,Team Card
20,Aristides Aquino,Cincinnati Reds,Rookie
21,Shane Greene,Atlanta Braves,
22,Emilio Pagan,Tampa Bay Rays,
23,Christin Stewart,Detroit Tigers,
24,Kenley Jansen,Los Angeles Dodgers,
25,Kirby Yates,San Diego Padres,
26,Kyle Hendricks,Chicago Cubs,
27,Milwaukee Brewers,Milwaukee Brewers,Team Card
28,Tim Anderson,Chicago White Sox,
29,Starlin Castro,Miami Marlins,
30,Josh VanMeter,Cincinnati Reds,
31,Close Call,American LeagueTM,
32,Brandon Woodruff,Milwaukee Brewers,
33,Houston Astros,Houston Astros,Team Card
34,Ian Kinsler,San Diego Padres,
35,Adalberto Mondesi,Kansas City Royals,
36,Sean Doolittle,Washington Nationals,
37,Albert Almora,Chicago Cubs,
38,Austin Nola,Seattle Mariners,Rookie
39,Tyler O'neill,St. Louis Cardinals,
40,Bobby Bradley,Cleveland Indians,Rookie
41,Brian Anderson,Miami Marlins,
42,Lewis Brinson,Miami Marlins,
43,Leury Garcia,Chicago White Sox,
44,Tommy Edman,St. Louis Cardinals,Future Stars
45,Mitch Haniger,Seattle Mariners,
46,Gary Sanchez,New York Yankees,
47,Dansby Swanson,Atlanta Braves,
48,Jeff McNeil,New York Mets,Future Stars
49,Eloy Jimenez,Chicago White Sox,Rookie Cup

50,Cody Bellinger,Los Angeles Dodgers,
51,Anthony Rizzo,Chicago Cubs,
52,Yasmani Grandal,Milwaukee Brewers,
53,Pete Alonso,New York Mets,League Leaders
54,Hunter Dozier,Kansas City Royals,
55,Jose Martinez,St. Louis Cardinals,
56,Andres Muñoz,San Diego Padres,Rookie
57,Travis Demeritte,Detroit Tigers,Rookie
58,Jesse Winker,Cincinnati Reds,
59,Chris Archer,Pittsburgh Pirates,
60,Matt Barnes,Boston Red Sox,
61,Manny Being Manny,Toronto Blue Jays,
62,Chase Anderson,Milwaukee Brewers,
