Card Set,Number,Player,Team
Base,BD-1,Niko Hulsizer,Tampa Bay Rays
Base,BD-2,Jackson Kowar,Kansas City Royals
Base,BD-3,Korey Lee,Houston Astros
Base,BD-4,Milan Tolentino,Cleveland Indians
Base,BD-5,Jeter Downs,Boston Red Sox
Base,BD-6,Hans Crouse,Texas Rangers
Base,BD-7,Mike Siani,Cincinnati Reds
Base,BD-8,Dane Acker,Oakland Athletics
Base,BD-9,Ryan Jensen,Chicago Cubs
Base,BD-10,Shane Baz,Tampa Bay Rays
Base,BD-11,Trei Cruz,Detroit Tigers
Base,BD-12,Emerson Hancock,Seattle Mariners
Base,BD-13,Joey Cantillo,Cleveland Indians
Base,BD-14,Nick Loftin,Kansas City Royals
Base,BD-15,Rece Hinds,Cincinnati Reds
Base,BD-16,Jared Shuster,Atlanta Braves
Base,BD-17,Jesse Franklin V,Atlanta Braves
Base,BD-18,Kaden Polcovich,Seattle Mariners
Base,BD-19,Ben Hernandez,Kansas City Royals
Base,BD-20,Spencer Strider,Atlanta Braves
Base,BD-21,Tyler Brown,Houston Astros
Base,BD-22,Keoni Cavaco,Minnesota Twins
Base,BD-23,Case Williams,Colorado Rockies
Base,BD-24,Cade Cavalli,Washington Nationals
Base,BD-25,Burl Carraway,Chicago Cubs
Base,BD-26,Daniel Espino,Cleveland Indians
Base,BD-27,Oswald Peraza,New York Yankees
Base,BD-28,Zach DeLoach,Seattle Mariners
Base,BD-29,Nick Yorke,Boston Red Sox
Base,BD-30,Clayton Beeter,Los Angeles Dodgers
Base,BD-31,Joe Ryan,Tampa Bay Rays
Base,BD-32,Jordan Groshans,Toronto Blue Jays
Base,BD-33,Gage Workman,Detroit Tigers
Base,BD-34,Austin Hendrick,Cincinnati Reds
Base,BD-35,Jimmy Glowenke,San Francisco Giants
Base,BD-36,Ryan Rolison,Colorado Rockies
Base,BD-37,Logan Gilbert,Seattle Mariners
Base,BD-38,Bobby Miller,Los Angeles Dodgers
Base,BD-39,Robert Hassell,San Diego Padres
Base,BD-40,JJ Goss,Tampa Bay Rays
Base,BD-41,Reid Detmers,Los Angeles Angels
Base,BD-42,Michael Busch,Los Angeles Dodgers
Base,BD-43,Chris McMahon,Colorado Rockies
Base,BD-44,Xavier Edwards,Tampa Bay Rays
Base,BD-45,Alec Burleson,St. Louis Cardinals
Base,BD-46,Freddy Zamora,Milwaukee Brewers
Base,BD-47,Travis Swaggerty,Pittsburgh Pirates
Base,BD-48,Sammy Infante,Washington Nationals
Base,BD-49,Owen Caissie,San Diego Padres
Base,BD-50,Max Meyer,Miami Marlins
Base,BD-51,Logan Allen,Cleveland Indians
Base,BD-52,Landon Knack,Los Angeles Dodgers
Base,BD-53,Quinn Priester,Pittsburgh Pirates
Base,BD-54,Colt Keith,Detroit Tigers
Base,BD-55,Jarren Duran,Boston Red Sox
Base,BD-56,Austin Wells,New York Yankees
Base,BD-57,Jordan Walker,St. Louis Cardinals
Base,BD-58,Jordan Balazovic,Minnesota Twins
Base,BD-59,Masyn Winn,St. Louis Cardinals
Base,BD-60,Carson Tucker,Cleveland Indians
Base,BD-61,Nick Bitsko,Tampa Bay Rays
Base,BD-62,Daniel Cabrera,Detroit Tigers
Base,BD-63,Marco Raya,Minnesota Twins
Base,BD-64,Kyle Nicolas,Miami Marlins
Base,BD-65,Oneil Cruz,Pittsburgh Pirates
Base,BD-66,Hunter Barnhart,Tampa Bay Rays
Base,BD-67,Cole Henry,Washington Nationals
Base,BD-68,Tristen Lutz,Milwaukee Brewers
Base,BD-69,Petey Halpin,Cleveland Indians
Base,BD-70,Jared Jones,Pittsburgh Pirates
Base,BD-71,Connor Phillips,Seattle Mariners
Base,BD-72,Pete Crow-Armstrong,New York Mets
Base,BD-73,Casey Martin,Philadelphia Phillies
Base,BD-74,Bryce Bonnin,Cincinnati Reds
Base,BD-75,Daniel Lynch,Kansas City Royals
Base,BD-76,Tekoah Roby,Texas Rangers
Base,BD-77,Isaiah Greene,New York Mets
Base,BD-78,Tyler Freeman,Cleveland Indians
Base,BD-79,Heliot Ramos,San Francisco Giants
Base,BD-80,Miguel Amaya,Chicago Cubs
Base,BD-81,Nick Gonzales,Pittsburgh Pirates
Base,BD-82,DL Hall,Baltimore Orioles
Base,BD-83,Triston Casas,Boston Red Sox
Base,BD-84,Christian Chamberlain,Kansas City Royals
Base,BD-85,Slade Cecconi,Arizona Diamondbacks
Base,BD-86,Tink Hence,St. Louis Cardinals
Base,BD-87,Adisyn Coffey,Chicago White Sox
Base,BD-88,Asa Lacy,Kansas City Royals
Base,BD-89,Geraldo Perdomo,Arizona Diamondbacks
Base,BD-90,Nick Garcia,Pittsburgh Pirates
Base,BD-91,Nick Swiney,San Francisco Giants
Base,BD-92,Matthew Dyer,New York Mets
Base,BD-93,CJ Van Eyk,Toronto Blue Jays
Base,BD-94,Alerick Soularie,Minnesota Twins
Base,BD-95,Garrett Crochet,Chicago White Sox
Base,BD-96,Ian Seymour,Tampa Bay Rays
Base,BD-97,Zavier Warren,Milwaukee Brewers
Base,BD-98,Ed Howard,Chicago Cubs
Base,BD-99,Justin Lange,San Diego Padres
Base,BD-100,Ian Bedell,St. Louis Cardinals
Base,BD-101,Aaron Shortridge,Pittsburgh Pirates
Base,BD-102,Trevor Larnach,Minnesota Twins
Base,BD-103,David Calabrese,Los Angeles Angels
Base,BD-104,Quin Cotton,Cincinnati Reds
Base,BD-105,Luke Little,Chicago Cubs
Base,BD-106,Drew Romo,Colorado Rockies
Base,BD-107,Zac Veen,Colorado Rockies
Base,BD-108,Brady McConnell,Kansas City Royals
Base,BD-109,Sam Weatherly,Colorado Rockies
Base,BD-110,Jordan Nwogu,Chicago Cubs
Base,BD-111,Jordan Westburg,Baltimore Orioles
Base,BD-112,Zach McCambley,Miami Marlins
Base,BD-113,Trevor Hauver,New York Yankees
Base,BD-114,Corbin Carroll,Arizona Diamondbacks
Base,BD-115,Tanner Burns,Cleveland Indians
Base,BD-116,Jackson Miller,Cincinnati Reds
Base,BD-117,Carter Baumler,Baltimore Orioles
Base,BD-118,Garrett Mitchell,Milwaukee Brewers
Base,BD-119,Tyler Soderstrom,Oakland Athletics
Base,BD-120,Holden Powell,Washington Nationals
