Card Family,Parallel,Seq.
Base,Sky Blue,499
Base,Purple,250
Base,Blue,150
Base,Green,99
Base,Gold,50
Base,Orange,25
Base,Red,5
Base,Black,1
Base,Printing Plates Black,1
Base,Printing Plates Cyan,1
Base,Printing Plates Magenta,1
Base,Printing Plates Yellow,1
Chrome,Refractor,
Chrome,Sky Blue Refractor,
Chrome,Purple Refractor,250
Chrome,Sparkles Refractor,
Chrome,Blue Refractor,150
Chrome,Green Refractor,99
Chrome,Gold Refractor,50
Chrome,Orange Refractor,25
Chrome,Red Refractor,5
Chrome,SuperFractor,1
Chrome,Printing Plates Black,1
Chrome,Printing Plates Cyan,1
Chrome,Printing Plates Magenta,1
Chrome,Printing Plates Yellow,1
Chrome Image Variations Autographs,Base,99
Franchise Futures,Refractor,250
Franchise Futures,Green Refractor,99
Franchise Futures,Gold Refractor,50
Franchise Futures,Red Refractor,5
Franchise Futures,SuperFractor,1
Glimpses of Greatness,Refractor,250
Glimpses of Greatness,Green Refractor,99
Glimpses of Greatness,Gold Refractor,50
Glimpses of Greatness,Red Refractor,5
Glimpses of Greatness,SuperFractor,1
20 in 20,Refractor,250
20 in 20,Green Refractor,99
20 in 20,Gold Refractor,50
20 in 20,Red Refractor,5
20 in 20,SuperFractor,1
Top of the Class Box Topper,Base,99
Top of the Class Box Topper,Gold Refractor,50
Top of the Class Box Topper,Red Refractor,5
Top of the Class Box Topper,SuperFractor,1
Top of the Class Box Topper Autographs,Base,35
Applied Pressure,Atomic Refractor,150
Applied Pressure,Orange Refractor,25
Applied Pressure,Red Refractor,5
Applied Pressure,SuperFractor,1
Chrome Draft Picks Autographs,Refractor,499
Chrome Draft Picks Autographs,Purple Refractor,250
Chrome Draft Picks Autographs,Blue Refractor,150
Chrome Draft Picks Autographs,Blue Wave Refractor,150
Chrome Draft Picks Autographs,Green Refractor,99
Chrome Draft Picks Autographs,Black Refractor,75
Chrome Draft Picks Autographs,Sparkles Refractor,71
Chrome Draft Picks Autographs,Gold Refractor,50
Chrome Draft Picks Autographs,Gold Wave Refractor,50
Chrome Draft Picks Autographs,Orange Refractor,25
Chrome Draft Picks Autographs,Red Refractor,5
Chrome Draft Picks Autographs,Red Wave Refractor,5
Chrome Draft Picks Autographs,Black Wave Refractor,1
Chrome Draft Picks Autographs,SuperFractor,1
Chrome Draft Picks Autographs,Printing Plates Black,1
Chrome Draft Picks Autographs,Printing Plates Cyan,1
Chrome Draft Picks Autographs,Printing Plates Magenta,1
Chrome Draft Picks Autographs,Printing Plates Yellow,1
Draft Night Autographs,Base,99
Draft Night Autographs,Gold Refractor,50
Draft Night Autographs,Orange Refractor,25
Draft Night Autographs,Red Refractor,5
Draft Night Autographs,SuperFractor,1
Franchise Futures Dual Autographs,Base,99
Franchise Futures Dual Autographs,Gold Refractor,50
Franchise Futures Dual Autographs,Orange Refractor,25
Franchise Futures Dual Autographs,Red Refractor,5
Franchise Futures Dual Autographs,SuperFractor,1
20 in 20 Autographs,Base,99
20 in 20 Autographs,Red Refractor,5
20 in 20 Autographs,SuperFractor,1
Class of 2020 Autographs,Base,250
Class of 2020 Autographs,Gold Refractor,50
Class of 2020 Autographs,Red Refractor,5
Class of 2020 Autographs,SuperFractor,1
Applied Pressure Autographs,Base,99
Applied Pressure Autographs,Orange Refractor,25
Applied Pressure Autographs,Red Refractor,5
Applied Pressure Autographs,SuperFractor,1
Under Armour Game Autographs,Base,199
