Card Family,Parallel,Seq.
1990 Bowman,Atomic Refractor,150
1990 Bowman,Gold Refractor,50
1990 Bowman,Green Refractor,99
1990 Bowman,Orange Refractor,25
1990 Bowman,Red Refractor,5
1990 Bowman,Superfractor,1
1990 Bowman Autographs,Superfractor,1
Bowman Scouts Top 100,Atomic Refractor,150
Bowman Scouts Top 100,Gold Refractor,50
Bowman Scouts Top 100,Green Refractor,99
Bowman Scouts Top 100,Orange Refractor,25
Bowman Scouts Top 100,Red Refractor,5
Bowman Scouts Top 100,Superfractor,1
Bowman Scouts Top 100 Autographs,Base,50
Bowman Scouts Top 100 Autographs,Superfractor,1
Chrome Prospect Autographs,Atomic Refractor,100
Chrome Prospect Autographs,Blue Refractor,150
Chrome Prospect Autographs,Gold Refractor,50
Chrome Prospect Autographs,Gold Shimmer Refractor,50
Chrome Prospect Autographs,Green Refractor,99
Chrome Prospect Autographs,Green Shimmer Refractor,99
Chrome Prospect Autographs,Orange Refractor,25
Chrome Prospect Autographs,Orange Shimmer Refractor,25
Chrome Prospect Autographs,Printing Plate Black,1
Chrome Prospect Autographs,Printing Plate Cyan,1
Chrome Prospect Autographs,Printing Plate Magenta,1
Chrome Prospect Autographs,Printing Plate Yellow,1
Chrome Prospect Autographs,Purple Refractor,250
Chrome Prospect Autographs,Red Refractor,5
Chrome Prospect Autographs,Red Shimmer Refractor,5
Chrome Prospect Autographs,Refractor,499
Chrome Prospect Autographs,Speckle Refractor,299
Chrome Prospect Autographs,Superfractor,1
Chrome Prospect Autographs,Yellow Refractor,75
Chrome Prospects,Aqua Refractor,125
Chrome Prospects,Aqua Shimmer Refractor,125
Chrome Prospects,Atomic Refractor,
Chrome Prospects,Blue Refractor,150
Chrome Prospects,Blue Shimmer Refractor,150
Chrome Prospects,Gold Refractor,50
Chrome Prospects,Gold Shimmer Refractor,50
Chrome Prospects,Green Refractor,99
Chrome Prospects,Green Shimmer Refractor,99
Chrome Prospects,Orange Refractor,25
Chrome Prospects,Orange Shimmer Refractor,25
Chrome Prospects,Printing Plate Black,1
Chrome Prospects,Printing Plate Cyan,1
Chrome Prospects,Printing Plate Magenta,1
Chrome Prospects,Printing Plate Yellow,1
Chrome Prospects,Purple Refractor,250
Chrome Prospects,Red Refractor,5
Chrome Prospects,Red Shimmer Refractor,5
Chrome Prospects,Refractor,499
Chrome Prospects,Speckle Refractor,299
Chrome Prospects,Superfractor,1
Chrome Prospects,Yellow Refractor,75
Chrome Rookie Autographs,Atomic Refractor,100
Chrome Rookie Autographs,Blue Refractor,150
Chrome Rookie Autographs,Gold Refractor,50
Chrome Rookie Autographs,Green Refractor,99
Chrome Rookie Autographs,Orange Refractor,25
Chrome Rookie Autographs,Printing Plate Black,1
Chrome Rookie Autographs,Printing Plate Cyan,1
Chrome Rookie Autographs,Printing Plate Magenta,1
Chrome Rookie Autographs,Printing Plate Yellow,1
Chrome Rookie Autographs,Red Refractor,5
Chrome Rookie Autographs,Refractor,499
Chrome Rookie Autographs,Superfractor,1
Chrome Rookie Autographs,Yellow Refractor,75
Dual Bowman Prospect Autographs,Base,25
Dual Bowman Prospect Autographs,Superfractor,1
Hidden Finds,Atomic Refractor,150
Hidden Finds,Gold Refractor,50
Hidden Finds,Green Refractor,99
Hidden Finds,Orange Refractor,25
Hidden Finds,Red Refractor,5
Hidden Finds,Superfractor,1
Hidden Finds Autographs,Base,99
Hidden Finds Autographs,Orange,25
Hidden Finds Autographs,Red Refractor,5
Hidden Finds Autographs,Superfractor,1
Paper Prospect Autographs,Blue,150
Paper Prospect Autographs,Gold,50
Paper Prospect Autographs,Green,99
Paper Prospect Autographs,Orange,25
Paper Prospect Autographs,Platinum,1
Paper Prospect Autographs,Purple,250
Paper Prospect Autographs,Red,5
Paper Prospects,Blue,150
Paper Prospects,Camo,
Paper Prospects,Gold,50
Paper Prospects,Green,99
Paper Prospects,Orange,25
Paper Prospects,Platinum,1
Paper Prospects,Printing Plate Black,1
Paper Prospects,Printing Plate Cyan,1
Paper Prospects,Printing Plate Magenta,1
Paper Prospects,Printing Plate Yellow,1
Paper Prospects,Purple,250
Paper Prospects,Red,5
Paper Prospects,Sky Blue,499
Paper Prospects,Yellow,75
ROY Favorites,Atomic Refractor,150
ROY Favorites,Gold Refractor,50
ROY Favorites,Green Refractor,99
ROY Favorites,Mojo Purple Refractor,250
ROY Favorites,Mojo Refractor,
ROY Favorites,Orange Refractor,25
ROY Favorites,Red Refractor,5
ROY Favorites,Superfractor,1
ROY Favorites Autographs,Base,150
ROY Favorites Autographs,Gold Refractor,50
ROY Favorites Autographs,Orange Refractor,25
ROY Favorites Autographs,Red Refractor,5
ROY Favorites Autographs,Superfractor,1
Spanning The Globe,Atomic Refractor,150
Spanning The Globe,Gold Refractor,50
Spanning The Globe,Green Refractor,99
Spanning The Globe,Orange Refractor,25
Spanning The Globe,Red Refractor,5
Spanning The Globe,Superfractor,1
Talent Pipeline,Atomic Refractor,150
Talent Pipeline,Gold Refractor,50
Talent Pipeline,Green Refractor,99
Talent Pipeline,Orange Refractor,25
Talent Pipeline,Red Refractor,5
Talent Pipeline,Superfractor,1
Ultimate Autograph Book,Base,10
Base,Blue,150
Base,Gold,50
Base,Green,99
Base,Orange,25
Base,Platinum,1
Base,Printing Plate Black,1
Base,Printing Plate Cyan,1
Base,Printing Plate Magenta,1
Base,Printing Plate Yellow,1
Base,Purple,250
Base,Red,5
Base,Sky Blue,499
Base,Yellow,75
