Card Family,Parallel,Seq.
Base,White Border,
Base,Flip Stock,
Base Mini Variations,Base,100
Base Chrome Variations,Hot Box Refractor,
Base Chrome Variations,Refractor,571,
Base Chrome Variations,White Refractor,71,
Base Chrome Variations,Gold Refractor,5,
Base Chrome Variations,SuperFractor,1
Base Mega Box Chrome Variations,Refractor,571,
Base Mega Box Chrome Variations,White Refractor,71,
Base Mega Box Chrome Variations,Gold Refractor,5,
Base Mega Box Chrome Variations,SuperFractor,1
Base Short Print Variations,White Border,
Base Short Print Variations,Flip Stock,
Real One Autographs,Special Edition Red Ink,71
1971 World Series Champion Autographs,Base,71
1971 Topps Super Baseball Autographs,Base,25
Clubhouse Collection Autograph Relics,Base,25
Clubhouse Collection Autograph Relics,Patch,1
Clubhouse Collection Dual Autograph Relics,Base,10
Clubhouse Collection Dual Autograph Relics,Patch,1
Clubhouse Collection Relics,Gold,99
Clubhouse Collection Relics,Patch,1
Clubhouse Collection Dual Relics,Base,71
Clubhouse Collection Dual Relics,Patch,1
Clubhouse Collection Triple Relics,Base,25
Clubhouse Collection Triple Relics,Patch,1
Clubhouse Collection Quad Relics,Base,10
Clubhouse Collection Quad Relics,Patch,1
Let's Play 2 Relics,Base,25
Let's Play 2 Relics,Gold,1
1971 Baseball Cut Signatures,Base,1
1971 Celebrity Cut Signatures,Base,1
