Card Set,Number,Player,Team
Base,1,Ronald Acuña Jr.,Atlanta Braves
Base,2,Matt Thaiss,Los Angeles Angels
Base,3,Jose Altuve,Houston Astros
Base,4,Juan Soto,Washington Nationals
Base,5,Max Scherzer,Washington Nationals
Base,6,Carlos Correa,Houston Astros
Base,7,Abraham Toro,Houston Astros
Base,8,Robel Garcia,Chicago Cubs
Base,9,Sean Murphy,Oakland Athletics
Base,10,Austin Nola,Seattle Mariners
Base,11,Logan Allen,Cleveland Indians
Base,12,Bryce Harper,Philadelphia Phillies
Base,13,Francisco Lindor,Cleveland Indians
Base,14,Edwin Rios,Los Angeles Dodgers
Base,15,Josh Hader,Milwaukee Brewers
Base,16,A.J. Puk,Oakland Athletics
Base,17,Sam Hilliard,Colorado Rockies
Base,18,Michel Baez,San Diego Padres
Base,19,Kris Bryant,Chicago Cubs
Base,20,Aaron Civale,Cleveland Indians
Base,21,Tony Gonsolin,Los Angeles Dodgers
Base,22,Gleyber Torres,New York Yankees
Base,23,Gavin Lux,Los Angeles Dodgers
Base,24,Victor Robles,Washington Nationals
Base,25,Yordan Alvarez,Houston Astros
Base,26,Walker Buehler,Los Angeles Dodgers
Base,27,Sheldon Neuse,Oakland Athletics
Base,28,Trent Grisham,San Diego Padres
Base,29,J.T. Realmuto,Philadelphia Phillies
Base,30,Rafael Devers,Boston Red Sox
Base,31,Aaron Judge,New York Yankees
Base,32,Randy Arozarena,St. Louis Cardinals
Base,33,Alex Bregman,Houston Astros
Base,34,Cody Bellinger,Los Angeles Dodgers
Base,35,Rogelio Armenteros,Houston Astros
Base,36,Bobby Bradley,Cleveland Indians
Base,37,George Springer,Houston Astros
Base,38,Adbert Alzolay,Chicago Cubs
Base,39,Eloy Jimenez,Chicago White Sox
Base,40,Seth Brown,Oakland Athletics
Base,41,Trevor Story,Colorado Rockies
Base,42,Isan Diaz,Miami Marlins
Base,43,DJ LeMahieu,New York Yankees
Base,44,Noah Syndergaard,New York Mets
Base,45,Aristides Aquino,Cincinnati Reds
Base,46,Luis Castillo,Cincinnati Reds
Base,47,Charlie Blackmon,Colorado Rockies
Base,48,Nico Hoerner,Chicago Cubs
Base,49,Dustin May,Los Angeles Dodgers
Base,50,Christian Yelich,Milwaukee Brewers
Base,51,Justin Dunn,Seattle Mariners
Base,52,Jacob deGrom,New York Mets
Base,53,Anthony Kay,Toronto Blue Jays
Base,54,Shane Bieber,Cleveland Indians
Base,55,Jordan Yamamoto,Miami Marlins
Base,56,Shohei Ohtani,Los Angeles Angels
Base,57,Bo Bichette,Toronto Blue Jays
Base,58,Domingo Leyba,Arizona Diamondbacks
Base,59,Jack Flaherty,St. Louis Cardinals
Base,60,Dylan Cease,Chicago White Sox
Base,61,Brusdar Graterol,Minnesota Twins
Base,62,Zac Gallen,Arizona Diamondbacks
Base,63,Josh Staumont,Kansas City Royals
Base,64,Pete Alonso,New York Mets
Base,65,Manny Machado,San Diego Padres
Base,66,Brock Burke,Texas Rangers
Base,67,Nick Solak,Texas Rangers
Base,68,Joey Gallo,Texas Rangers
Base,69,Tom Eshelman,Baltimore Orioles
Base,70,Keston Hiura,Milwaukee Brewers
Base,71,Jake Rogers,Detroit Tigers
Base,72,Andres Muñoz,San Diego Padres
Base,73,Fernando Tatis Jr.,San Diego Padres
Base,74,Willi Castro,Detroit Tigers
Base,75,Anthony Rizzo,Chicago Cubs
Base,76,Hunter Harvey,Baltimore Orioles
Base,77,Javier Baez,Chicago Cubs
Base,78,Josh Bell,Pittsburgh Pirates
Base,79,Jose Urquidy,Houston Astros
Base,80,Travis Demeritte,Detroit Tigers
Base,81,Junior Fernandez,St. Louis Cardinals
Base,82,Justin Verlander,Houston Astros
Base,83,Jesus Luzardo,Oakland Athletics
Base,84,Blake Snell,Tampa Bay Rays
Base,85,Zack Collins,Chicago White Sox
Base,86,Mauricio Dubon,San Francisco Giants
Base,87,Adrian Morejon,San Diego Padres
Base,88,Tyler Alexander,Detroit Tigers
Base,89,Eddie Rosario,Minnesota Twins
Base,90,Paul Goldschmidt,St. Louis Cardinals
Base,91,Chris Paddack,San Diego Padres
Base,92,Kyle Lewis,Seattle Mariners
Base,93,Nolan Arenado,Colorado Rockies
Base,94,Freddie Freeman,Atlanta Braves
Base,95,Patrick Corbin,Washington Nationals
Base,96,Giancarlo Stanton,New York Yankees
Base,97,Mookie Betts,Boston Red Sox
Base,98,Jose Ramirez,Cleveland Indians
Base,99,Ozzie Albies,Atlanta Braves
Base,100,Mike Trout,Los Angeles Angels
Autograph Patch,IAP-AA,Adbert Alzolay,Chicago Cubs
Autograph Patch,IAP-AAQ,Aristides Aquino,Cincinnati Reds
Autograph Patch,IAP-AC,Aaron Civale,Cleveland Indians
Autograph Patch,IAP-AJ,Aaron Judge,New York Yankees
Autograph Patch,IAP-AMU,Andres Muñoz,San Diego Padres
Autograph Patch,IAP-AN,Austin Nola,Seattle Mariners
Autograph Patch,IAP-AP,A.J. Puk,Oakland Athletics
Autograph Patch,IAP-AR,Austin Riley,Atlanta Braves
Autograph Patch,IAP-AT,Abraham Toro,Houston Astros
Autograph Patch,IAP-AY,Alex Young,Arizona Diamondbacks
Autograph Patch,IAP-BB,Bobby Bradley,Cleveland Indians
Autograph Patch,IAP-BBI,Bo Bichette,Toronto Blue Jays
Autograph Patch,IAP-BM,Brendan McKay,Tampa Bay Rays
Autograph Patch,IAP-BR,Brendan Rodgers,Colorado Rockies
Autograph Patch,IAP-CB,Cavan Biggio,Toronto Blue Jays
Autograph Patch,IAP-CK,Carter Kieboom,Washington Nationals
Autograph Patch,IAP-DC,Dylan Cease,Chicago White Sox
Autograph Patch,IAP-DL,Domingo Leyba,Arizona Diamondbacks
Autograph Patch,IAP-DM,Dustin May,Los Angeles Dodgers
Autograph Patch,IAP-FTJ,Fernando Tatis Jr.,San Diego Padres
Autograph Patch,IAP-GL,Gavin Lux,Los Angeles Dodgers
Autograph Patch,IAP-GT,Gleyber Torres,New York Yankees
Autograph Patch,IAP-ID,Isan Diaz,Miami Marlins
Autograph Patch,IAP-JC,Jake Cave,Minnesota Twins
Autograph Patch,IAP-JL,Jesus Luzardo,Oakland Athletics
Autograph Patch,IAP-JM,Jeff McNeil,New York Mets
Autograph Patch,IAP-JR,Jake Rogers,Detroit Tigers
Autograph Patch,IAP-JS,Justus Sheffield,Seattle Mariners
Autograph Patch,IAP-JST,Josh Staumont,Kansas City Royals
Autograph Patch,IAP-JY,Jordan Yamamoto,Miami Marlins
Autograph Patch,IAP-KB,Kris Bryant,Chicago Cubs
Autograph Patch,IAP-KH,Keston Hiura,Milwaukee Brewers
Autograph Patch,IAP-KL,Kyle Lewis,Seattle Mariners
Autograph Patch,IAP-KN,Kevin Newman,Pittsburgh Pirates
Autograph Patch,IAP-LA,Logan Allen,Cleveland Indians
Autograph Patch,IAP-MB,Michael Brosseau,Tampa Bay Rays
Autograph Patch,IAP-MC,Michael Chavis,Boston Red Sox
Autograph Patch,IAP-MD,Mauricio Dubon,San Francisco Giants
Autograph Patch,IAP-MT,Matt Thaiss,Los Angeles Angels
Autograph Patch,IAP-NH,Nico Hoerner,Chicago Cubs
Autograph Patch,IAP-NS,Nick Senzel,Cincinnati Reds
Autograph Patch,IAP-NSO,Nick Solak,Texas Rangers
Autograph Patch,IAP-PA,Pete Alonso,New York Mets
Autograph Patch,IAP-PS,Patrick Sandoval,Los Angeles Angels
Autograph Patch,IAP-RAJ,Ronald Acuña Jr.,Atlanta Braves
Autograph Patch,IAP-RAR,Rogelio Armenteros,Houston Astros
Autograph Patch,IAP-RD,Rafael Devers,Boston Red Sox
Autograph Patch,IAP-RG,Robel Garcia,Chicago Cubs
Autograph Patch,IAP-RH,Rhys Hoskins,Philadelphia Phillies
Autograph Patch,IAP-RL,Ramon Laureano,Oakland Athletics
Autograph Patch,IAP-TA,Tim Anderson,Chicago White Sox
Autograph Patch,IAP-TD,Travis Demeritte,Detroit Tigers
Autograph Patch,IAP-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays
Autograph Patch,IAP-WC,Willson Contreras,Chicago Cubs
Autograph Patch,IAP-WS,Will Smith,Los Angeles Dodgers
Autograph Patch,IAP-YA,Yordan Alvarez,Houston Astros
Autograph Jumbo Patch,IAJP-AA,Aristides Aquino,Cincinnati Reds
Autograph Jumbo Patch,IAJP-AAL,Adbert Alzolay,Chicago Cubs
Autograph Jumbo Patch,IAJP-AC,Aaron Civale,Cleveland Indians
Autograph Jumbo Patch,IAJP-AJ,Aaron Judge,New York Yankees
Autograph Jumbo Patch,IAJP-AR,Austin Riley,Atlanta Braves
Autograph Jumbo Patch,IAJP-AY,Alex Young,Arizona Diamondbacks
Autograph Jumbo Patch,IAJP-BB,Bo Bichette,Toronto Blue Jays
Autograph Jumbo Patch,IAJP-BM,Brendan McKay,Tampa Bay Rays
Autograph Jumbo Patch,IAJP-CB,Cavan Biggio,Toronto Blue Jays
Autograph Jumbo Patch,IAJP-DC,Dylan Cease,Chicago White Sox
Autograph Jumbo Patch,IAJP-DM,Dustin May,Los Angeles Dodgers
Autograph Jumbo Patch,IAJP-FTJ,Fernando Tatis Jr.,San Diego Padres
Autograph Jumbo Patch,IAJP-GL,Gavin Lux,Los Angeles Dodgers
Autograph Jumbo Patch,IAJP-JC,Jake Cave,Minnesota Twins
Autograph Jumbo Patch,IAJP-JM,Jeff McNeil,New York Mets
Autograph Jumbo Patch,IAJP-JY,Jordan Yamamoto,Miami Marlins
Autograph Jumbo Patch,IAJP-KB,Kris Bryant,Chicago Cubs
Autograph Jumbo Patch,IAJP-KH,Keston Hiura,Milwaukee Brewers
Autograph Jumbo Patch,IAJP-KL,Kyle Lewis,Seattle Mariners
Autograph Jumbo Patch,IAJP-LA,Logan Allen,Cleveland Indians
Autograph Jumbo Patch,IAJP-MD,Mauricio Dubon,San Francisco Giants
Autograph Jumbo Patch,IAJP-MT,Matt Thaiss,Los Angeles Angels
Autograph Jumbo Patch,IAJP-NH,Nico Hoerner,Chicago Cubs
Autograph Jumbo Patch,IAJP-PA,Pete Alonso,New York Mets
Autograph Jumbo Patch,IAJP-RAJ,Ronald Acuña Jr.,Atlanta Braves
Autograph Jumbo Patch,IAJP-RD,Rafael Devers,Boston Red Sox
Autograph Jumbo Patch,IAJP-RH,Rhys Hoskins,Philadelphia Phillies
Autograph Jumbo Patch,IAJP-TA,Tim Anderson,Chicago White Sox
Autograph Jumbo Patch,IAJP-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays
Autograph Jumbo Patch,IAJP-WS,Will Smith,Los Angeles Dodgers
Autograph Jumbo Patch,IAJP-YA,Yordan Alvarez,Houston Astros
Autograph Jumbo Hat Patch,IAH-AA,Adbert Alzolay,Chicago Cubs
Autograph Jumbo Hat Patch,IAH-AAQ,Aristides Aquino,Cincinnati Reds
Autograph Jumbo Hat Patch,IAH-AC,Aaron Civale,Cleveland Indians
Autograph Jumbo Hat Patch,IAH-AJP,A.J. Puk,Oakland Athletics
Autograph Jumbo Hat Patch,IAH-AR,Austin Riley,Atlanta Braves
Autograph Jumbo Hat Patch,IAH-AY,Alex Young,Arizona Diamondbacks
Autograph Jumbo Hat Patch,IAH-BB,Bobby Bradley,Cleveland Indians
Autograph Jumbo Hat Patch,IAH-BBI,Bo Bichette,Toronto Blue Jays
Autograph Jumbo Hat Patch,IAH-BM,Brendan McKay,Tampa Bay Rays
Autograph Jumbo Hat Patch,IAH-BR,Brendan Rodgers,Colorado Rockies
Autograph Jumbo Hat Patch,IAH-CB,Cavan Biggio,Toronto Blue Jays
Autograph Jumbo Hat Patch,IAH-CK,Carter Kieboom,Washington Nationals
Autograph Jumbo Hat Patch,IAH-DC,Dylan Cease,Chicago White Sox
Autograph Jumbo Hat Patch,IAH-DL,Domingo Leyba,Arizona Diamondbacks
Autograph Jumbo Hat Patch,IAH-DM,Dustin May,Los Angeles Dodgers
Autograph Jumbo Hat Patch,IAH-EJ,Eloy Jimenez,Chicago White Sox
Autograph Jumbo Hat Patch,IAH-FTJ,Fernando Tatis Jr.,San Diego Padres
Autograph Jumbo Hat Patch,IAH-GC,Griffin Canning,Los Angeles Angels
Autograph Jumbo Hat Patch,IAH-GL,Gavin Lux,Los Angeles Dodgers
Autograph Jumbo Hat Patch,IAH-GT,Gleyber Torres,New York Yankees
Autograph Jumbo Hat Patch,IAH-ID,Isan Diaz,Miami Marlins
Autograph Jumbo Hat Patch,IAH-JM,Jeff McNeil,New York Mets
