Card Set,Number,Player,Team,Seq.
All Time League Leaders,1,Kareem Abdul-Jabbar,Los Angeles Lakers,
All Time League Leaders,2,LeBron James,Los Angeles Lakers,
All Time League Leaders,3,Robert Parish,Boston Celtics,
All Time League Leaders,4,Ray Allen,Milwaukee Bucks,
All Time League Leaders,5,Oscar Robertson,Milwaukee Bucks,
All Time League Leaders,6,Bill Russell,Boston Celtics,
All Time League Leaders,7,Dirk Nowitzki,Dallas Mavericks,
All Time League Leaders,8,John Stockton,Utah Jazz,
All Time League Leaders,9,Wilt Chamberlain,Los Angeles Lakers,
All Time League Leaders,10,Vince Carter,Toronto Raptors,
All Time League Leaders Green Flood,1,Kareem Abdul-Jabbar,Los Angeles Lakers,
All Time League Leaders Green Flood,2,LeBron James,Los Angeles Lakers,
All Time League Leaders Green Flood,3,Robert Parish,Boston Celtics,
All Time League Leaders Green Flood,4,Ray Allen,Milwaukee Bucks,
All Time League Leaders Green Flood,5,Oscar Robertson,Milwaukee Bucks,
All Time League Leaders Green Flood,6,Bill Russell,Boston Celtics,
All Time League Leaders Green Flood,7,Dirk Nowitzki,Dallas Mavericks,
All Time League Leaders Green Flood,8,John Stockton,Utah Jazz,
All Time League Leaders Green Flood,9,Wilt Chamberlain,Los Angeles Lakers,
All Time League Leaders Green Flood,10,Vince Carter,Toronto Raptors,
All Time League Leaders Holo Purple Laser,1,Kareem Abdul-Jabbar,Los Angeles Lakers,15
All Time League Leaders Holo Purple Laser,2,LeBron James,Los Angeles Lakers,15
All Time League Leaders Holo Purple Laser,3,Robert Parish,Boston Celtics,15
All Time League Leaders Holo Purple Laser,4,Ray Allen,Milwaukee Bucks,15
All Time League Leaders Holo Purple Laser,5,Oscar Robertson,Milwaukee Bucks,15
All Time League Leaders Holo Purple Laser,6,Bill Russell,Boston Celtics,15
All Time League Leaders Holo Purple Laser,7,Dirk Nowitzki,Dallas Mavericks,15
All Time League Leaders Holo Purple Laser,8,John Stockton,Utah Jazz,15
All Time League Leaders Holo Purple Laser,9,Wilt Chamberlain,Los Angeles Lakers,15
All Time League Leaders Holo Purple Laser,10,Vince Carter,Toronto Raptors,15
All Time League Leaders Holo Red Laser,1,Kareem Abdul-Jabbar,Los Angeles Lakers,99
All Time League Leaders Holo Red Laser,2,LeBron James,Los Angeles Lakers,99
All Time League Leaders Holo Red Laser,3,Robert Parish,Boston Celtics,99
All Time League Leaders Holo Red Laser,4,Ray Allen,Milwaukee Bucks,99
All Time League Leaders Holo Red Laser,5,Oscar Robertson,Milwaukee Bucks,99
All Time League Leaders Holo Red Laser,6,Bill Russell,Boston Celtics,99
All Time League Leaders Holo Red Laser,7,Dirk Nowitzki,Dallas Mavericks,99
All Time League Leaders Holo Red Laser,8,John Stockton,Utah Jazz,99
All Time League Leaders Holo Red Laser,9,Wilt Chamberlain,Los Angeles Lakers,99
All Time League Leaders Holo Red Laser,10,Vince Carter,Toronto Raptors,99
All Time League Leaders Holo Yellow Laser,1,Kareem Abdul-Jabbar,Los Angeles Lakers,25
All Time League Leaders Holo Yellow Laser,2,LeBron James,Los Angeles Lakers,25
All Time League Leaders Holo Yellow Laser,3,Robert Parish,Boston Celtics,25
All Time League Leaders Holo Yellow Laser,4,Ray Allen,Milwaukee Bucks,25
All Time League Leaders Holo Yellow Laser,5,Oscar Robertson,Milwaukee Bucks,25
All Time League Leaders Holo Yellow Laser,6,Bill Russell,Boston Celtics,25
All Time League Leaders Holo Yellow Laser,7,Dirk Nowitzki,Dallas Mavericks,25
All Time League Leaders Holo Yellow Laser,8,John Stockton,Utah Jazz,25
All Time League Leaders Holo Yellow Laser,9,Wilt Chamberlain,Los Angeles Lakers,25
All Time League Leaders Holo Yellow Laser,10,Vince Carter,Toronto Raptors,25
Base,1,Jonas Valanciunas,Memphis Grizzlies,
Base,2,Gary Harris,Denver Nuggets,
Base,3,Nikola Vucevic,Orlando Magic,
Base,4,Kelly Oubre Jr.,Phoenix Suns,
Base,5,Christian Wood,Detroit Pistons,
Base,6,Donte DiVincenzo,Milwaukee Bucks,
Base,7,Nikola Jokic,Denver Nuggets,
Base,8,Kristaps Porzingis,Dallas Mavericks,
Base,9,Fred VanVleet,Toronto Raptors,
Base,10,DeMar DeRozan,San Antonio Spurs,
Base,11,Langston Galloway,Detroit Pistons,
Base,12,LeBron James,Los Angeles Lakers,
Base,13,Luka Doncic,Dallas Mavericks,
Base,14,Bam Adebayo,Miami Heat,
Base,15,James Johnson,Minnesota Timberwolves,
Base,16,Trevor Ariza,Portland Trail Blazers,
Base,17,Jaren Jackson Jr.,Memphis Grizzlies,
Base,18,Josh Jackson,Memphis Grizzlies,
Base,19,Devonte' Graham,Charlotte Hornets,
Base,20,Karl-Anthony Towns,Minnesota Timberwolves,
Base,21,LaMarcus Aldridge,San Antonio Spurs,
Base,22,Chris Paul,Oklahoma City Thunder,
Base,23,Otto Porter Jr.,Chicago Bulls,
Base,24,Marvin Bagley III,Sacramento Kings,
Base,25,Aaron Gordon,Orlando Magic,
Base,26,Michael Porter Jr.,Denver Nuggets,
Base,27,Enes Kanter,Boston Celtics,
Base,28,Damian Lillard,Portland Trail Blazers,
Base,29,Andrew Wiggins,Golden State Warriors,
Base,30,Dwight Powell,Dallas Mavericks,
Base,31,Deandre Ayton,Phoenix Suns,
Base,32,Klay Thompson,Golden State Warriors,
Base,33,Josh Hart,New Orleans Pelicans,
Base,34,Markelle Fultz,Orlando Magic,
Base,35,Aron Baynes,Phoenix Suns,
Base,36,Bojan Bogdanovic,Utah Jazz,
Base,37,James Harden,Houston Rockets,
Base,38,Lou Williams,Los Angeles Clippers,
Base,39,Sekou Doumbouya,Detroit Pistons,
Base,40,Julius Randle,New York Knicks,
Base,41,Stephen Curry,Golden State Warriors,
Base,42,Cody Zeller,Charlotte Hornets,
