Card Set,Number,Player,Team,Seq.
Base,1,Stephen Curry,Davidson Wildcats,45
Base,2,Anthony Davis,Kentucky Wildcats,45
Base,3,Zion Williamson,Duke Blue Devils,45
Base,4,Ja Morant,Murray State Racers,45
Base,5,Rui Hachimura,Gonzaga Bulldogs,45
Base,6,RJ Barrett,Duke Blue Devils,45
Base,7,Kevin Durant,Texas Longhorns,45
Base,8,Kawhi Leonard,San Diego State Aztecs,45
Base,9,James Harden,Arizona State Sun Devils,45
Base,10,Charles Barkley,Auburn Tigers,45
Base,11,Dwyane Wade,Marquette Golden Eagles,45
Base,12,Russell Westbrook,UCLA Bruins,45
Base,13,Derrick Rose,Memphis Tigers,45
Base,14,Joel Embiid,Kansas Jayhawks,45
Base,15,Jayson Tatum,Duke Blue Devils,45
Base,16,Trae Young,Oklahoma Sooners,45
Base,17,Kemba Walker,UConn Huskies,45
Base,18,Karl-Anthony Towns,Kentucky Wildcats,45
Base,19,Pascal Siakam,New Mexico State Aggies,45
Base,20,Donovan Mitchell,Louisville Cardinals,45
Base Century Emerald,1,Stephen Curry,Davidson Wildcats,5
Base Century Emerald,2,Anthony Davis,Kentucky Wildcats,5
Base Century Emerald,3,Zion Williamson,Duke Blue Devils,5
Base Century Emerald,4,Ja Morant,Murray State Racers,5
Base Century Emerald,5,Rui Hachimura,Gonzaga Bulldogs,5
Base Century Emerald,6,RJ Barrett,Duke Blue Devils,5
Base Century Emerald,7,Kevin Durant,Texas Longhorns,5
Base Century Emerald,8,Kawhi Leonard,San Diego State Aztecs,5
Base Century Emerald,9,James Harden,Arizona State Sun Devils,5
Base Century Emerald,10,Charles Barkley,Auburn Tigers,5
Base Century Emerald,11,Dwyane Wade,Marquette Golden Eagles,5
Base Century Emerald,12,Russell Westbrook,UCLA Bruins,5
Base Century Emerald,13,Derrick Rose,Memphis Tigers,5
Base Century Emerald,14,Joel Embiid,Kansas Jayhawks,5
Base Century Emerald,15,Jayson Tatum,Duke Blue Devils,5
Base Century Emerald,16,Trae Young,Oklahoma Sooners,5
