Card Set,Number,Player,Team,Seq.
Base,1,Anthony Edwards,Georgia Bulldogs,
Base,2,James Wiseman,Memphis Tigers,
Base,3,LaMelo Ball,International,
Base,4,Isaac Okoro,Auburn Tigers,
Base,5,Onyeka Okongwu,USC Trojans,
Base,6,Deni Avdija,International,
Base,7,Obi Toppin,Dayton Flyers,
Base,8,Precious Achiuwa,Memphis Tigers,
Base,9,Cole Anthony,North Carolina Tar Heels,
Base,10,Tyrese Haliburton,Iowa State Cyclones,
Base,11,Jaden McDaniels,Washington Huskies,
Base,12,Killian Hayes,International,
Base,13,RJ Hampton,International,
Base,14,Tyrese Maxey,Kentucky Wildcats,
Base,15,Aaron Nesmith,Vanderbilt Commodores,
Base,16,Devin Vassell,Florida State Seminoles,
Base,17,Theo Maledon,International,
Base,18,Nico Mannion,Arizona Wildcats,
Base,19,Saddiq Bey,Villanova Wildcats,
Base,20,Patrick Williams,Florida State Seminoles,
Base,21,Josh Green,Arizona Wildcats,
Base,22,Xavier Tillman,Michigan State Spartans,
Base,23,Robert Woodard II,Mississippi State Bulldogs,
Base,24,Kira Lewis Jr.,Alabama Crimson Tide,
Base,25,Jahmi'us Ramsey,Texas Tech Red Raiders,
Base,26,Isaiah Stewart,Washington Huskies,
Base,27,Vernon Carey Jr.,Duke Blue Devils,
Base,28,Cassius Stanley,Duke Blue Devils,
Base,29,Cassius Winston,Michigan State Spartans,
Base,30,Jalen Smith,Maryland Terrapins,
Base,31,Udoka Azubuike,Kansas Jayhawks,
Base,32,Devon Dotson,Kansas Jayhawks,
Base,33,Daniel Oturu,Minnesota Golden Gophers,
Base,34,Zeke Nnaji,Arizona Wildcats,
Base,35,Tyler Bey,Colorado Buffaloes,
Base,36,Payton Pritchard,Oregon Ducks,
Base,37,Tre Jones,Duke Blue Devils,
Base,38,Jordan Nwora,Louisville Cardinals,
Base,39,Ashton Hagans,Kentucky Wildcats,
Base,40,Markus Howard,Marquette Golden Eagles,
Base,41,Anthony Edwards,Georgia Bulldogs,
Base,42,James Wiseman,Memphis Tigers,
Base,43,LaMelo Ball,International,
Base,44,Isaac Okoro,Auburn Tigers,
Base,45,Onyeka Okongwu,USC Trojans,
Base,46,Deni Avdija,International,
Base,47,Obi Toppin,Dayton Flyers,
Base,48,Precious Achiuwa,Memphis Tigers,
Base,49,Cole Anthony,North Carolina Tar Heels,
Base,50,Tyrese Haliburton,Iowa State Cyclones,
Base,51,Jaden McDaniels,Washington Huskies,
Base,52,Killian Hayes,International,
Base,53,RJ Hampton,International,
Base,54,Tyrese Maxey,Kentucky Wildcats,
Base,55,Aaron Nesmith,Vanderbilt Commodores,
Base,56,Devin Vassell,Florida State Seminoles,
Base,57,Theo Maledon,International,
Base,58,Nico Mannion,Arizona Wildcats,
Base,59,Saddiq Bey,Villanova Wildcats,
Base,60,Patrick Williams,Florida State Seminoles,
Base,61,Josh Green,Arizona Wildcats,
Base,62,Xavier Tillman,Michigan State Spartans,
Base,63,Robert Woodard II,Mississippi State Bulldogs,
Base,64,Kira Lewis Jr.,Alabama Crimson Tide,
Base,65,Jahmi'us Ramsey,Texas Tech Red Raiders,
Base,66,Isaiah Stewart,Washington Huskies,
Base,67,Vernon Carey Jr.,Duke Blue Devils,
Base,68,Cassius Stanley,Duke Blue Devils,
Base,69,Cassius Winston,Michigan State Spartans,
Base,70,Jalen Smith,Maryland Terrapins,
Base,71,Udoka Azubuike,Kansas Jayhawks,
Base,72,Devon Dotson,Kansas Jayhawks,
Base,73,Daniel Oturu,Minnesota Golden Gophers,
Base,74,Zeke Nnaji,Arizona Wildcats,
Base,75,Tyler Bey,Colorado Buffaloes,
Base,76,Payton Pritchard,Oregon Ducks,
Base,77,Tre Jones,Duke Blue Devils,
