Card Set,Number,Player,Team,Seq.
Base,1,Patrick Mahomes II,Kansas City Chiefs,
Base,2,Tyreek Hill,Kansas City Chiefs,
Base,3,Travis Kelce,Kansas City Chiefs,
Base,4,Tyrann Mathieu,Kansas City Chiefs,
Base,5,Kyler Murray,Arizona Cardinals,
Base,6,Larry Fitzgerald,Arizona Cardinals,
Base,7,DeAndre Hopkins,Arizona Cardinals,
Base,8,Matt Ryan,Atlanta Falcons,
Base,9,Calvin Ridley,Atlanta Falcons,
Base,10,Julio Jones,Atlanta Falcons,
Base,11,Lamar Jackson,Baltimore Ravens,
Base,12,Marquise Brown,Baltimore Ravens,
Base,13,Mark Andrews,Baltimore Ravens,
Base,14,Josh Allen,Buffalo Bills,
Base,15,Tre'Davious White,Buffalo Bills,
Base,16,Stefon Diggs,Buffalo Bills,
Base,17,Christian McCaffrey,Carolina Panthers,
Base,18,Teddy Bridgewater,Carolina Panthers,
Base,19,D.J. Moore,Carolina Panthers,
Base,20,Mitchell Trubisky,Chicago Bears,
Base,21,Khalil Mack,Chicago Bears,
Base,22,David Montgomery,Chicago Bears,
Base,23,Tyler Boyd,Cincinnati Bengals,
Base,24,Joe Mixon,Cincinnati Bengals,
Base,25,A.J. Green,Cincinnati Bengals,
Base,26,Baker Mayfield,Cleveland Browns,
Base,27,Nick Chubb,Cleveland Browns,
Base,28,Odell Beckham Jr.,Cleveland Browns,
Base,29,Dak Prescott,Dallas Cowboys,
Base,30,Ezekiel Elliott,Dallas Cowboys,
Base,31,Amari Cooper,Dallas Cowboys,
Base,32,Drew Lock,Denver Broncos,
Base,33,Von Miller,Denver Broncos,
Base,34,Courtland Sutton,Denver Broncos,
Base,35,Matthew Stafford,Detroit Lions,
Base,36,Kenny Golladay,Detroit Lions,
Base,37,Kerryon Johnson,Detroit Lions,
Base,38,Aaron Rodgers,Green Bay Packers,
Base,39,Aaron Jones,Green Bay Packers,
Base,40,Davante Adams,Green Bay Packers,
Base,41,Za'Darius Smith,Green Bay Packers,
Base,42,Deshaun Watson,Houston Texans,
Base,43,J.J. Watt,Houston Texans,
Base,44,Will Fuller V,Houston Texans,
Base,45,Darius Leonard,Indianapolis Colts,
Base,46,Philip Rivers,Indianapolis Colts,
Base,47,T.Y. Hilton,Indianapolis Colts,
Base,48,Gardner Minshew II,Jacksonville Jaguars,
Base,49,Josh Allen,Jacksonville Jaguars,
Base,50,D.J. Chark Jr.,Jacksonville Jaguars,
Base,51,Derek Carr,Las Vegas Raiders,
Base,52,Josh Jacobs,Las Vegas Raiders,
Base,53,Maxx Crosby,Las Vegas Raiders,
Base,54,Austin Ekeler,Los Angeles Chargers,
Base,55,Keenan Allen,Los Angeles Chargers,
Base,56,Mike Williams,Los Angeles Chargers,
Base,57,Jared Goff,Los Angeles Rams,
Base,58,Aaron Donald,Los Angeles Rams,
Base,59,Cooper Kupp,Los Angeles Rams,
Base,60,DeVante Parker,Miami Dolphins,
Base,61,Mike Gesicki,Miami Dolphins,
Base,62,Christian Wilkins,Miami Dolphins,
Base,63,Kirk Cousins,Minnesota Vikings,
Base,64,Dalvin Cook,Minnesota Vikings,
